Divisao,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia
1,1,Gestao Comercial,33,11,11,0,0,363,254,109,0
1,2,EET,29,11,9,0,2,279,217,62,0
1,3,EGI,28,11,8,1,2,298,245,53,0
1,4,Biotecnologia,26,11,7,1,3,322,268,54,0
1,5,Eng. Mecânica,26,11,7,1,3,252,161,91,0
1,6,Eng. Materiais,24,11,6,1,4,259,235,24,0
1,7,Fisioterapia,19,11,4,0,7,233,255,-22,0
1,8,Eng. Informática,18,11,3,1,7,209,267,-58,0
1,9,ECT,18,11,3,1,7,237,297,-60,0
1,10,Eng. Cívil,18,11,3,1,7,226,261,-35,0
1,11,Matemática,13,11,1,0,10,181,281,-100,0
1,12,Economia,12,11,0,1,10,209,327,-118,0
2,1,Contabilidade,33,11,11,0,0,267,129,138,0
2,2,Eng. Física,31,11,10,0,1,282,208,74,0
2,3,Educação Básica,27,11,8,0,3,245,220,25,1
2,4,Eng. Biomédica,24,11,6,1,4,151,145,6,0
2,5,Biologia,23,10,6,1,3,168,171,-3,0
2,6,Gestao,21,11,5,0,6,204,206,-2,0
2,7,DPT,21,11,5,0,6,211,211,0,0
2,8,Ciências do Mar,19,11,4,0,7,166,210,-44,0
2,9,GPT,17,11,3,0,8,148,178,-30,1
2,10,Psicologia,16,11,2,1,8,166,212,-46,0
2,11,Eng. Química,14,11,1,1,9,147,211,-64,0
2,12,MTC,14,10,2,0,8,156,210,-54,1
