Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia
1,EGI,0,0,0,0,0,0,0,0,0
2,Fisioterapia,0,0,0,0,0,0,0,0,0
3,EET,0,0,0,0,0,0,0,0,0
4,Eng. Mecânica,0,0,0,0,0,0,0,0,0
5,ECT,0,0,0,0,0,0,0,0,0
6,Educação Básica,0,0,0,0,0,0,0,0,0
7,Psicologia,0,0,0,0,0,0,0,0,0
8,MTC,0,0,0,0,0,0,0,0,0
9,Biologia,0,0,0,0,0,0,0,0,0
10,Design,0,0,0,0,0,0,0,0,0
11,Eng. Física,0,0,0,0,0,0,0,0,0
12,Tradução,0,0,0,0,0,0,0,0,0
13,Economia,0,0,0,0,0,0,0,0,0
14,Eng. Cívil,0,0,0,0,0,0,0,0,0
