Divisao,Grupo,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia
1,nan,1,GPT,30,11,10,0,1,57,21,36,0
1,nan,2,Eng. Mecânica,25,11,8,1,2,42,18,24,0
1,nan,3,EGI,22,11,7,1,3,51,27,24,0
1,nan,4,Eng. Biomédica,19,11,6,1,4,36,25,11,0
1,nan,5,EET,19,11,6,1,4,33,33,0,0
1,nan,6,Finanças,18,11,6,0,5,30,25,5,1
1,nan,7,Fisioterapia,16,11,4,4,3,37,28,9,0
1,nan,8,Eng. Física,16,11,5,1,5,38,32,6,0
1,nan,9,ECT,10,11,3,1,7,35,39,-4,0
1,nan,10,AP,9,11,3,0,8,22,51,-29,0
1,nan,11,Gestão,6,11,2,0,9,28,67,-39,0
1,nan,12,Eng. Informática,3,11,1,0,10,19,62,-43,0
2,A,1,Bioquímica,27,11,8,3,0,57,12,45,0
2,A,2,Eng. Química,26,11,8,2,1,39,15,24,0
2,A,3,Economia,24,11,8,0,3,55,30,25,0
2,A,4,LRE,21,11,6,3,2,48,33,15,0
2,A,5,Música,19,11,6,1,4,34,33,1,1
2,A,6,EGI B,19,11,6,1,4,41,30,11,0
2,A,7,Biologia,17,11,5,2,4,35,41,-6,0
2,A,8,Biologia e Geologia,16,11,5,1,5,29,31,-2,0
2,A,9,Design,8,11,2,2,7,19,35,-16,0
2,A,10,MTC,7,11,2,1,8,26,48,-22,0
2,A,11,Eng. Ambiente,5,11,1,2,8,22,41,-19,0
2,A,12,Educaçao Básica,0,11,0,0,11,7,63,-56,1
2,B,1,Enfermagem,30,11,10,0,1,45,16,29,0
2,B,2,Contabilidade,23,11,7,2,2,49,32,17,0
2,B,3,Eng. Aeroespacial,20,11,6,2,3,38,24,14,0
2,B,4,Eng. Materiais,19,11,6,1,4,54,36,18,0
2,B,5,Matemática,18,10,5,3,2,24,22,2,0
2,B,6,Gestao Pública,16,10,5,1,4,33,27,6,0
2,B,7,Ciências do Mar,16,10,4,4,2,34,29,5,0
2,B,8,Eng. Cívil,10,10,3,1,6,24,27,-3,0
2,B,9,Biotecnologia,10,10,3,1,6,26,31,-5,0
2,B,10,Eng. Mecânica B,10,11,3,1,7,24,41,-17,0
2,B,11,Eng. Computacional,9,11,3,0,8,27,43,-16,0
2,B,12,Traduçao,0,10,0,0,10,11,61,-50,0
