Divisao,Grupo,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia,sets_ganhos,sets_perdidos,diferenca_sets
1,,1,Fisioterapia,7,3,2,0,1,5,2,3,0,0,0,0
1,,2,EET,6,2,2,0,0,4,0,4,0,0,0,0
1,,3,EGI,6,3,2,0,1,5,3,2,0,0,0,0
1,,4,Biologia,5,2,2,0,0,4,1,3,0,0,0,0
1,,5,CBM,3,2,1,0,1,2,2,0,0,0,0,0
1,,6,Eng. Cívil,3,2,1,0,1,2,2,0,0,0,0,0
1,,7,Geologia,3,3,1,0,2,2,4,-2,0,0,0,0
1,,8,Design,3,3,1,0,2,2,4,-2,0,0,0,0
1,,9,GPT,3,2,1,0,1,2,2,0,0,0,0,0
1,,10,Eng. Informática ,2,2,1,0,1,2,3,-1,0,0,0,0
1,,11,Eng. Materiais,1,2,0,0,2,1,4,-3,0,0,0,0
1,,12,Eng. Biomédica,0,2,0,0,2,0,4,-4,0,0,0,0
2,A,1,Eng. Ambiente,6,2,2,0,0,4,0,4,0,0,0,0
2,A,2,Psicologia,6,2,2,0,0,4,0,4,0,0,0,0
2,A,3,Administração Pública,4,2,1,0,1,3,2,1,0,0,0,0
2,A,4,Contabilidade,3,2,1,0,1,3,3,0,0,0,0,0
2,A,5,LRE,3,2,1,0,1,2,2,0,0,0,0,0
2,A,6,MTC,3,2,1,0,1,2,2,0,0,0,0,0
2,A,7,Bioquímica,2,1,1,0,0,2,1,1,0,0,0,0
2,A,8,Educação Básica,2,2,1,0,1,2,3,-1,0,0,0,0
2,A,9,ECT,1,2,0,0,2,1,4,-3,0,0,0,0
2,A,10,Gestão Comercial,0,1,0,0,1,0,2,-2,0,0,0,0
2,A,11,Tradução,0,2,0,0,2,0,4,-4,0,0,0,0
2,B,1,Eng. Física,6,2,2,0,0,4,0,4,0,0,0,0
2,B,2,Música,4,2,2,0,0,4,2,2,0,0,0,0
2,B,3,CBM B,4,2,1,0,1,3,2,1,0,0,0,0
2,B,4,Biologia e Geologia,4,2,1,0,1,3,2,1,0,0,0,0
2,B,5,LLC,4,2,2,0,0,4,2,2,0,0,0,0
2,B,6,Eng. Mecânica,3,2,1,0,1,2,2,0,0,0,0,0
2,B,7,Economia,2,2,1,0,1,2,3,-1,0,0,0,0
2,B,8,Gestão,1,1,0,0,1,1,2,-1,0,0,0,0
2,B,9,Eng. Química,1,1,0,0,1,1,2,-1,0,0,0,0
2,B,10,Marketing,1,2,0,0,2,1,4,-3,0,0,0,0
2,B,11,Matemática,0,2,0,0,2,0,4,-4,0,0,0,0
