Divisao,Grupo,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia,sets_ganhos,sets_perdidos,diferenca_sets
1,,1,EET,9,3,3,0,0,6,0,6,0,0,0,0
1,,2,EGI,9,3,3,0,0,6,0,6,0,0,0,0
1,,3,Eng. Informática ,9,3,3,0,0,6,0,6,0,0,0,0
1,,4,LRE,6,2,2,0,0,4,0,4,0,0,0,0
1,,5,Eng. Mecânica,6,3,2,0,1,4,2,2,0,0,0,0
1,,6,Design,4,2,2,0,0,4,2,2,0,0,0,0
1,,7,Eng. Biomédica,3,3,1,0,2,2,4,-2,0,0,0,0
1,,8,Ciências do Mar,3,3,1,0,2,2,4,-2,0,0,0,0
1,,9,GPT,1,3,0,0,3,1,6,-5,0,0,0,0
1,,10,Tecnologias de Informação,1,3,0,0,3,1,6,-5,0,0,0,0
1,,11,ECT,0,3,0,0,3,0,6,-6,0,0,0,0
1,,12,Música,0,3,0,0,3,0,6,-6,0,0,0,0
2,A,1,Eng. Ambiente,6,2,2,0,0,4,0,4,0,0,0,0
2,A,2,CBM,6,3,2,0,1,4,2,2,0,0,0,0
2,A,3,Fisioterapia,5,2,2,0,0,4,1,3,0,0,0,0
2,A,4,Administração Pública,5,2,2,0,0,4,1,3,0,0,0,0
2,A,5,Biologia,4,2,1,0,1,3,2,1,0,0,0,0
2,A,6,Bioquímica,4,3,1,0,2,3,4,-1,0,0,0,0
2,A,7,Geologia,3,2,1,0,1,2,2,0,0,0,0,0
2,A,8,Medicina,3,2,1,0,1,2,2,0,0,0,0,0
2,A,9,Eng. Materiais,0,1,0,0,1,0,2,-2,0,0,0,0
2,A,10,Economia,0,2,0,0,2,0,4,-4,0,0,0,0
2,A,11,Biotecnologia,0,3,0,0,3,0,6,-6,0,0,0,0
2,B,1,Contabilidade,8,3,3,0,0,6,1,5,0,0,0,0
2,B,2,Eng. Física,5,2,2,0,0,4,1,3,0,0,0,0
2,B,3,MTC,4,2,1,0,1,3,2,1,0,0,0,0
2,B,4,Física,4,2,1,0,1,3,2,1,0,0,0,0
2,B,5,Matemática,4,2,1,0,1,3,2,1,0,0,0,0
2,B,6,Eng. Cívil,4,3,2,0,1,4,4,0,0,0,0,0
2,B,7,Eng. Informática B,3,2,1,0,1,3,3,0,0,0,0,0
2,B,8,Eng. Computacional,2,2,1,0,1,2,3,-1,0,0,0,0
2,B,9,EET B,2,3,0,0,3,2,6,-4,0,0,0,0
2,B,10,Gestão,0,1,0,0,1,0,2,-2,0,0,0,0
2,B,11,Psicologia,0,2,0,0,2,0,4,-4,0,0,0,0
