Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Falta de Comparência,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
1,2025-10-21 00:00:00,21h20,Caixa UA,EGI,12.0,4.0,Biologia,,1146,630,2.0,2.0,1.1161231740339044,223.22463480678087,223.22463480678087,0.008555949469192914,-0.008555949469192786,2,-2,1148,628,False,0,0,1148,628
1,2025-10-21 00:00:00,21h20,Caixa UA,Fisioterapia,21.0,5.0,Tradução,,979,674,2.0,2.0,1.1543165676600577,230.86331353201155,230.86331353201155,0.05683152084009724,-0.05683152084009725,13,-13,992,661,False,0,0,992,661
1,2025-10-21 00:00:00,21h40,Caixa UA,EET,14.0,4.0,Economia,,803,594,2.0,2.0,1.1334615816706974,226.6923163341395,226.6923163341395,0.12730935567501667,-0.12730935567501678,29,-29,832,565,False,0,0,832,565
1,2025-10-21 00:00:00,21h40,Caixa UA,Eng. Mecânica,15.0,3.0,Eng. Física,,863,708,2.0,2.0,1.174618943088019,234.9237886176038,234.9237886176038,0.19347247718289218,-0.19347247718289215,45,-45,908,663,False,0,0,908,663
1,2025-10-21 00:00:00,22h00,Caixa UA,ECT,3.0,9.0,Design,,750,750,2.0,2.0,1.1161231740339044,223.22463480678087,223.22463480678087,-0.5,0.5,-112,112,638,862,False,0,0,638,862
1,2025-10-21 00:00:00,22h00,Caixa UA,Educação Básica,1.0,8.0,MTC,,526,750,2.0,2.0,1.2311444133449163,246.22888266898326,246.22888266898326,-0.1127337519231929,0.1127337519231929,-28,28,498,778,False,0,0,498,778
1,2025-10-21 00:00:00,22h20,Caixa UA,Psicologia,1.0,9.0,Eng. Cívil,,451,750,2.0,2.0,1.2457309396155174,249.14618792310347,249.14618792310347,-0.05986723347799784,0.05986723347799783,-15,15,436,765,False,0,0,436,765
2,2025-10-21 00:00:00,22h20,Caixa UA,EGI,14.0,3.0,Eng. Física,,1148,663,1.2905158776306287,1.2905158776306287,1.1665428015545503,150.54420073418626,150.54420073418626,0.01135120692161462,-0.011351206921614704,2,-2,1150,661,False,0,0,1150,661
2,2025-10-21 00:00:00,22h40,Caixa UA,EET,12.0,4.0,Tradução,,832,661,1.2905158776306287,1.2905158776306287,1.1161231740339044,144.03746774822469,144.03746774822469,0.17150928800004395,-0.17150928800004395,25,-25,857,636,False,0,0,857,636
2,2025-10-21 00:00:00,22h40,Caixa UA,Fisioterapia,21.0,10.0,Economia,,992,565,1.2905158776306287,1.2905158776306287,1.0770154403043632,138.99055261661232,138.99055261661232,0.019212111315880853,-0.01921211131588073,3,-3,995,562,False,0,0,995,562
2,2025-10-21 00:00:00,23h00,Caixa UA,Educação Básica,20.0,1.0,Eng. Cívil,,498,765,1.2905158776306287,1.2905158776306287,1.3492828476735634,174.12709383374025,174.12709383374025,0.9212287924615202,-0.9212287924615202,160,-160,658,605,False,0,0,658,605
2,2025-10-21 00:00:00,23h00,Caixa UA,Eng. Mecânica,12.0,10.0,Biologia,,908,628,1.2905158776306287,1.2905158776306287,1.0183993761470242,131.42605646868617,131.42605646868617,0.07050909562522967,-0.07050909562522961,9,-9,917,619,False,0,0,917,619
2,2025-10-21 00:00:00,23h20,Caixa UA,ECT,1.0,13.0,Psicologia,,638,436,1.2905158776306287,1.2905158776306287,1.2923922207808318,166.78526810439723,166.78526810439723,-0.8653539062672898,0.8653539062672898,-144,144,494,580,False,0,0,494,580
2,2025-10-21 00:00:00,23h20,Caixa UA,MTC,6.0,2.0,Design,,778,862,1.2905158776306287,1.2905158776306287,1.1161231740339044,144.03746774822469,144.03746774822469,0.6843139488696278,-0.6843139488696278,99,-99,877,763,False,0,0,877,763
