Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisao,Grupo,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
1,2024-11-13 00:00:00,19h20,PAH,MTC,10,8,EGI,1.0,,750,750,2.0,2.0,1.0225651825635729,204.51303651271456,204.51303651271456,0.5,-0.5,102,-102,852,648,False,0,0,852,648
1,2024-11-13 00:00:00,19h20,PAH,EET,15,16,Eng. Mecânica,1.0,,750,750,2.0,2.0,1.0064747230925555,201.2949446185111,201.2949446185111,-0.5,0.5,-101,101,649,851,False,0,0,649,851
1,2024-11-13 00:00:00,19h40,PAH,Biologia,12,15,Fisioterapia,1.0,,750,750,2.0,2.0,1.0225651825635729,204.51303651271456,204.51303651271456,-0.5,0.5,-102,102,648,852,False,0,0,648,852
1,2024-11-13 00:00:00,19h40,PAH,Eng. Aeroespacial,10,19,Eng. Materiais,1.0,,750,750,2.0,2.0,1.0662900584785258,213.25801169570516,213.25801169570516,-0.5,0.5,-107,107,643,857,False,0,0,643,857
1,2024-11-13 00:00:00,20h00,PAH,Economia,6,8,ECT,1.0,,750,750,2.0,2.0,1.0291860089647606,205.83720179295213,205.83720179295213,-0.5,0.5,-103,103,647,853,False,0,0,647,853
2,2024-11-13 00:00:00,20h00,PAH,EGI,6,9,EET,1.0,,648,649,1.3710190645764506,1.3710190645764506,1.0413797439924106,142.77514824773385,142.77514824773385,-0.4976974311842966,0.49769743118429666,-71,71,577,720,False,0,0,577,720
2,2024-11-13 00:00:00,20h20,PAH,ECT,6,7,MTC,1.0,,853,852,1.3710190645764506,1.3710190645764506,1.0155344930023524,139.23171506412055,139.23171506412055,-0.5023025688157033,0.5023025688157035,-70,70,783,922,False,0,0,783,922
2,2024-11-13 00:00:00,20h20,PAH,Eng. Mecânica,20,12,Biologia,1.0,,851,648,1.3710190645764506,1.3710190645764506,1.0524097791489255,144.2873870959869,144.2873870959869,0.13357654352878023,-0.1335765435287802,19,-19,870,629,False,0,0,870,629
2,2024-11-13 00:00:00,20h40,PAH,Eng. Materiais,15,6,Economia,1.0,,857,647,1.3710190645764506,1.3710190645764506,1.0959582263852172,150.25796223535266,150.25796223535266,0.12628957905491867,-0.12628957905491864,19,-19,876,628,False,0,0,876,628
2,2024-11-13 00:00:00,20h40,PAH,Fisioterapia,7,10,Eng. Aeroespacial,1.0,,852,643,1.3710190645764506,1.3710190645764506,1.0363112099103142,142.0802425621329,142.0802425621329,-0.8726906443249833,0.8726906443249832,-124,124,728,767,False,0,0,728,767
1,2024-11-13 00:00:00,21h00,PAH,Eng. Física,10,3,Biologia e Geologia,2.0,A,750,750,2.0,2.0,1.1279448730054993,225.58897460109986,225.58897460109986,0.5,-0.5,113,-113,863,637,False,0,0,863,637
1,2024-11-13 00:00:00,21h00,PAH,Eng. Biomédica,9,11,TI,2.0,A,750,750,2.0,2.0,1.0202697667623288,204.05395335246575,204.05395335246575,-0.5,0.5,-102,102,648,852,False,0,0,648,852
1,2024-11-13 00:00:00,21h20,PAH,Finanças,3,2,Gestao,2.0,A,750,750,2.0,2.0,1.0413797439924106,208.27594879848212,208.27594879848212,0.5,-0.5,104,-104,854,646,False,0,0,854,646
1,2024-11-13 00:00:00,21h20,PAH,Matemática,9,4,GPT,2.0,A,750,750,2.0,2.0,1.0844717711976986,216.89435423953972,216.89435423953972,0.5,-0.5,108,-108,858,642,False,0,0,858,642
2,2024-11-13 00:00:00,21h40,PAH,Biologia e Geologia,5,6,Eng. Biomédica,2.0,A,637,648,1.3710190645764506,1.3710190645764506,1.0183993761470242,139.62449600503342,139.62449600503342,-0.47469320701954143,0.47469320701954143,-66,66,571,714,False,0,0,571,714
1,2024-11-13 00:00:00,21h40,PAH,Eng. Química,7,3,DPT,2.0,A,750,750,2.0,2.0,1.0884229198901703,217.68458397803406,217.68458397803406,0.5,-0.5,109,-109,859,641,False,0,0,859,641
2,2024-11-13 00:00:00,22h00,PAH,TI,12,9,Matemática,2.0,A,852,858,1.3710190645764506,1.3710190645764506,1.0291860089647606,141.10336392860367,141.10336392860367,0.513811995706751,-0.513811995706751,73,-73,925,785,False,0,0,925,785
2,2024-11-13 00:00:00,22h00,PAH,DPT,3,7,Eng. Física,2.0,A,641,863,1.3710190645764506,1.3710190645764506,1.0884229198901703,149.22485734913903,149.22485734913903,-0.11458946343928747,0.11458946343928744,-17,17,624,880,False,0,0,624,880
2,2024-11-13 00:00:00,22h20,PAH,Gestao,11,16,Eng. Química,2.0,A,646,859,1.3710190645764506,1.3710190645764506,1.0381801711228769,142.33648070747063,142.33648070747063,-0.12327210816502111,0.1232721081650211,-18,18,628,877,False,0,0,628,877
2,2024-11-13 00:00:00,22h20,PAH,GPT,5,4,Finanças,2.0,A,642,854,1.3710190645764506,1.3710190645764506,1.0225651825635729,140.19563600667573,140.19563600667573,0.8757290153768148,-0.8757290153768147,123,-123,765,731,False,0,0,765,731
1,2024-11-13 00:00:00,22h40,PAH,AP,5,9,Eng. Informática,2.0,B,750,750,2.0,2.0,1.0605404816140187,212.10809632280373,212.10809632280373,-0.5,0.5,-106,106,644,856,False,0,0,644,856
1,2024-11-13 00:00:00,22h40,PAH,LRE,14,3,Eng. Civil,2.0,B,750,750,2.0,2.0,1.1665428015545503,233.30856031091005,233.30856031091005,0.5,-0.5,117,-117,867,633,False,0,0,867,633
1,2024-11-13 00:00:00,23h00,PAH,Biotecnologia,12,8,Design,2.0,B,750,750,2.0,2.0,1.0413797439924106,208.27594879848212,208.27594879848212,0.5,-0.5,104,-104,854,646,False,0,0,854,646
1,2024-11-13 00:00:00,23h00,PAH,Bioquímica,12,17,Psicologia,2.0,B,750,750,2.0,2.0,1.03544436156698,207.088872313396,207.088872313396,-0.5,0.5,-104,104,646,854,False,0,0,646,854
1,2024-11-13 00:00:00,23h20,PAH,Educaçao Básica,2,11,Eng. Compotacional,2.0,B,750,750,2.0,2.0,1.185867778627801,237.1735557255602,237.1735557255602,-0.5,0.5,-119,119,631,869,False,0,0,631,869
2,2024-11-13 00:00:00,23h20,PAH,Eng. Civil,6,13,AP,2.0,B,633,644,1.3710190645764506,1.3710190645764506,1.0803866526987886,148.1230697963976,148.1230697963976,-0.47469320701954143,0.47469320701954143,-70,70,563,714,False,0,0,563,714
2,2024-11-13 00:00:00,23h40,PAH,Eng. Compotacional,9,14,LRE,2.0,B,869,867,1.3710190645764506,1.3710190645764506,1.0451738918191427,143.29533314816095,143.29533314816095,-0.5046050399709767,0.5046050399709766,-72,72,797,939,False,0,0,797,939
