Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisao,Grupo,Falta de Comparência,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
1,2024-10-22 00:00:00,21h00,Sintético,Eng. Computacional,3.0,3.0,Matemática,2.0,A,,750,750,2.0,2.0,1.0,200.0,200.0,0.0,0.0,0,0,750,750,False,0,0,750,750
1,2024-10-22 00:00:00,21h00,Sintético,CBM,2.0,1.0,Psicologia,2.0,A,,750,750,2.0,2.0,1.0717734625362931,214.35469250725862,214.35469250725862,0.5,-0.5,107,-107,857,643,False,0,0,857,643
1,2024-10-22 00:00:00,22h00,Sintético,MTC,2.0,2.0,AP,2.0,A,,750,750,2.0,2.0,1.0,200.0,200.0,0.0,0.0,0,0,750,750,False,0,0,750,750
1,2024-10-22 00:00:00,22h00,Sintético,LRE,0.0,4.0,Eng. Mecânica B,2.0,A,,750,750,2.0,2.0,1.2311444133449163,246.22888266898326,246.22888266898326,-0.5,0.5,-123,123,627,873,False,0,0,627,873
1,2024-10-22 00:00:00,23h00,Sintético,Contabilidade,4.0,0.0,Biologia,2.0,B,,750,750,2.0,2.0,1.2311444133449163,246.22888266898326,246.22888266898326,0.5,-0.5,123,-123,873,627,False,0,0,873,627
1,2024-10-22 00:00:00,23h00,Sintético,Geologia,0.0,0.0,Design,2.0,B,,750,750,2.0,2.0,1.0,200.0,200.0,0.0,0.0,0,0,750,750,False,0,0,750,750
1,2024-10-23 00:00:00,15h30,Sintético,Eng. Química,0.0,1.0,Eng. Biomédica,2.0,A,,750,750,2.0,2.0,1.0717734625362931,214.35469250725862,214.35469250725862,-0.5,0.5,-107,107,643,857,False,0,0,643,857
1,2024-10-23 00:00:00,16h30,Sintético,Música,0.0,4.0,TI,2.0,B,,750,750,2.0,2.0,1.2311444133449163,246.22888266898326,246.22888266898326,-0.5,0.5,-123,123,627,873,False,0,0,627,873
1,2024-10-23 00:00:00,16h30,Sintético,Biologia e Geologia,1.0,4.0,ECT,2.0,B,,750,750,2.0,2.0,1.148698354997035,229.73967099940702,229.73967099940702,-0.5,0.5,-115,115,635,865,False,0,0,635,865
1,2024-10-23 00:00:00,17h30,Sintético,Biotecnologia,2.0,1.0,Economia,1.0,,,750,750,2.0,2.0,1.0717734625362931,214.35469250725862,214.35469250725862,0.5,-0.5,107,-107,857,643,False,0,0,857,643
1,2024-10-23 00:00:00,17h30,Sintético,Fisioterapia,8.0,0.0,Eng. Informática,1.0,,,750,750,2.0,2.0,1.3195079107728942,263.9015821545788,263.9015821545788,0.5,-0.5,132,-132,882,618,False,0,0,882,618
1,2024-10-23 00:00:00,21h00,Sintético,EET,3.0,0.0,Eng. Física,1.0,,,750,750,2.0,2.0,1.1962311988513155,239.2462397702631,239.2462397702631,0.5,-0.5,120,-120,870,630,False,0,0,870,630
1,2024-10-23 00:00:00,21h00,Sintético,Eng.Cívil,3.0,0.0,Gestao,1.0,,,750,750,2.0,2.0,1.1962311988513155,239.2462397702631,239.2462397702631,0.5,-0.5,120,-120,870,630,False,0,0,870,630
1,2024-10-23 00:00:00,22h00,Sintético,Finanças,0.0,3.0,Eng. Mecânica,1.0,,,750,750,2.0,2.0,1.1962311988513155,239.2462397702631,239.2462397702631,-0.5,0.5,-120,120,630,870,False,0,0,630,870
1,2024-10-23 00:00:00,22h00,Sintético,GPT,1.0,1.0,EGI,1.0,,,750,750,2.0,2.0,1.0,200.0,200.0,0.0,0.0,0,0,750,750,False,0,0,750,750
2,2024-11-12 00:00:00,21h30,Sintético,Economia,2.0,4.0,GPT,1.0,,,643,750,1.4344650847254958,1.4344650847254958,1.0717734625362931,153.74216107436618,153.74216107436618,-0.27180055700473754,0.2718005570047375,-42,42,601,792,False,0,0,601,792
2,2024-11-12 00:00:00,21h30,Sintético,Eng. Mecânica,2.0,1.0,Biotecnologia,1.0,,,870,857,1.4344650847254958,1.4344650847254958,1.0717734625362931,153.74216107436618,153.74216107436618,0.4701021041073924,-0.47010210410739234,72,-72,942,785,False,0,0,942,785
2,2024-11-12 00:00:00,22h30,Sintético,Eng. Física,0.0,4.0,Fisioterapia,1.0,,,630,882,1.4344650847254958,1.4344650847254958,1.2311444133449163,176.60336751981365,176.60336751981365,-0.0893981493760276,0.08939814937602752,-16,16,614,898,False,0,0,614,898
2,2024-11-12 00:00:00,22h30,Sintético,Eng. Informática,1.0,3.0,Finanças,1.0,,,618,630,1.4344650847254958,1.4344650847254958,1.1161231740339044,160.1039723404634,160.1039723404634,-0.4723970719641226,0.4723970719641226,-76,76,542,706,False,0,0,542,706
2,2024-11-13 00:00:00,16h30,Sintético,Psicologia,3.0,1.0,Eng. Computacional,2.0,A,,643,750,1.3710190645764506,1.3710190645764506,1.1161231740339044,153.02261500160625,153.02261500160625,0.7281994429952625,-0.7281994429952625,111,-111,754,639,False,0,0,754,639
2,2024-11-13 00:00:00,17h30,Sintético,Matemática,1.0,0.0,LRE,2.0,A,,750,627,1.3710190645764506,1.3710190645764506,1.0717734625362931,146.94218500443722,146.94218500443722,0.24363149773542248,-0.2436314977354225,36,-36,786,591,False,0,0,786,591
2,2024-11-13 00:00:00,17h30,Sintético,Eng. Biomédica,0.0,1.0,CBM,2.0,A,,857,857,1.3710190645764506,1.3710190645764506,1.0717734625362931,146.94218500443722,146.94218500443722,-0.5,0.5,-73,73,784,930,False,0,0,784,930
2,2024-11-13 00:00:00,20h00,Sintético,Gestao,3.0,3.0,EET,1.0,,,630,870,1.4344650847254958,1.4344650847254958,1.0,143.4465084725496,143.4465084725496,0.4011868291216677,-0.4011868291216677,58,-58,688,812,False,0,0,688,812
2,2024-11-13 00:00:00,20h00,Sintético,EGI,2.0,1.0,Eng.Cívil,1.0,,,750,870,1.4344650847254958,1.4344650847254958,1.0717734625362931,153.74216107436618,153.74216107436618,0.7512407935337106,-0.7512407935337106,115,-115,865,755,False,0,0,865,755
2,2024-11-13 00:00:00,21h00,Sintético,AP,4.0,1.0,Eng. Química,2.0,A,,750,643,1.3710190645764506,1.3710190645764506,1.148698354997035,157.48873441485426,157.48873441485426,0.2718005570047375,-0.27180055700473754,43,-43,793,600,False,0,0,793,600
2,2024-11-13 00:00:00,21h00,Sintético,Eng. Mecânica B,5.0,2.0,MTC,2.0,A,,873,750,1.3710190645764506,1.3710190645764506,1.0959582263852172,150.25796223535266,150.25796223535266,0.24363149773542248,-0.2436314977354225,37,-37,910,713,False,0,0,910,713
2,2024-11-14 00:00:00,21h30,Sintético,Design,1.0,4.0,Contabilidade,2.0,B,,750,873,1.3333333333333333,1.3333333333333333,1.148698354997035,153.15978066627133,153.15978066627133,-0.2436314977354225,0.24363149773542248,-37,37,713,910,False,0,0,713,910
2,2024-11-14 00:00:00,21h30,Sintético,Biologia,3.0,2.0,Biologia e Geologia,2.0,B,,627,635,1.3333333333333333,1.3333333333333333,1.0413797439924106,138.85063253232138,138.85063253232138,0.518412351222626,-0.5184123512226259,72,-72,699,563,False,0,0,699,563
2,2024-11-14 00:00:00,22h30,Sintético,TI,0.0,7.0,Eng. Materiais,2.0,B,,873,750,1.3333333333333333,2.0,1.3020054543174677,173.60072724232901,260.40109086349355,-0.7563685022645775,0.7563685022645775,-131,197,742,947,False,0,0,742,947
2,2024-11-14 00:00:00,22h30,Sintético,ECT,4.0,0.0,Música,2.0,B,,865,627,1.3333333333333333,1.3333333333333333,1.2311444133449163,164.1525884459888,164.1525884459888,0.10046568199024475,-0.10046568199024475,16,-16,881,611,False,0,0,881,611
3,2024-11-26 00:00:00,21h30,Sintético,Fisioterapia,2.0,1.0,Gestao,1.0,,,898,688,1.2137926106053525,1.2137926106053525,1.0717734625362931,130.0910709069465,130.0910709069465,0.12628957905491867,-0.12628957905491864,16,-16,914,672,False,0,0,914,672
3,2024-11-26 00:00:00,21h30,Sintético,Finanças,3.0,4.0,Eng. Física,1.0,,,706,614,1.2137926106053525,1.2137926106053525,1.0291860089647606,124.92183726198405,124.92183726198405,-0.7000112251852586,0.7000112251852586,-87,87,619,701,False,0,0,619,701
3,2024-11-26 00:00:00,22h30,Sintético,EET,1.0,4.0,EGI,1.0,,,812,865,1.2137926106053525,1.2137926106053525,1.148698354997035,139.42815751099252,139.42815751099252,-0.38032993911150986,0.3803299391115099,-53,53,759,918,False,0,0,759,918
