Eng. Materiais,Eng. Mecânica,Matemática,Biotecnologia,TI,LRE,EGI,Eng. Informática,Design,Eng. Civil,Eng. Física,Biologia,Psicologia,Eng. Aeroespacial,GPT,Finanças,EET,Eng. Química,Eng. Compotacional,DPT,Eng. Biomédica,ECT,MTC,Economia,AP,Biologia e Geologia,Bioquímica,Fisioterapia,Gestao,Educaçao Básica
750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
857,851,858,854,852,867,648,856,646,633,863,648,854,643,642,854,649,859,869,641,648,853,852,647,644,637,646,852,646,631
876,870,785,782,925,939,577,928,721,563,880,629,874,767,765,731,720,877,797,624,714,783,922,628,714,571,571,728,628,611
908,898,798,689,942,953,640,932,753,656,794,566,909,739,843,714,809,799,762,574,800,751,833,599,700,558,567,757,678,579
929,905,852,784,965,858,611,937,835,689,740,661,827,768,861,735,850,776,802,666,708,710,738,592,660,537,534,736,660,574
846,988,882,820,974,866,527,829,753,728,810,640,935,686,883,665,871,793,884,644,678,799,820,676,624,520,526,647,651,535
852,993,894,898,1011,872,521,873,709,833,744,736,830,666,846,609,891,859,806,632,734,703,721,775,659,611,491,642,560,529
771,892,902,901,1014,920,607,914,795,747,761,777,782,625,748,601,919,885,765,629,708,804,740,747,690,709,488,556,543,498
838,787,951,904,1020,945,712,932,770,729,809,840,812,711,700,659,922,836,772,571,727,718,815,684,660,703,481,538,524,495
907,846,953,935,1034,891,766,986,809,797,795,773,781,768,762,759,853,736,704,674,665,664,756,627,621,600,536,535,522,440
1026,967,953,935,915,891,872,865,809,797,795,873,781,768,762,759,747,736,704,674,665,664,656,627,621,600,536,535,522,440
1058,1015,953,935,915,891,840,865,809,797,795,825,781,768,762,759,747,736,704,674,665,664,656,627,621,600,536,535,522,440
1119,954,953,935,915,891,878,865,809,797,795,787,781,768,762,759,747,736,704,674,665,664,656,627,621,600,536,535,522,440
