EGI,Eng. Mecânica,GPT,Finanças,Contabilidade,Eng. Mecânica B,ECT,Eng. Biomédica,Eng. Química,AP,Geologia,CBM,EET,Eng. Materiais,Fisioterapia,TI,Biotecnologia,Eng. Computacional,MTC,Biologia,Matemática,Biologia e Geologia,Psicologia,Eng.Cívil,Música,Economia,Gestao,Eng. Física,Design,LRE,Eng. Informática
750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
750,870,750,630,873,873,865,857,643,750,750,857,870,947,882,873,857,750,750,627,750,635,643,870,627,643,630,630,750,627,618
865,942,792,706,910,910,881,784,600,793,724,930,812,844,898,742,785,639,713,699,786,563,754,755,611,601,688,614,713,591,542
918,948,782,619,929,865,958,786,645,791,642,937,759,876,914,728,800,632,783,734,716,593,754,765,576,595,672,701,683,591,527
917,968,762,697,945,902,972,807,721,754,709,941,818,894,915,795,831,611,776,702,640,675,761,706,599,632,594,670,660,587,490
935,970,857,679,948,945,979,764,659,796,690,968,723,913,938,819,847,683,749,635,598,659,823,683,532,729,578,573,642,515,488
912,974,861,744,994,950,984,775,786,869,787,841,768,867,893,722,870,766,666,629,593,689,750,618,529,623,684,569,618,504,484
919,982,929,808,1003,968,1000,795,838,928,772,782,704,886,825,713,880,714,687,680,573,668,732,608,502,616,676,605,613,483,448
880,1021,934,868,949,986,1054,826,842,941,803,764,686,782,765,760,898,701,656,649,670,621,635,546,606,678,688,600,565,479,436
882,1022,865,937,949,943,1033,844,842,942,803,798,740,782,792,760,871,744,656,649,636,621,617,545,606,624,604,684,565,478,434
898,1036,876,980,949,943,917,844,842,839,803,798,747,782,811,760,828,744,656,649,636,621,617,521,606,605,593,668,565,478,458
905,993,918,984,949,943,874,844,842,839,803,798,790,782,797,760,786,744,656,649,636,621,617,610,606,601,586,579,565,478,451
1008,1014,955,1011,949,943,874,844,842,839,803,798,790,782,770,760,749,744,656,649,636,621,617,610,606,601,586,579,565,478,451
1093,1014,1071,926,949,943,874,844,842,839,803,798,790,782,770,760,749,744,656,649,636,621,617,610,606,601,586,579,565,478,451
1176,1014,988,969,949,943,874,844,842,839,803,798,790,782,770,760,749,744,656,649,636,621,617,610,606,601,586,579,565,478,451
