EGI,EET,Eng. Informática,Biologia,Design,CBM,Eng. Biomédica,Fisioterapia,Eng. Cívil,Economia,DPT,Eng. Materiais,Eng. Química,GPT,Biotecnologia,ECT,Geologia,Eng. Física,Música,Psicologia,Eng. Ambiente,Biologia e Geologia,AP,Educaçao Básica,LRE,Tradução,CBM B,Traduçao,Gestao Comercial,Eng. Mecânica,Matemática,MTC,Gestao
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,1000,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
893,1115,1107,1115,1115,1115,885,1115,885,885,885,667,885,615,393,393,607,607,393,385,500,393,615,607,393,385,615,408,615,607,385,607,385
972,1197,1125,1197,1033,978,867,1033,1022,967,803,700,806,633,522,375,680,625,469,464,500,532,504,478,375,367,633,408,476,492,306,534,309
1088,1105,1217,1081,1082,929,784,949,1038,1051,787,708,889,698,498,413,615,528,374,427,500,569,445,420,472,464,666,408,534,573,405,501,271
1110,1119,1237,1088,1125,907,777,970,995,1031,766,717,875,747,557,508,620,599,481,396,500,569,436,412,564,440,617,408,565,474,382,430,266
1152,1189,1250,1018,1131,945,739,957,953,900,760,724,1006,626,589,475,660,699,577,477,500,617,481,331,457,425,623,408,438,426,375,350,260
1214,1202,1251,1053,1069,932,852,1041,840,865,759,745,922,651,665,573,555,701,605,477,500,541,555,294,491,413,516,408,423,531,284,316,258
1216,1206,1257,1113,1083,976,838,981,836,821,757,751,916,656,679,655,606,619,564,460,500,522,582,378,503,428,465,408,417,432,263,311,245
1220,1235,1169,1201,1054,1037,834,920,776,881,854,758,819,697,694,669,663,562,578,453,500,458,473,470,483,428,437,408,392,384,372,351,205
1170,1285,1195,1204,1073,1011,897,944,752,862,791,756,816,711,694,689,675,590,578,501,500,477,473,470,469,428,409,408,392,384,372,337,190
1176,1288,1197,1207,1098,1027,894,919,750,856,788,756,800,710,694,689,675,590,578,501,500,477,473,470,469,428,409,408,392,384,372,337,190
1186,1289,1121,1111,1174,1123,941,909,820,809,787,756,730,710,694,689,675,590,578,501,500,477,473,470,469,428,409,408,392,384,372,337,190
1189,1290,1228,1196,1067,1038,941,909,820,809,787,756,730,710,694,689,675,590,578,501,500,477,473,470,469,428,409,408,392,384,372,337,190
1284,1341,1133,1145,1067,1038,941,909,820,809,787,756,730,710,694,689,675,590,578,501,500,477,473,470,469,428,409,408,392,384,372,337,190
1392,1233,1178,1100,1067,1038,941,909,820,809,787,756,730,710,694,689,675,590,578,501,500,477,473,470,469,428,409,408,392,384,372,337,190
