LRE,EET,Design,EGI,Música,Eng. Informática,Biologia,ECT,DPT,GPT,TI,Fisioterapia,Eng. Mecânica,Eng. Química,Ciências do Mar,Eng. Materiais,Eng. Biomédica,Bioquímica,CBM,Eng. Física,AP,Gestao,LLC,Educaçao Básica,MTC,Economia,Eng. Cívil,Psicologia,Física,Eng. Ambiente,Eng. Computacional,Contabilidade,Biotecnologia,Matemática,Eng. Informática B,EET B
500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,1000,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
393,1059,1115,1115,1115,885,885,885,885,1115,885,1115,615,829,607,607,385,607,559,615,615,385,500,500,607,615,393,607,393,615,393,385,438,385,393,385
529,1077,1133,1197,1033,843,867,808,1007,1192,962,1038,677,811,652,620,462,462,497,479,468,532,500,500,477,634,538,626,374,540,463,343,391,366,379,308
580,1134,1083,1247,1048,957,919,793,893,1206,948,981,683,759,664,574,572,398,560,543,417,630,500,500,414,698,578,528,315,430,358,332,324,358,361,413
509,1152,1021,1248,1110,1004,872,791,967,1208,930,907,692,758,670,613,581,454,584,570,390,564,500,500,405,736,593,599,306,430,448,327,387,347,298,413
654,1158,1034,1264,1218,988,960,785,1030,1100,867,819,701,745,736,668,516,512,595,662,332,509,500,500,454,739,609,507,295,387,409,324,449,285,279,380
726,1209,956,1266,1146,1066,863,910,905,1049,964,817,704,828,614,615,559,528,613,662,439,555,500,500,367,608,664,400,292,371,540,283,399,219,345,373
732,1275,984,1155,1146,1066,813,960,878,1076,1075,789,757,805,686,674,510,558,550,590,427,570,500,500,409,657,598,370,250,368,424,399,393,214,329,453
733,1278,1068,1172,1155,1071,923,943,875,966,991,717,760,800,697,683,547,563,637,652,427,574,500,500,399,570,536,370,343,407,387,469,393,210,326,383
736,1282,1096,1187,1159,1080,919,915,867,951,1012,713,777,791,702,683,585,623,647,662,511,514,500,500,491,553,536,365,423,407,377,431,383,209,321,294
749,1314,1120,1155,1161,1120,848,943,938,927,972,711,780,763,739,683,658,586,574,667,528,501,500,500,491,461,452,427,423,407,374,351,321,315,304,255
863,1329,1105,1169,1060,1138,949,925,924,948,874,809,777,742,739,683,658,586,574,561,528,501,500,500,491,461,452,427,423,407,374,351,321,315,304,255
1016,1158,1138,1174,1007,1191,949,925,924,915,874,809,777,742,739,683,658,586,574,561,528,501,500,500,491,461,452,427,423,407,374,351,321,315,304,255
1170,1158,1066,1246,1007,1038,949,925,924,915,874,809,777,742,739,683,658,586,574,561,528,501,500,500,491,461,452,427,423,407,374,351,321,315,304,255
1170,1158,1101,1092,1007,1003,949,925,924,915,874,809,777,742,739,683,658,586,574,561,528,501,500,500,491,461,452,427,423,407,374,351,321,315,304,255
