team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.00,0.09,0.00,0.00,0.01,0.00,17.57,1.02,10.47,1.80,572.1,69.3
Biologia,0.00,0.00,0.00,0.00,0.00,0.00,6.55,1.16,18.92,1.94,332.4,89.1
Biologia e Geologia,10.75,26.52,0.03,0.00,42.89,0.00,26.32,1.01,4.08,1.86,761.1,82.2
Ciências do Mar,0.00,0.00,0.00,0.00,0.00,0.00,13.35,1.07,14.25,1.77,425.4,56.9
DPT,0.00,0.53,0.00,0.00,0.10,0.00,17.75,1.52,10.69,2.52,528.7,87.8
Economia,67.88,34.58,1.21,0.00,93.93,0.00,28.48,0.52,1.68,1.12,888.3,48.8
Educação Básica,0.00,0.00,0.00,0.00,0.00,0.00,10.08,0.73,15.95,1.23,404.7,39.6
Eng. Biomédica,21.07,22.00,0.38,0.00,58.17,0.00,26.78,0.89,3.23,1.98,788.8,80.2
Eng. Civil,96.09,0.00,0.00,0.00,0.00,0.45,12.81,0.62,13.40,1.24,993.7,47.9
Eng. Computadores e Telemática,2.26,0.00,0.00,0.00,0.00,56.64,6.33,0.59,18.94,1.54,758.5,62.2
Eng. Eletrónica e Telecomunicações,100.00,58.38,26.85,0.01,0.00,0.00,20.20,0.21,7.50,0.72,1189.3,11.6
Eng. Física,0.00,0.00,0.00,0.00,0.00,99.99,1.60,0.05,22.06,0.28,593.3,8.7
Eng. Informática,64.59,0.05,0.04,0.00,0.00,0.51,12.26,1.04,15.14,2.11,893.0,79.2
Eng. Mecânica,100.00,49.67,22.96,0.13,0.00,0.00,20.94,0.61,7.94,2.43,1168.5,69.6
Eng. de Materiais,34.56,0.02,0.00,0.00,0.00,0.59,10.43,0.62,16.39,1.40,885.5,52.1
Eng. e Gestão Industrial,100.00,99.95,99.85,99.77,0.00,0.00,27.18,0.13,2.35,0.51,1439.7,8.9
Fisioterapia,2.50,0.00,0.00,0.00,0.00,41.82,5.76,0.46,18.71,1.52,774.0,59.7
Gestão,0.30,4.60,0.01,0.00,4.87,0.00,19.45,2.16,9.23,3.39,623.8,123.7
Gestão Comercial,100.00,83.28,43.97,0.08,0.00,0.00,24.15,0.43,4.97,1.48,1217.1,57.2
MTC,0.00,0.00,0.00,0.00,0.00,0.00,3.46,1.18,22.24,1.75,150.4,75.0
Marketing,100.00,19.92,4.70,0.01,0.00,0.00,19.45,0.26,9.68,1.47,1085.9,55.1
Matemática,0.00,0.41,0.00,0.00,0.03,0.00,19.08,0.78,7.27,1.63,640.6,50.8
Psicologia,0.00,0.00,0.00,0.00,0.00,0.00,4.60,0.45,20.93,0.96,228.3,36.2
