team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Biologia,34.90,12.01,5.84,2.74,0.00,0.00,7.57,1.54,9.26,2.37,695.3,104.1
Design,27.78,11.40,5.91,3.12,0.00,0.00,7.20,1.14,9.86,2.42,732.7,117.7
Economia,5.42,1.63,0.69,0.27,0.00,0.00,2.78,1.36,12.16,1.92,596.8,100.3
Educação Básica,4.71,1.46,0.64,0.36,0.00,0.00,2.26,0.66,12.19,1.88,509.4,121.9
Eng. Civil,94.70,43.29,19.35,8.66,0.00,0.00,15.13,1.10,4.67,2.20,803.2,114.9
Eng. Computadores e Telemática,5.67,1.46,0.59,0.25,0.00,0.00,2.63,0.79,11.99,1.90,510.0,118.9
Eng. Eletrónica e Telecomunicações,93.20,44.26,21.99,10.17,0.00,0.00,13.43,0.89,5.20,2.21,842.5,112.4
Eng. Física,58.48,18.39,8.03,3.46,0.00,0.00,10.09,1.46,8.14,2.45,667.1,109.4
Eng. Mecânica,99.47,65.13,35.67,18.96,0.00,0.00,18.44,0.63,2.90,1.86,967.9,119.6
Eng. e Gestão Industrial,95.65,60.02,32.68,17.85,0.00,0.00,16.38,0.89,4.04,2.25,963.6,112.5
Fisioterapia,99.48,64.72,34.94,18.89,0.00,0.00,18.30,0.87,2.68,1.84,967.7,119.0
MTC,97.26,50.94,22.87,10.33,0.00,0.00,16.29,1.36,3.88,2.18,841.5,102.6
Psicologia,31.91,10.08,4.54,2.14,0.00,0.00,5.90,0.96,9.46,2.32,631.8,116.8
Tradução,51.37,15.21,6.26,2.80,0.00,0.00,9.76,1.57,8.56,2.60,644.5,108.0
