team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,6.48,2.51,0.61,0.16,0.35,0.00,12.81,2.00,16.02,6.23,460.7,107.3
Biologia,43.49,16.29,8.80,4.13,11.75,0.00,15.28,2.51,13.16,6.91,911.5,122.0
Biologia e Geologia,4.15,1.56,0.49,0.20,3.96,0.00,10.92,2.20,18.84,6.56,541.0,108.8
Biotecnologia,11.45,3.17,1.70,0.91,15.12,0.02,7.53,1.84,19.79,6.51,809.3,109.9
Ciências do Mar,6.15,1.93,0.50,0.19,0.35,0.00,11.78,2.21,17.40,6.63,446.4,107.6
Contabilidade,25.15,8.99,2.86,0.83,23.73,0.00,16.72,2.40,12.38,6.36,620.2,108.0
Design,27.79,9.70,2.94,0.78,24.64,0.00,17.12,2.36,11.76,6.20,606.0,109.2
Economia,0.88,0.25,0.04,0.01,0.88,0.00,9.58,2.43,22.23,6.01,563.1,113.3
Eng. Aeroespacial,45.45,20.57,11.47,5.15,10.15,0.00,15.69,3.00,12.54,7.28,929.5,123.7
Eng. Biomédica,54.25,11.66,2.88,0.57,2.10,0.00,19.43,1.90,8.24,4.72,518.0,102.0
Eng. Civil,12.66,5.30,1.88,0.66,12.21,0.00,13.14,3.00,16.34,7.32,599.6,118.2
Eng. Computacional,0.40,0.06,0.01,0.01,0.01,0.00,5.25,2.08,24.65,5.15,378.0,108.4
Eng. Computadores e Telemática,69.17,35.82,18.42,8.58,5.67,0.02,18.86,2.72,8.52,6.12,956.9,127.0
Eng. Eletrónica e Telecomunicações,58.85,28.18,15.18,7.04,7.83,0.00,17.16,2.49,10.21,6.34,957.2,123.9
Eng. Física,17.78,4.79,1.45,0.39,2.62,0.00,15.94,1.84,13.47,6.03,522.7,111.0
Eng. Informática,6.07,1.54,0.88,0.43,11.23,0.00,5.96,2.33,22.49,6.29,779.1,106.9
Eng. Mecânica,91.86,58.16,30.16,15.21,1.26,0.00,25.58,1.97,4.62,3.70,1048.1,120.4
Eng. Mecânica B,0.00,0.00,0.00,0.00,0.03,0.00,10.88,1.80,20.48,5.87,429.6,109.5
Eng. de Materiais,98.81,78.48,46.96,29.34,0.18,0.00,30.98,1.34,2.00,1.91,1213.9,115.9
Eng. e Gestão Industrial,96.15,66.57,32.74,17.05,0.39,0.00,26.45,2.17,3.22,2.71,1086.4,115.9
Física,2.47,0.94,0.27,0.09,2.41,0.00,10.18,1.88,19.42,6.00,538.3,108.8
Gestão,6.70,2.02,0.58,0.11,0.52,0.00,12.85,2.10,16.07,6.17,461.1,106.1
Gestão e Planeamento em Turismo,17.25,5.62,1.89,0.65,16.50,0.00,14.95,2.07,13.95,6.11,624.8,105.1
Línguas e Relações Empresariais,9.62,3.54,1.20,0.44,9.15,0.00,11.76,2.23,16.85,6.79,568.2,111.9
"Línguas, Literaturas e Culturas",0.01,0.00,0.00,0.00,0.00,0.00,4.14,1.80,26.58,3.97,355.1,107.4
MTC,19.07,5.83,3.25,1.59,12.87,0.00,10.92,2.41,18.38,7.10,863.3,124.2
Matemática,51.80,21.89,11.01,4.75,10.17,0.13,15.04,2.62,11.44,6.65,898.7,122.0
Música,0.03,0.00,0.00,0.00,0.03,0.00,2.84,1.51,26.58,4.01,421.3,111.1
Psicologia,8.23,2.39,0.58,0.19,0.69,0.00,14.21,2.24,16.36,6.63,463.6,119.9
Tecnologias de Informação,7.83,2.24,1.25,0.54,13.20,0.01,7.23,1.92,20.99,6.30,791.3,114.7
