team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Biologia,38.20,3.12,1.06,0.29,0.00,0.00,9.56,1.79,9.64,2.45,684.5,126.2
Ciências Biomédicas,97.36,31.18,9.77,1.73,0.00,0.00,16.05,0.98,4.84,1.72,863.8,72.9
Contabilidade,0.11,0.02,0.01,0.00,0.00,0.00,1.60,0.58,14.51,0.91,440.6,57.1
Economia,0.06,0.00,0.00,0.00,0.00,0.00,1.30,0.48,14.07,0.85,413.0,53.8
Educação Básica,14.49,0.32,0.04,0.01,0.00,0.00,7.07,1.23,10.81,2.08,606.2,112.3
Eng. Biomédica,96.22,63.20,32.47,8.20,0.00,0.00,17.83,1.24,4.28,1.99,955.1,92.4
Eng. Civil,100.00,96.22,78.40,63.12,0.00,0.00,22.04,0.42,1.79,1.06,1168.0,67.0
Eng. Eletrónica e Telecomunicações,31.93,4.60,1.69,0.32,0.00,0.00,9.41,2.29,9.96,2.83,660.5,134.0
Eng. Informática,8.27,0.57,0.18,0.02,0.00,0.00,6.79,1.10,10.87,1.71,625.6,81.5
Eng. Mecânica,58.16,6.29,2.42,0.48,0.00,0.00,11.88,1.74,8.23,2.27,732.0,118.5
Eng. de Materiais,39.22,2.96,1.21,0.24,0.00,0.00,9.46,1.22,9.17,1.90,709.4,109.5
Eng. e Gestão Industrial,96.04,34.98,14.64,3.85,0.00,0.00,15.35,0.97,5.38,1.91,885.2,97.5
Fisioterapia,99.92,79.07,23.35,12.27,0.00,0.00,20.06,0.96,2.63,1.83,1013.9,89.6
Matemática,99.69,71.15,30.95,8.49,0.00,0.00,18.82,0.67,3.66,1.53,973.0,70.1
Música,20.33,6.32,3.81,0.98,0.00,0.00,8.79,1.78,10.15,2.49,740.4,108.9
