team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.00,0.15,0.06,0.01,2.33,0.00,16.12,0.73,14.08,3.88,738.2,71.3
Automação e Sistemas de Produção,0.00,0.00,0.00,0.00,0.00,0.00,4.54,1.19,33.71,4.28,361.8,86.1
Biologia,0.02,0.00,0.00,0.00,0.02,0.00,6.72,0.78,31.83,3.56,370.6,72.7
Biologia e Geologia,0.00,0.00,0.00,0.00,0.00,0.00,4.25,1.11,35.14,4.60,346.6,112.3
Bioquímica,45.41,24.23,13.77,5.13,0.00,12.54,17.34,2.91,14.46,8.26,978.5,146.4
Biotecnologia,0.00,0.00,0.00,0.00,0.00,0.00,4.56,1.10,33.60,5.03,327.5,92.7
Ciências Biomédicas,0.69,0.93,0.06,0.00,1.74,0.00,13.95,1.44,18.64,5.52,565.0,104.6
Ciências do Mar,0.17,0.00,0.00,0.00,0.22,0.00,10.69,1.14,23.78,4.63,514.5,92.9
Contabilidade,60.63,22.56,11.61,3.50,0.00,4.22,19.28,1.82,11.84,6.08,994.3,114.7
Design,0.00,0.00,0.00,0.00,0.00,0.00,5.71,1.34,31.96,5.03,382.9,121.5
Economia,36.38,7.27,0.52,0.01,36.68,0.00,20.71,0.66,8.22,3.22,733.6,81.0
Enfermagem,38.94,12.45,6.97,2.09,0.00,19.60,15.48,2.56,16.79,7.98,958.5,135.1
Eng. Aeroespacial,0.00,0.01,0.01,0.00,0.01,0.00,8.38,1.13,28.07,4.88,443.2,84.7
Eng. Biomédica,36.62,13.18,8.94,3.30,0.00,8.07,15.68,2.00,15.97,6.79,982.1,125.6
Eng. Civil,0.00,0.00,0.00,0.00,0.00,0.00,6.45,1.94,31.92,6.65,364.9,125.3
Eng. Computacional,36.57,1.79,0.15,0.00,36.57,0.00,18.91,0.73,11.22,3.62,636.0,76.5
Eng. Computadores e Telemática,87.75,65.15,9.03,0.51,95.93,0.00,25.05,0.33,2.88,1.50,963.1,50.5
Eng. Eletrónica e Telecomunicações,2.39,0.25,0.15,0.12,0.00,77.92,6.98,1.82,30.26,6.54,804.6,111.2
Eng. Física,0.17,0.00,0.00,0.00,0.00,93.37,3.62,1.60,36.28,5.22,694.4,111.7
Eng. Informática,0.01,0.00,0.00,0.00,0.02,0.00,14.67,0.97,16.36,4.53,617.3,85.3
Eng. Mecânica,99.93,95.70,74.10,54.86,0.00,0.00,30.37,0.59,1.21,0.85,1267.9,64.3
Eng. Mecânica B,0.00,0.00,0.00,0.00,0.00,0.00,7.95,1.97,29.26,6.89,415.1,129.9
Eng. Química,6.09,0.39,0.23,0.12,0.00,58.17,10.23,2.11,25.75,7.26,823.2,123.7
Eng. de Materiais,63.44,11.41,0.93,0.02,63.53,0.00,21.52,0.47,6.84,2.41,767.1,63.1
Eng. do Ambiente,0.26,0.01,0.01,0.00,0.26,0.00,9.09,0.94,27.28,4.75,364.7,84.1
Eng. e Gestão Industrial,16.12,1.89,1.03,0.44,0.00,31.33,12.97,2.01,20.57,6.97,895.1,122.6
Eng. e Gestão Industrial B,0.00,0.00,0.00,0.00,0.00,0.00,19.81,0.84,8.64,4.03,706.1,79.6
Finanças,94.84,68.81,34.30,16.00,0.00,0.06,24.10,1.23,5.08,3.74,1131.4,94.6
Fisioterapia,24.03,1.10,0.56,0.33,0.00,13.33,13.81,1.48,17.80,5.87,945.9,98.5
Gestão,0.54,0.00,0.00,0.00,0.54,0.00,13.50,0.67,19.19,4.02,592.6,72.9
Gestão Pública,10.44,12.17,1.21,0.00,19.83,0.00,20.11,1.40,8.62,5.07,732.8,104.3
Gestão e Planeamento em Turismo,74.83,51.32,35.46,13.54,0.00,3.89,20.24,2.52,9.08,7.06,1092.6,129.8
Línguas e Relações Empresariais,0.03,0.00,0.00,0.00,0.03,0.00,11.01,0.98,22.62,4.91,484.3,85.5
MOC,0.00,0.00,0.00,0.00,0.00,0.00,3.78,0.61,35.30,3.20,287.2,73.2
MTC,0.00,0.00,0.00,0.00,0.01,0.00,9.05,1.00,27.81,4.79,431.5,90.9
Marketing,1.12,1.50,0.15,0.00,1.96,0.00,17.38,1.11,12.88,4.82,653.8,86.9
Matemática,62.58,7.73,0.75,0.02,62.58,0.00,19.23,0.99,9.47,4.65,700.9,101.4
Música,0.00,0.00,0.00,0.00,0.17,0.00,10.57,1.23,24.21,5.39,524.4,108.3
Psicologia,0.00,0.00,0.00,0.00,0.00,0.00,11.34,1.52,23.88,5.88,487.9,114.2
Tradução,0.00,0.00,0.00,0.00,0.00,0.00,2.55,0.48,37.48,2.34,211.2,54.8
