team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Adminstração Pública,0.27,17.99,15.60,14.45,0.27,0.00,20.99,0.00,9.26,1.10,1499.8,4.3
Biologia,97.26,47.58,35.42,8.54,0.36,0.00,24.58,1.10,7.50,3.78,1184.5,85.8
Biologia e Geologia,1.41,0.93,0.07,0.00,0.47,0.00,19.22,1.99,14.48,5.57,585.1,121.5
Bioquímica,2.33,4.46,0.38,0.03,1.23,0.00,18.43,1.71,13.61,5.53,611.5,137.2
Ciências Biomédicas,85.27,26.50,14.13,5.38,0.89,0.34,19.99,1.83,10.63,5.64,1081.9,136.8
Ciências Biomédicas B,0.00,0.00,0.00,0.00,0.00,0.00,7.80,1.54,25.56,4.04,373.0,109.0
Contabilidade,0.00,0.00,0.00,0.00,0.00,0.00,12.77,2.34,21.90,5.50,453.5,138.9
Design,31.37,1.34,0.96,0.49,9.51,1.63,15.21,1.67,18.33,4.94,951.8,129.1
Economia,1.47,0.72,0.01,0.00,1.34,0.00,18.58,2.29,15.68,6.11,600.9,147.6
Educação Básica,0.00,0.00,0.00,0.00,0.00,0.00,7.43,1.40,26.45,3.80,346.5,104.0
Eng. Biomédica,0.01,0.00,0.00,0.00,0.39,0.00,0.83,0.29,32.83,1.28,621.2,57.7
Eng. Civil,2.44,0.12,0.10,0.04,25.39,0.81,10.77,1.17,25.15,3.73,869.7,129.6
Eng. Computadores e Telemática,0.00,0.00,0.00,0.00,0.00,0.00,2.52,1.06,30.60,2.65,269.0,122.1
Eng. Eletrónica e Telecomunicações,100.00,83.36,54.08,40.70,0.00,0.00,31.37,0.57,1.27,0.83,1361.2,69.8
Eng. Física,7.11,2.34,0.26,0.02,5.01,0.00,17.75,2.26,15.34,6.21,587.0,140.6
Eng. Informática,64.93,10.20,6.88,1.70,5.62,1.38,17.81,2.08,14.31,5.90,1042.1,134.6
Eng. Mecânica,4.49,1.12,0.08,0.00,0.52,0.00,18.80,1.59,14.33,5.08,547.0,129.2
Eng. Química,61.22,22.21,1.38,0.05,47.20,0.00,24.01,1.58,7.47,4.81,706.1,131.8
Eng. de Materiais,0.01,0.00,0.00,0.00,2.94,0.15,4.03,0.54,30.78,2.01,675.2,58.7
Eng. do Ambiente,78.33,24.03,1.15,0.02,37.08,0.00,25.34,0.90,4.89,2.88,725.0,97.1
Eng. e Gestão Industrial,99.97,84.33,46.50,21.16,0.00,0.00,27.12,0.65,3.07,1.93,1275.6,73.3
Fisioterapia,97.77,48.45,20.84,7.24,0.01,0.01,23.40,1.69,6.43,4.61,1127.3,133.9
Geologia,6.48,0.26,0.16,0.03,26.29,12.17,10.86,1.24,22.78,3.92,828.2,92.3
Gestão,4.72,1.43,0.15,0.03,2.38,0.00,15.28,2.54,19.24,6.44,470.9,141.0
Gestão Comercial,0.00,0.00,0.00,0.00,0.00,0.00,8.69,1.97,25.44,5.22,335.1,142.8
Gestão e Planeamento em Turismo,14.49,0.69,0.36,0.09,10.33,1.78,12.03,2.22,21.81,5.77,884.3,140.5
Línguas e Relações Empresariais,12.51,5.36,0.23,0.03,5.65,0.00,18.95,2.02,12.82,5.91,541.9,136.1
"Línguas, Literaturas e Culturas",13.86,5.25,0.39,0.00,13.35,0.00,20.03,1.89,14.00,5.91,608.0,133.7
MTC,0.00,0.00,0.00,0.00,0.00,0.00,14.35,2.32,20.67,5.45,494.0,140.0
Marketing,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.81,33.21,1.88,197.5,76.0
Matemática,0.00,0.00,0.00,0.00,0.00,0.00,4.36,1.02,28.84,2.61,282.6,85.3
Música,5.72,0.69,0.03,0.00,1.19,0.00,17.89,1.44,14.85,4.38,538.1,97.2
Psicologia,6.56,10.64,0.84,0.00,2.58,0.00,23.02,1.76,9.42,5.46,627.7,135.0
Tradução,0.00,0.00,0.00,0.00,0.00,0.00,12.51,2.26,22.05,5.31,415.8,131.1
