team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,14.09,15.88,2.29,0.08,14.03,0.00,25.67,1.04,7.34,2.93,766.2,90.7
Biologia,0.00,0.00,0.00,0.00,0.00,0.00,17.82,1.49,16.10,3.91,665.9,112.6
Bioquímica,0.01,0.01,0.00,0.00,0.01,0.00,13.02,2.00,20.16,5.26,505.3,127.9
Biotecnologia,0.00,0.00,0.00,0.00,0.00,0.00,1.99,1.00,31.14,3.02,253.2,84.7
Ciências Biomédicas,0.91,6.95,1.21,0.12,0.91,0.00,21.85,1.09,9.21,3.14,699.7,106.1
Ciências do Mar,29.64,1.62,0.82,0.50,9.08,5.95,13.87,1.80,18.05,4.41,899.1,123.1
Contabilidade,32.62,8.29,0.37,0.00,5.33,0.00,26.64,1.36,6.82,3.06,624.1,95.0
Design,99.56,75.98,46.95,19.01,0.02,0.00,27.89,1.01,4.77,2.60,1204.8,79.2
Economia,0.00,0.00,0.00,0.00,0.00,0.00,4.72,1.17,30.45,2.92,400.0,103.8
Eng. Biomédica,15.25,0.12,0.08,0.05,5.09,15.13,11.91,1.37,20.20,4.33,783.7,97.7
Eng. Civil,0.03,0.00,0.00,0.00,0.00,0.00,16.48,1.65,17.31,4.61,439.7,135.5
Eng. Computacional,0.00,0.00,0.00,0.00,0.00,0.00,10.42,1.95,24.17,5.07,312.2,131.0
Eng. Computadores e Telemática,0.18,0.00,0.00,0.00,3.47,1.72,2.40,1.07,30.42,2.98,637.1,84.2
Eng. Eletrónica e Telecomunicações,99.73,52.90,30.85,11.98,0.00,0.01,25.00,1.07,6.57,3.16,1143.8,89.6
Eng. Eletrónica e Telecomunicações B,0.00,0.00,0.00,0.00,0.00,0.00,3.74,1.82,30.65,3.88,154.2,119.4
Eng. Física,55.08,13.99,1.04,0.07,20.49,0.00,26.82,1.71,6.20,3.59,677.3,127.8
Eng. Informática,98.60,52.09,34.90,18.50,0.01,0.00,26.07,1.95,6.28,3.92,1153.3,131.1
Eng. Informática B,0.00,0.00,0.00,0.00,0.00,0.00,13.90,2.30,19.61,5.76,378.1,141.6
Eng. Mecânica,73.19,5.67,3.38,1.60,2.01,3.15,19.23,1.57,13.76,4.17,980.5,122.6
Eng. de Materiais,0.00,0.01,0.00,0.00,0.00,0.00,9.78,1.57,23.17,4.69,469.3,128.1
Eng. do Ambiente,0.40,5.65,0.75,0.04,0.40,0.00,20.85,1.89,11.52,4.45,683.6,133.7
Eng. e Gestão Industrial,99.85,85.90,66.71,44.53,0.00,0.00,30.96,1.22,2.22,2.29,1285.1,111.6
Fisioterapia,84.59,59.03,5.39,0.96,84.55,0.00,28.91,0.49,2.59,1.68,946.7,62.3
Física,12.27,5.63,0.39,0.03,3.58,0.00,22.76,1.31,9.12,3.37,574.9,123.7
Geologia,0.00,0.00,0.00,0.00,0.00,0.00,9.23,1.12,23.34,3.86,477.2,105.8
Gestão,0.00,0.01,0.00,0.00,0.00,0.00,16.79,2.35,16.85,5.35,450.9,152.8
Gestão e Planeamento em Turismo,3.85,0.00,0.00,0.00,18.30,1.10,7.76,1.80,25.64,4.91,791.9,124.6
Línguas e Relações Empresariais,78.52,10.27,4.87,2.53,1.65,1.34,18.97,1.93,12.57,4.61,1028.4,127.5
MTC,0.00,0.00,0.00,0.00,0.00,0.00,13.26,1.88,20.93,5.19,370.0,137.5
Matemática,0.00,0.00,0.00,0.00,0.00,0.00,10.85,1.33,20.91,3.98,305.0,113.7
Medicina,0.00,0.00,0.00,0.00,0.00,0.00,11.16,1.15,22.66,4.33,417.1,100.1
Música,0.34,0.00,0.00,0.00,19.94,0.05,7.36,2.05,26.23,4.83,782.8,137.4
Psicologia,0.00,0.00,0.00,0.00,0.00,0.00,3.33,1.54,30.96,3.38,168.6,117.6
Tecnologias de Informação,1.29,0.00,0.00,0.00,11.13,0.85,6.60,1.69,27.12,4.46,728.5,130.6
