jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
4,,,Eng. Mecânica,Eng. e Gestão Industrial,1171.0,0.0,1337.0,0.0,0.09,0.13,99.78,1,
4,,,Ciências do Mar,Eng. Biomédica,503.0,0.0,733.0,0.0,0.00,0.00,100.00,2,
4,,,DPT,Economia,587.0,0.0,771.0,0.0,0.00,0.04,99.96,2,
5,,,Eng. Eletrónica e Telecomunicações,Eng. Informática,1122.0,0.0,961.0,0.0,99.76,0.12,0.12,1,
5,,,Eng. e Gestão Industrial,Gestão Comercial,1379.2,8.0,1207.0,0.0,99.74,0.16,0.10,1,
5,,,Eng. Civil,Eng. Física,942.0,0.0,654.0,0.0,99.99,0.00,0.01,1,
5,,,Eng. de Materiais,Eng. Mecânica,938.0,0.0,1128.8,8.0,0.02,0.00,99.98,1,
5,,,Fisioterapia,Marketing,799.0,0.0,1086.0,0.0,0.00,0.01,99.99,1,
5,,,Administração Pública,Psicologia,533.0,0.0,298.0,0.0,99.99,0.01,0.00,2,
5,,,Biologia,MTC,326.0,0.0,258.0,0.0,85.45,4.59,9.96,2,
5,,,Biologia e Geologia,Matemática,697.0,0.0,601.0,0.0,94.05,2.45,3.50,2,
5,,,Economia,Ciências do Mar,809.1,3.6,475.8,2.0,100.00,0.00,0.00,2,
5,,,Educação Básica,Eng. Biomédica,436.0,0.0,760.2,2.0,0.00,0.01,99.99,2,
5,,,Gestão,DPT,587.0,0.0,548.9,3.6,70.94,7.48,21.58,2,
6,,,Eng. Computadores e Telemática,Eng. Eletrónica e Telecomunicações,811.0,0.0,1165.4,8.8,0.01,0.00,99.99,1,
6,,,Eng. Física,Fisioterapia,637.4,2.4,782.2,1.7,0.34,0.44,99.22,1,
6,,,Eng. Informática,Eng. Civil,917.6,8.8,958.6,2.4,20.84,7.51,71.65,1,
6,,,Gestão Comercial,Eng. de Materiais,1166.3,7.6,901.3,4.3,99.97,0.03,0.00,1,
6,,,Marketing,Eng. e Gestão Industrial,1102.8,1.7,1406.3,9.9,0.01,0.01,99.98,1,
6,,,Ciências do Mar,Gestão,468.3,2.0,621.6,86.4,10.07,2.39,87.54,2,
6,,,DPT,Administração Pública,526.6,56.0,559.1,2.2,28.78,5.06,66.16,2,
6,,,Eng. Biomédica,Economia,768.0,2.1,816.6,3.3,17.67,6.54,75.79,2,
6,,,MTC,Educação Básica,208.5,65.2,423.8,1.4,2.55,0.89,96.56,2,
6,,,Matemática,Biologia,546.5,41.6,375.5,65.2,98.95,0.63,0.42,2,
6,,,Psicologia,Biologia e Geologia,271.9,2.2,751.5,41.6,0.00,0.00,100.00,2,
7,,,Eng. e Gestão Industrial,Eng. Física,1413.6,9.1,607.0,9.8,99.99,0.01,0.00,1,
7,,,Eng. Civil,Eng. Computadores e Telemática,981.1,55.1,801.6,2.6,97.47,0.75,1.78,1,
7,,,Eng. de Materiais,Marketing,891.2,4.2,1095.5,2.2,0.02,0.00,99.98,1,
7,,,Eng. Mecânica,Gestão Comercial,1152.4,7.6,1176.5,7.2,30.13,8.91,60.96,1,
7,,,Fisioterapia,Eng. Informática,812.6,9.4,895.1,56.1,12.73,4.93,82.34,1,
7,,,Administração Pública,Ciências do Mar,575.7,53.0,454.6,25.0,89.52,2.26,8.22,2,
7,,,Biologia,Psicologia,348.1,58.7,269.5,2.8,83.75,2.61,13.64,2,
7,,,Biologia e Geologia,DPT,753.8,39.9,514.1,83.7,97.44,0.63,1.93,2,
7,,,Educação Básica,Economia,440.8,19.1,836.3,40.7,0.00,0.00,100.00,2,
7,,,Gestão,Eng. Biomédica,639.8,99.8,748.4,40.5,14.98,4.65,80.37,2,
7,,,MTC,Matemática,191.5,66.2,573.9,39.2,0.19,0.13,99.68,2,
8,,,Eng. Computadores e Telemática,Fisioterapia,783.4,14.7,792.6,35.7,41.71,8.11,50.18,1,
8,,,Eng. Eletrónica e Telecomunicações,Eng. Civil,1170.1,8.2,999.3,53.0,99.15,0.45,0.40,1,
8,,,Eng. Física,Eng. de Materiais,607.0,9.8,874.4,4.9,0.03,0.00,99.97,1,
8,,,Eng. Informática,Eng. e Gestão Industrial,915.0,65.9,1413.6,9.1,0.00,0.00,100.00,1,
8,,,Marketing,Eng. Mecânica,1112.3,2.4,1141.7,48.1,32.93,7.22,59.85,1,
8,,,Ciências do Mar,Biologia e Geologia,435.3,39.0,766.3,42.6,0.21,0.03,99.76,2,
8,,,DPT,Biologia,501.7,78.3,368.5,77.8,86.22,3.68,10.10,2,
8,,,Economia,Gestão,839.8,39.1,624.5,103.2,98.05,0.82,1.13,2,
8,,,Eng. Biomédica,Administração Pública,763.7,55.7,595.0,62.0,94.98,1.33,3.69,2,
8,,,Matemática,Educação Básica,578.6,38.0,437.2,18.7,98.06,0.66,1.28,2,
8,,,Psicologia,MTC,249.1,28.4,186.8,61.5,80.24,4.28,15.48,2,
