jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
4,,,Biologia,Eng. Civil,646.0,0.0,831.0,0.0,32.04,7.44,60.52,,
4,,,Eng. e Gestão Industrial,Eng. Eletrónica e Telecomunicações,1058.0,0.0,834.0,0.0,63.96,7.25,28.79,,
4,,,Economia,MTC,524.0,0.0,883.0,0.0,20.33,5.97,73.70,,
4,,,Educação Básica,Eng. Computadores e Telemática,457.0,0.0,471.0,0.0,45.16,8.04,46.80,,
4,,,Eng. Física,Design,684.0,0.0,711.0,0.0,43.20,8.15,48.65,,
4,,,Fisioterapia,Eng. Mecânica,1018.0,0.0,1009.0,0.0,47.19,8.04,44.77,,
4,,,Tradução,Psicologia,674.0,0.0,574.0,0.0,54.77,7.62,37.61,,
5,,,Biologia,MTC,687.5,94.5,842.6,82.8,34.43,8.00,57.57,,
5,,,Eng. Eletrónica e Telecomunicações,Educação Básica,877.1,92.2,461.9,98.9,76.65,5.77,17.58,,
5,,,Eng. e Gestão Industrial,Eng. Civil,1014.9,92.2,789.5,94.5,63.08,7.71,29.21,,
5,,,Economia,Eng. Física,564.4,82.8,691.0,98.7,36.33,7.95,55.72,,
5,,,Eng. Mecânica,Eng. Computadores e Telemática,1010.7,98.9,466.1,98.9,82.37,4.35,13.28,,
5,,,Fisioterapia,Psicologia,1016.3,98.9,600.4,97.5,76.36,5.66,17.98,,
5,,,Tradução,Design,647.6,97.5,704.0,98.7,42.26,7.65,50.09,,
6,,,Biologia,Tradução,702.0,98.8,653.2,100.7,51.17,7.42,41.41,,
6,,,Eng. Eletrónica e Telecomunicações,Eng. Computadores e Telemática,860.3,102.6,480.4,108.7,73.51,6.13,20.36,,
6,,,Eng. e Gestão Industrial,Psicologia,997.8,98.2,617.3,107.5,73.77,6.04,20.19,,
6,,,Economia,Eng. Civil,576.4,88.6,806.6,103.4,29.65,7.01,63.34,,
6,,,Educação Básica,Eng. Física,478.7,108.6,679.1,103.0,32.00,7.44,60.56,,
6,,,Eng. Mecânica,MTC,996.4,108.3,828.1,89.8,59.34,7.49,33.17,,
6,,,Fisioterapia,Design,999.4,108.7,698.3,101.7,68.65,6.71,24.64,,
7,,,Biologia,Eng. Física,699.0,101.7,663.4,109.1,48.07,7.81,44.12,,
7,,,Eng. Eletrónica e Telecomunicações,MTC,842.3,112.8,841.7,98.5,45.83,7.82,46.35,,
7,,,Eng. e Gestão Industrial,Design,980.3,107.0,716.0,110.2,66.15,6.92,26.93,,
7,,,Economia,Psicologia,593.7,96.5,634.8,116.2,42.38,7.72,49.90,,
7,,,Eng. Mecânica,Educação Básica,982.9,111.0,494.4,113.4,80.12,4.97,14.91,,
7,,,Fisioterapia,Eng. Civil,981.7,115.5,789.2,109.6,60.74,7.30,31.96,,
7,,,Tradução,Eng. Computadores e Telemática,656.2,103.3,498.3,117.6,59.10,6.86,34.04,,
