jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
1,,,Eng. Computadores e Telemática,Eng. Aeroespacial,987.0,0.0,942.0,0.0,49.23,8.14,42.63,1,
1,,,Eng. de Materiais,Eng. Informática,1343.0,0.0,682.0,0.0,88.76,3.44,7.80,1,
1,,,Economia,Design,560.0,0.0,663.0,0.0,37.20,8.14,54.66,2,A
1,,,Eng. Civil,Contabilidade,579.0,0.0,669.0,0.0,38.64,8.17,53.19,2,A
4,,,Contabilidade,Física,643.8,97.7,517.0,0.0,55.36,7.61,37.03,2,A
4,,,Design,Línguas e Relações Empresariais,635.8,97.1,554.0,0.0,52.11,8.33,39.56,2,A
4,,,Eng. Civil,Economia,604.2,97.7,587.2,97.1,47.95,7.96,44.09,2,A
4,,,Gestão e Planeamento em Turismo,Biologia e Geologia,674.0,0.0,500.0,0.0,60.52,7.91,31.57,2,A
4,,,Eng. Biomédica,Eng. Computacional,594.0,0.0,291.0,0.0,68.84,7.14,24.02,2,B
4,,,Eng. Mecânica B,Administração Pública,433.0,0.0,454.0,0.0,45.08,8.28,46.64,2,B
4,,,"Línguas, Literaturas e Culturas",Ciências do Mar,272.0,0.0,467.0,0.0,31.31,7.45,61.24,2,B
4,,,Psicologia,Gestão,528.0,0.0,433.0,0.0,53.54,7.73,38.73,2,B
5,,,Eng. Computadores e Telemática,Eng. Eletrónica e Telecomunicações,973.0,98.6,970.0,0.0,45.50,8.06,46.44,1,
5,,,Eng. e Gestão Industrial,Tecnologias de Informação,1161.0,0.0,686.0,0.0,80.45,5.02,14.53,1,
5,,,Eng. Aeroespacial,Matemática,956.0,98.6,874.0,0.0,52.63,7.87,39.50,1,
5,,,Eng. Informática,Eng. Mecânica,701.2,56.7,1157.0,0.0,15.27,5.28,79.45,1,
5,,,Eng. de Materiais,Biotecnologia,1323.8,56.7,707.0,0.0,87.40,3.53,9.07,1,
5,,,MTC,Biologia,821.0,0.0,908.0,0.0,38.78,8.01,53.21,1,
5,,,Biologia e Geologia,Contabilidade,538.2,94.2,629.9,100.1,38.80,7.82,53.38,2,A
5,,,Economia,Música,588.5,105.3,322.0,0.0,66.67,7.16,26.17,2,A
5,,,Física,Eng. Civil,544.9,98.1,602.8,105.7,41.87,7.96,50.17,2,A
5,,,Línguas e Relações Empresariais,Gestão e Planeamento em Turismo,572.9,99.3,635.8,94.2,40.85,8.19,50.96,2,A
5,,,Administração Pública,Psicologia,445.8,98.8,501.1,97.9,42.16,7.98,49.86,2,B
5,,,Ciências do Mar,Eng. Mecânica B,424.5,94.1,441.2,98.8,44.81,7.64,47.55,2,B
5,,,Eng. Computacional,"Línguas, Literaturas e Culturas",335.4,87.5,314.5,94.1,48.05,8.31,43.64,2,B
5,,,Gestão,Eng. Física,459.9,97.9,583.0,0.0,37.35,7.81,54.84,2,B
6,,,Biologia,Eng. de Materiais,883.9,97.8,1309.4,71.5,17.62,5.58,76.80,1,
6,,,Biotecnologia,Eng. Computadores e Telemática,727.8,60.5,971.3,103.5,27.99,6.86,65.15,1,
6,,,Eng. Eletrónica e Telecomunicações,Eng. Aeroespacial,972.5,101.3,944.5,105.8,48.26,7.73,44.01,1,
6,,,Eng. Mecânica,Eng. e Gestão Industrial,1124.4,74.8,1129.1,73.5,45.96,8.08,45.96,1,
6,,,Matemática,Eng. Informática,891.3,99.2,722.9,76.7,59.49,7.05,33.46,1,
6,,,Tecnologias de Informação,MTC,717.9,73.5,845.1,97.8,36.51,8.20,55.29,1,
