jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
1,,,Eng. Mecânica B,Eng. Computacional,722.0,0.0,582.0,0.0,69.66,18.31,12.03,2,A
2,,,Eng. Computacional,Biologia,578.9,76.0,351.0,0.0,80.25,14.12,5.63,2,A
4,,,Biotecnologia,Administração Pública,992.0,0.0,608.0,0.0,87.70,9.77,2.53,1,
4,,,Eng. Eletrónica e Telecomunicações,Gestão e Planeamento em Turismo,820.0,0.0,1205.0,0.0,2.45,9.83,87.72,1,
4,,,Eng. Mecânica,Fisioterapia,1139.0,0.0,1195.0,0.0,26.26,23.53,50.21,1,
4,,,Biologia,Eng. Informática,349.4,58.5,544.0,0.0,7.55,13.72,78.73,2,A
4,,,Eng. Física,Tecnologias de Informação,479.0,0.0,740.0,0.0,2.69,9.44,87.87,2,A
4,,,Geologia,Eng. Mecânica B,560.0,0.0,725.1,76.0,11.33,15.90,72.77,2,A
4,,,MTC,Ciências Biomédicas,409.0,0.0,564.0,0.0,9.89,17.74,72.37,2,B
4,,,Matemática,Eng. Civil,510.0,0.0,874.0,0.0,2.20,9.69,88.11,2,B
5,,,Administração Pública,Eng. Eletrónica e Telecomunicações,616.8,43.9,828.7,43.7,6.04,13.07,80.89,1,
5,,,Contabilidade,Eng. e Gestão Industrial,771.0,0.0,1333.0,0.0,2.62,9.30,88.08,1,
5,,,Eng. Computadores e Telemática,Eng. Mecânica,839.0,0.0,1139.1,92.7,3.24,11.17,85.59,1,
5,,,Economia,Biotecnologia,973.0,0.0,983.2,43.9,35.83,23.35,40.82,1,
5,,,Fisioterapia,Eng. Biomédica,1194.9,92.7,564.0,0.0,88.06,9.35,2.59,1,
5,,,Gestão e Planeamento em Turismo,Finanças,1196.3,43.7,1121.0,0.0,55.26,21.78,22.96,1,
5,,,Eng. Computacional,Eng. Física,579.7,79.9,475.2,45.0,59.77,20.01,20.22,2,A
5,,,Eng. Informática,Eng. de Materiais,548.5,60.9,811.0,0.0,2.63,10.48,86.89,2,A
5,,,Eng. Mecânica B,Biologia,727.0,84.3,347.1,66.8,86.36,10.01,3.63,2,A
5,,,Tecnologias de Informação,Geologia,743.8,45.0,556.4,67.5,76.60,13.81,9.59,2,A
5,,,Biologia e Geologia,Matemática,287.0,0.0,516.7,42.6,4.18,11.82,84.00,2,B
5,,,Ciências Biomédicas,Música,567.5,71.2,326.0,0.0,82.40,12.06,5.54,2,B
5,,,Eng. Civil,Marketing,867.3,42.6,328.0,0.0,87.69,9.87,2.44,2,B
5,,,Eng. Química,Gestão,678.0,0.0,851.0,0.0,8.07,16.45,75.48,2,B
6,,,Biotecnologia,Contabilidade,983.2,75.2,784.9,43.8,76.45,14.19,9.36,1,
