jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
2,,,Eng. Biomédica,Música,933.0,0.0,772.0,0.0,81.92,11.12,6.96,,
4,,,Biologia,Educação Básica,680.0,0.0,607.0,0.0,60.86,17.02,22.12,,
4,,,Eng. Eletrónica e Telecomunicações,Eng. de Materiais,676.0,0.0,709.0,0.0,30.31,19.58,50.11,,
4,,,Economia,Ciências Biomédicas,411.0,0.0,856.0,0.0,1.27,4.54,94.19,,
4,,,Matemática,Contabilidade,980.0,0.0,442.0,0.0,94.28,4.32,1.40,,
4,,,Música,Eng. e Gestão Industrial,756.3,62.2,875.0,0.0,15.03,12.33,72.64,,
5,,,Eng. Eletrónica e Telecomunicações,Ciências Biomédicas,669.9,96.4,852.6,31.6,10.97,10.11,78.92,,
5,,,Eng. e Gestão Industrial,Eng. Informática,887.9,74.0,640.0,0.0,89.70,6.04,4.26,,
5,,,Educação Básica,Contabilidade,598.5,90.7,447.5,32.2,73.90,12.86,13.24,,
5,,,Eng. Civil,Eng. Biomédica,1156.0,0.0,948.7,62.2,87.03,8.22,4.75,,
5,,,Eng. de Materiais,Matemática,715.1,96.4,974.5,32.2,3.95,6.86,89.19,,
5,,,Eng. Mecânica,Biologia,723.0,0.0,688.5,90.7,49.13,16.16,34.71,,
5,,,Fisioterapia,Música,996.0,0.0,749.8,74.9,88.88,6.70,4.42,,
6,,,Biologia,Eng. Biomédica,687.0,104.9,941.9,65.3,6.05,7.08,86.87,,
6,,,Ciências Biomédicas,Eng. Informática,857.1,45.6,630.0,45.9,89.93,5.98,4.09,,
6,,,Contabilidade,Eng. de Materiais,442.7,49.0,710.1,95.5,5.06,6.80,88.14,,
6,,,Eng. e Gestão Industrial,Fisioterapia,892.9,77.0,1005.4,45.8,18.15,14.65,67.20,,
6,,,Economia,Eng. Civil,414.4,31.6,1169.6,53.1,1.43,4.29,94.28,,
6,,,Educação Básica,Matemática,603.2,97.0,979.5,39.7,1.83,4.75,93.42,,
6,,,Eng. Mecânica,Eng. Eletrónica e Telecomunicações,725.9,88.1,665.4,102.3,56.21,13.21,30.58,,
7,,,Biologia,Eng. Eletrónica e Telecomunicações,682.8,105.5,662.9,113.1,47.94,13.09,38.97,,
7,,,Educação Básica,Economia,602.2,95.1,418.1,35.3,79.36,10.52,10.12,,
7,,,Eng. Biomédica,Eng. e Gestão Industrial,946.2,70.8,888.4,86.7,55.23,15.38,29.39,,
7,,,Eng. Civil,Eng. Informática,1165.9,55.3,623.2,51.1,94.11,4.53,1.36,,
7,,,Eng. de Materiais,Eng. Mecânica,713.7,96.3,728.5,98.7,40.34,14.09,45.57,,
7,,,Matemática,Fisioterapia,980.5,42.9,1009.8,62.4,33.83,17.23,48.94,,
7,,,Música,Ciências Biomédicas,745.1,78.3,863.9,50.7,17.05,11.33,71.62,,
8,,,Biologia,Música,683.6,115.4,739.4,88.9,33.88,13.74,52.38,,
8,,,Ciências Biomédicas,Fisioterapia,869.6,63.9,1011.5,79.2,14.97,11.35,73.68,,
8,,,Contabilidade,Eng. e Gestão Industrial,439.2,54.6,886.0,98.5,1.63,4.59,93.78,,
8,,,Eng. Eletrónica e Telecomunicações,Eng. Informática,662.1,122.7,625.6,53.0,49.57,13.67,36.76,,
8,,,Economia,Eng. Mecânica,413.2,48.5,728.8,109.6,3.00,5.87,91.13,,
8,,,Eng. Biomédica,Eng. de Materiais,948.6,84.2,713.4,107.9,83.26,8.44,8.30,,
8,,,Matemática,Eng. Civil,978.8,63.8,1163.5,56.8,8.91,9.08,82.01,,
9,,,Ciências Biomédicas,Contabilidade,864.4,72.7,440.0,55.8,93.75,4.74,1.51,,
9,,,Eng. Biomédica,Eng. Eletrónica e Telecomunicações,952.6,89.2,663.0,133.4,85.89,6.78,7.33,,
9,,,Eng. Civil,Biologia,1169.3,66.2,682.5,126.1,93.79,4.42,1.79,,
9,,,Eng. Informática,Educação Básica,624.7,68.0,607.0,99.9,46.34,14.68,38.98,,
9,,,Fisioterapia,Economia,1016.7,89.2,410.1,51.9,94.44,4.28,1.28,,
9,,,Música,Eng. Mecânica,740.4,98.6,731.9,107.9,43.56,14.13,42.31,,
