jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
6,,,Ciências Biomédicas,Fisioterapia,1080.0,0.0,1127.0,0.0,39.84,0.00,60.16,1,
6,,,Eng. Eletrónica e Telecomunicações,Eng. de Materiais,1362.0,0.0,674.0,0.0,99.83,0.00,0.17,1,
6,,,Eng. Biomédica,Eng. e Gestão Industrial,620.0,0.0,1275.0,0.0,0.23,0.00,99.77,1,
6,,,Eng. Informática,Design,1045.0,0.0,951.0,0.0,69.94,0.00,30.06,1,
6,,,Gestão e Planeamento em Turismo,Eng. Civil,886.0,0.0,869.0,0.0,53.28,0.00,46.72,1,
6,,,Geologia,Biologia,828.0,0.0,1186.0,0.0,3.82,0.00,96.18,1,
6,,,Contabilidade,MTC,453.0,0.0,494.0,0.0,40.84,0.00,59.16,2,A
6,,,Educação Básica,Adminstração Pública,347.0,0.0,1500.0,0.0,0.00,0.00,100.00,2,A
6,,,Gestão Comercial,Eng. Computadores e Telemática,338.0,0.0,265.0,0.0,65.00,0.00,35.00,2,A
6,,,Línguas e Relações Empresariais,Eng. do Ambiente,543.0,0.0,725.0,0.0,15.56,0.00,84.44,2,A
6,,,Psicologia,Bioquímica,629.0,0.0,611.0,0.0,54.02,0.00,45.98,2,A
6,,,Biologia e Geologia,Ciências Biomédicas B,588.0,0.0,374.0,0.0,87.71,0.00,12.29,2,B
6,,,Economia,Eng. Física,600.0,0.0,587.0,0.0,53.66,0.00,46.34,2,B
6,,,Eng. Mecânica,Gestão,546.0,0.0,471.0,0.0,66.62,0.00,33.38,2,B
6,,,Eng. Química,"Línguas, Literaturas e Culturas",706.0,0.0,606.0,0.0,71.48,0.00,28.52,2,B
6,,,Música,Marketing,538.0,0.0,198.0,0.0,95.75,0.00,4.25,2,B
7,,,Biologia,Eng. de Materiais,1185.4,43.3,674.4,9.3,99.06,0.00,0.94,1,
7,,,Design,Eng. Biomédica,952.3,101.6,619.5,10.9,94.12,0.00,5.88,1,
7,,,Eng. e Gestão Industrial,Ciências Biomédicas,1275.5,10.9,1081.2,107.8,81.94,0.00,18.06,1,
7,,,Eng. Civil,Eng. Eletrónica e Telecomunicações,870.5,110.1,1361.6,9.3,1.71,0.00,98.29,1,
7,,,Fisioterapia,Gestão e Planeamento em Turismo,1125.8,107.8,884.5,110.1,83.56,0.00,16.44,1,
7,,,Geologia,Eng. Informática,828.6,43.3,1043.7,101.6,16.54,0.00,83.46,1,
7,,,Bioquímica,Gestão Comercial,611.4,109.5,335.3,105.5,87.24,0.00,12.76,2,A
7,,,Eng. Computadores e Telemática,Línguas e Relações Empresariais,267.7,105.5,542.6,81.0,11.95,0.00,88.05,2,A
7,,,Eng. do Ambiente,Educação Básica,725.4,81.0,347.0,0.0,95.73,0.00,4.27,2,A
7,,,MTC,Psicologia,493.5,108.2,628.6,109.5,29.55,0.00,70.45,2,A
7,,,Tradução,Contabilidade,415.0,0.0,453.5,108.2,43.54,0.00,56.46,2,A
7,,,Eng. Física,Biologia e Geologia,585.7,110.0,587.7,73.7,49.45,0.00,50.55,2,B
7,,,Gestão,Eng. Química,470.8,104.6,705.9,99.9,16.33,0.00,83.67,2,B
7,,,"Línguas, Literaturas e Culturas",Economia,606.1,99.9,601.3,110.0,50.69,0.00,49.31,2,B
7,,,Marketing,Eng. Mecânica,197.9,45.7,546.2,104.6,5.86,0.00,94.14,2,B
7,,,Matemática,Música,283.0,0.0,538.1,45.7,8.98,0.00,91.02,2,B
8,,,Ciências Biomédicas,Design,1080.5,114.9,952.2,105.1,70.75,0.00,29.25,1,
8,,,Eng. Eletrónica e Telecomunicações,Fisioterapia,1361.2,17.3,1125.9,113.9,85.87,0.00,14.13,1,
8,,,Eng. Biomédica,Geologia,619.6,28.3,828.9,58.1,14.41,0.00,85.59,1,
8,,,Eng. Informática,Biologia,1043.4,108.8,1185.5,44.5,26.14,0.00,73.86,1,
8,,,Eng. de Materiais,Eng. Civil,674.2,14.4,870.8,111.0,19.24,0.00,80.76,1,
8,,,Gestão e Planeamento em Turismo,Eng. e Gestão Industrial,884.4,115.7,1276.2,41.0,4.41,0.00,95.59,1,
8,,,Adminstração Pública,Eng. do Ambiente,1500.0,0.0,725.2,84.2,99.90,0.00,0.10,2,A
8,,,Educação Básica,Eng. Computadores e Telemática,347.2,22.0,267.9,110.3,64.34,0.00,35.66,2,A
8,,,Gestão Comercial,MTC,335.3,111.1,493.8,116.7,26.28,0.00,73.72,2,A
