jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
6,,,Eng. Computadores e Telemática,Eng. Eletrónica e Telecomunicações,638.0,0.0,1146.0,0.0,1.13,0.00,98.87,1,
6,,,Eng. e Gestão Industrial,Eng. Informática,1284.0,0.0,1152.0,0.0,77.32,0.00,22.68,1,
6,,,Eng. Biomédica,Design,782.0,0.0,1206.0,0.0,2.09,0.00,97.91,1,
6,,,Gestão e Planeamento em Turismo,Eng. Mecânica,791.0,0.0,982.0,0.0,15.19,0.00,84.81,1,
6,,,Línguas e Relações Empresariais,Ciências do Mar,1028.0,0.0,899.0,0.0,76.67,0.00,23.33,1,
6,,,Música,Tecnologias de Informação,784.0,0.0,727.0,0.0,61.96,0.00,38.04,1,
6,,,Biologia,Bioquímica,667.0,0.0,503.0,0.0,81.63,0.00,18.37,2,A
6,,,Economia,Fisioterapia,399.0,0.0,947.0,0.0,0.68,0.00,99.32,2,A
6,,,Eng. do Ambiente,Geologia,686.0,0.0,477.0,0.0,86.63,0.00,13.37,2,A
6,,,Eng. de Materiais,Ciências Biomédicas,470.0,0.0,700.0,0.0,11.05,0.00,88.95,2,A
6,,,Medicina,Administração Pública,417.0,0.0,766.0,0.0,4.15,0.00,95.85,2,A
6,,,Eng. Computacional,Psicologia,314.0,0.0,167.0,0.0,79.01,0.00,20.99,2,B
6,,,Eng. Física,Física,677.0,0.0,575.0,0.0,71.53,0.00,28.47,2,B
6,,,Gestão,Eng. Civil,452.0,0.0,439.0,0.0,52.28,0.00,47.72,2,B
6,,,MTC,Eng. Informática B,371.0,0.0,377.0,0.0,48.44,0.00,51.56,2,B
6,,,Matemática,Eng. Eletrónica e Telecomunicações B,304.0,0.0,155.0,0.0,80.50,0.00,19.50,2,B
7,,,Ciências do Mar,Eng. e Gestão Industrial,898.8,94.0,1284.7,93.2,5.31,0.00,94.69,1,
7,,,Design,Eng. Informática,1206.0,32.3,1151.3,93.2,61.15,0.00,38.85,1,
