Divisao,Grupo,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia,sets_ganhos,sets_perdidos,diferenca_sets
1,,1,Eng. Informática ,15,5,5,0,0,10,0,10,0,0,0,0
1,,2,EGI,14,5,5,0,0,10,1,9,0,0,0,0
1,,3,EET,13,5,4,0,1,9,2,7,0,0,0,0
1,,4,Eng. Mecânica,11,5,4,0,1,8,3,5,0,0,0,0
1,,5,Design,10,5,4,0,1,9,5,4,0,0,0,0
1,,6,Ciências do Mar,9,5,3,0,2,6,4,2,0,0,0,0
1,,7,Eng. Biomédica,6,5,2,0,3,4,6,-2,0,0,0,0
1,,8,LRE,6,5,2,0,3,4,6,-2,0,0,0,0
1,,9,Tecnologias de Informação,4,5,1,0,4,3,8,-5,0,0,0,0
1,,10,ECT,1,5,0,0,5,1,10,-9,0,0,0,0
1,,11,GPT,1,5,0,0,5,1,10,-9,0,0,0,0
1,,12,Música,0,5,0,0,5,0,10,-10,0,0,0,0
2,A,1,Fisioterapia,12,5,5,0,0,10,3,7,0,0,0,0
2,A,2,Administração Pública,11,4,4,0,0,8,1,7,0,0,0,0
2,A,3,CBM,11,5,4,0,1,8,3,5,0,0,0,0
2,A,4,Eng. Ambiente,9,4,3,0,1,6,2,4,0,0,0,0
2,A,5,Medicina,8,5,2,0,3,6,6,0,0,0,0,0
2,A,6,Bioquímica,7,4,2,0,2,5,4,1,0,0,0,0
2,A,7,Geologia,7,5,2,0,3,5,6,-1,0,0,0,0
2,A,8,Biologia,6,5,2,0,3,5,7,-2,0,0,0,0
2,A,9,Eng. Materiais,4,4,1,0,3,3,6,-3,0,0,0,0
2,A,10,Economia,0,4,0,0,4,0,8,-8,1,0,0,0
2,A,11,Biotecnologia,0,5,0,0,5,0,10,-10,0,0,0,0
2,B,1,Contabilidade,13,5,5,0,0,10,2,8,0,0,0,0
2,B,2,Física,13,5,4,0,1,9,2,7,0,0,0,0
2,B,3,Eng. Física,10,4,4,0,0,8,2,6,0,0,0,0
2,B,4,MTC,8,5,2,0,3,6,6,0,0,0,0,0
2,B,5,Eng. Cívil,7,5,3,0,2,7,7,0,0,0,0,0
2,B,6,Matemática,7,5,2,0,3,6,7,-1,0,0,0,0
2,B,7,Eng. Informática B,6,4,2,0,2,6,6,0,0,0,0,0
2,B,8,Gestão,6,4,2,0,2,4,4,0,0,0,0,0
2,B,9,Eng. Computacional,3,4,1,0,3,3,7,-4,0,0,0,0
2,B,10,EET B,2,4,0,0,4,2,8,-6,0,0,0,0
2,B,11,Psicologia,0,5,0,0,5,0,10,-10,0,0,0,0
