Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisao,Grupo,Falta de Comparência,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
1,2024-10-22 00:00:00,21h00,Sintético,Eng. Computacional,3.0,3.0,Matemática,2.0,A,,500,500,2.0,2.0,1.0,200.0,200.0,0.0,0.0,0,0,500,500,False,0,0,500,500
1,2024-10-22 00:00:00,21h00,Sintético,CBM,2.0,1.0,Psicologia,2.0,A,,500,500,2.0,2.0,1.0717734625362931,214.35469250725862,214.35469250725862,0.5,-0.5,107,-107,607,393,False,0,0,607,393
1,2024-10-22 00:00:00,22h00,Sintético,MTC,2.0,2.0,AP,2.0,A,,500,500,2.0,2.0,1.0,200.0,200.0,0.0,0.0,0,0,500,500,False,0,0,500,500
1,2024-10-22 00:00:00,22h00,Sintético,LRE,0.0,4.0,Eng. Mecânica B,2.0,A,,500,500,2.0,2.0,1.2311444133449163,246.22888266898326,246.22888266898326,-0.5,0.5,-123,123,377,623,False,0,0,377,623
1,2024-10-22 00:00:00,23h00,Sintético,Contabilidade,4.0,0.0,Biologia,2.0,B,,500,500,2.0,2.0,1.2311444133449163,246.22888266898326,246.22888266898326,0.5,-0.5,123,-123,623,377,False,0,0,623,377
1,2024-10-22 00:00:00,23h00,Sintético,Geologia,0.0,0.0,Design,2.0,B,,500,500,2.0,2.0,1.0,200.0,200.0,0.0,0.0,0,0,500,500,False,0,0,500,500
1,2024-10-23 00:00:00,15h30,Sintético,Eng. Química,0.0,1.0,Eng. Biomédica,2.0,A,,500,500,2.0,2.0,1.0717734625362931,214.35469250725862,214.35469250725862,-0.5,0.5,-107,107,393,607,False,0,0,393,607
1,2024-10-23 00:00:00,16h30,Sintético,Música,0.0,4.0,TI,2.0,B,,500,500,2.0,2.0,1.2311444133449163,246.22888266898326,246.22888266898326,-0.5,0.5,-123,123,377,623,False,0,0,377,623
1,2024-10-23 00:00:00,16h30,Sintético,Biologia e Geologia,1.0,4.0,ECT,2.0,B,,500,500,2.0,2.0,1.148698354997035,229.73967099940702,229.73967099940702,-0.5,0.5,-115,115,385,615,False,0,0,385,615
1,2024-10-23 00:00:00,17h30,Sintético,Biotecnologia,2.0,1.0,Economia,1.0,,,1000,1000,2.0,2.0,1.0717734625362931,214.35469250725862,214.35469250725862,0.5,-0.5,107,-107,1107,893,False,0,0,1107,893
1,2024-10-23 00:00:00,17h30,Sintético,Fisioterapia,8.0,0.0,Eng. Informática,1.0,,,1000,1000,2.0,2.0,1.3195079107728942,263.9015821545788,263.9015821545788,0.5,-0.5,132,-132,1132,868,False,0,0,1132,868
1,2024-10-23 00:00:00,21h00,Sintético,EET,3.0,0.0,Eng. Física,1.0,,,1000,1000,2.0,2.0,1.1962311988513155,239.2462397702631,239.2462397702631,0.5,-0.5,120,-120,1120,880,False,0,0,1120,880
1,2024-10-23 00:00:00,21h00,Sintético,Eng.Cívil,3.0,0.0,Gestao,1.0,,,1000,1000,2.0,2.0,1.1962311988513155,239.2462397702631,239.2462397702631,0.5,-0.5,120,-120,1120,880,False,0,0,1120,880
1,2024-10-23 00:00:00,22h00,Sintético,Finanças,0.0,3.0,Eng. Mecânica,1.0,,,1000,1000,2.0,2.0,1.1962311988513155,239.2462397702631,239.2462397702631,-0.5,0.5,-120,120,880,1120,False,0,0,880,1120
1,2024-10-23 00:00:00,22h00,Sintético,GPT,1.0,1.0,EGI,1.0,,,1000,1000,2.0,2.0,1.0,200.0,200.0,0.0,0.0,0,0,1000,1000,False,0,0,1000,1000
2,2024-11-12 00:00:00,21h30,Sintético,Economia,2.0,4.0,GPT,1.0,,,893,1000,1.4344650847254958,1.4344650847254958,1.0717734625362931,153.74216107436618,153.74216107436618,-0.27180055700473754,0.2718005570047375,-42,42,851,1042,False,0,0,851,1042
2,2024-11-12 00:00:00,21h30,Sintético,Eng. Mecânica,2.0,1.0,Biotecnologia,1.0,,,1120,1107,1.4344650847254958,1.4344650847254958,1.0717734625362931,153.74216107436618,153.74216107436618,0.4701021041073924,-0.47010210410739234,72,-72,1192,1035,False,0,0,1192,1035
2,2024-11-12 00:00:00,22h30,Sintético,Eng. Física,0.0,4.0,Fisioterapia,1.0,,,880,1132,1.4344650847254958,1.4344650847254958,1.2311444133449163,176.60336751981365,176.60336751981365,-0.0893981493760276,0.08939814937602752,-16,16,864,1148,False,0,0,864,1148
