Eng. Materiais,Eng. Mecânica,EGI,Eng. Aeroespacial,Biologia,EET,ECT,MTC,Economia,Fisioterapia,TI,Eng. Informática,Matemática,Biotecnologia,LRE,Design,Eng. Civil,Eng. Física,Psicologia,GPT,Finanças,Eng. Química,Eng. Compotacional,DPT,Eng. Biomédica,AP,Biologia e Geologia,Bioquímica,Gestao,Educaçao Básica
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
1107,1101,898,893,898,899,1103,1102,897,1102,602,606,608,604,617,396,383,613,604,392,604,609,619,391,398,394,387,396,396,381
1126,1120,827,1017,879,970,1033,1172,878,978,675,678,535,532,689,471,313,630,624,515,481,627,547,374,464,464,321,321,378,361
1158,1148,890,989,816,1059,1001,1083,849,1007,692,682,548,439,703,503,406,544,659,593,464,549,512,324,550,450,308,317,428,329
1179,1155,861,1018,911,1100,960,988,842,986,715,687,602,534,608,585,439,490,577,611,485,526,552,416,458,410,287,284,410,324
1096,1238,777,936,890,1121,1049,1070,926,897,724,579,632,570,616,503,478,560,685,633,415,543,634,394,428,374,270,276,401,285
1102,1243,771,916,986,1141,953,971,1025,892,761,623,644,648,622,459,583,494,580,596,359,609,556,382,484,409,361,241,310,279
1021,1142,857,875,1027,1169,1054,990,997,806,764,664,652,651,670,545,497,511,532,498,351,635,515,379,458,440,459,238,293,248
1088,1037,962,961,1090,1172,968,1065,934,788,770,682,701,654,695,520,479,559,562,450,409,586,522,321,477,410,453,231,274,245
1157,1096,1016,1018,1023,1103,914,1006,877,785,784,736,703,685,641,559,547,545,531,512,509,486,454,424,415,371,350,286,272,190
1162,1101,1122,1018,1123,997,914,906,877,785,779,731,703,685,641,559,547,545,531,512,509,486,454,424,415,371,350,286,272,190
1229,1189,1055,1018,1035,997,914,906,877,785,779,731,703,685,641,559,547,545,531,512,509,486,454,424,415,371,350,286,272,190
1291,1127,1092,1018,998,997,914,906,877,785,779,731,703,685,641,559,547,545,531,512,509,486,454,424,415,371,350,286,272,190
