team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.00,0.16,0.06,0.00,2.37,0.00,17.13,2.54,14.05,3.94,736.1,73.0
Automação e Sistemas de Produção,0.00,0.00,0.00,0.00,0.00,0.00,3.73,2.89,34.76,4.45,364.4,85.9
Biologia,0.01,0.00,0.00,0.00,0.01,0.00,6.10,2.30,31.67,3.61,370.7,71.6
Biologia e Geologia,0.00,0.00,0.00,0.00,0.00,0.00,3.52,2.94,35.41,4.64,345.6,110.8
Bioquímica,44.86,24.93,14.88,5.62,0.00,12.59,17.21,5.85,14.13,8.11,981.6,145.0
Biotecnologia,0.00,0.00,0.00,0.00,0.00,0.00,3.94,3.34,33.48,5.09,327.8,93.8
Ciências Biomédicas,0.63,0.67,0.08,0.00,1.76,0.00,13.60,3.57,19.57,5.61,565.0,105.7
Ciências do Mar,0.02,0.00,0.00,0.00,0.05,0.00,10.54,2.84,24.83,4.62,512.6,93.0
Contabilidade,62.94,25.16,12.99,3.49,0.00,3.70,19.04,4.42,11.13,5.96,993.6,115.6
Design,0.00,0.00,0.00,0.00,0.00,0.00,5.34,3.55,31.78,5.33,380.6,122.6
Economia,35.18,6.56,0.53,0.03,35.43,0.00,21.36,2.30,8.44,3.26,732.7,80.2
Enfermagem,38.66,13.33,7.84,2.33,0.00,19.22,15.46,5.31,16.69,8.00,955.3,135.3
Eng. Aeroespacial,0.00,0.00,0.00,0.00,0.00,0.00,7.83,3.07,28.28,4.87,444.5,86.0
Eng. Biomédica,36.57,13.21,9.37,3.56,0.00,8.35,15.49,4.56,15.80,6.75,982.3,126.8
Eng. Civil,0.00,0.00,0.00,0.00,0.01,0.00,5.77,4.28,31.51,6.72,364.8,126.1
Eng. Computacional,44.14,2.02,0.19,0.01,44.14,0.00,19.49,2.48,10.71,3.63,638.0,75.4
Eng. Computadores e Telemática,87.58,64.25,8.62,0.54,95.21,0.00,25.96,1.70,3.07,1.74,963.0,51.5
Eng. Eletrónica e Telecomunicações,2.16,0.16,0.11,0.09,0.00,77.41,6.27,4.17,30.12,6.46,806.1,110.2
Eng. Física,0.21,0.00,0.00,0.00,0.00,92.76,2.58,3.52,36.14,5.37,696.1,113.1
Eng. Informática,0.00,0.00,0.00,0.00,0.01,0.00,15.46,2.80,17.25,4.49,616.5,84.2
Eng. Mecânica,99.91,95.37,73.65,54.75,0.00,0.00,31.52,2.14,1.22,0.91,1267.9,64.7
Eng. Mecânica B,0.00,0.00,0.00,0.00,0.00,0.00,7.70,4.42,28.23,6.72,417.1,128.6
Eng. Química,6.45,0.59,0.34,0.07,0.00,56.02,9.65,4.66,25.26,7.36,820.5,125.4
Eng. de Materiais,64.79,12.03,1.02,0.01,64.85,0.00,22.17,1.86,6.17,2.44,768.2,63.2
Eng. do Ambiente,0.24,0.00,0.00,0.00,0.24,0.00,8.55,2.92,26.82,4.73,365.3,82.9
Eng. e Gestão Industrial,14.11,1.72,0.95,0.43,0.00,33.41,12.71,4.36,20.91,6.99,896.5,122.1
Eng. e Gestão Industrial B,0.00,0.00,0.00,0.00,0.00,0.00,20.57,2.87,9.00,3.97,704.9,80.2
Finanças,96.79,72.12,33.92,16.09,0.00,0.02,24.60,3.48,4.52,3.31,1134.4,92.4
Fisioterapia,24.59,1.07,0.53,0.23,0.00,13.62,14.17,3.76,17.79,5.92,945.7,99.0
Gestão,2.47,0.00,0.00,0.00,2.47,0.00,14.09,2.51,17.95,4.04,590.5,73.7
Gestão Pública,10.33,11.49,1.07,0.07,19.37,0.00,20.58,3.60,9.03,5.08,733.1,104.4
Gestão e Planeamento em Turismo,72.75,47.86,33.24,12.66,0.00,4.73,20.91,5.31,9.74,7.41,1090.0,131.4
Línguas e Relações Empresariais,0.00,0.00,0.00,0.00,0.00,0.00,11.19,3.01,23.70,4.96,484.2,85.6
MOC,0.00,0.00,0.00,0.00,0.00,0.00,2.98,2.30,35.19,3.24,286.8,74.1
MTC,0.00,0.00,0.00,0.00,0.00,0.00,8.68,3.00,27.91,4.90,431.4,90.6
Marketing,1.46,1.48,0.07,0.00,2.22,0.00,17.83,3.07,12.58,4.71,652.3,86.4
Matemática,53.14,5.82,0.54,0.02,53.22,0.00,19.91,3.21,10.35,4.67,702.0,100.6
Música,0.00,0.00,0.00,0.00,0.16,0.00,10.54,3.32,23.94,5.40,524.7,107.7
Psicologia,0.01,0.00,0.00,0.00,0.01,0.00,11.13,3.69,23.58,5.96,490.7,115.0
Tradução,0.00,0.00,0.00,0.00,0.00,0.00,1.86,1.51,37.30,2.38,211.2,55.5
