team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Adminstração Pública,0.00,0.03,0.03,0.03,0.00,0.00,20.99,0.13,11.93,1.18,1499.8,4.9
Biologia,98.18,54.81,33.04,10.65,0.23,0.00,24.60,2.68,6.77,3.12,1186.2,83.3
Biologia e Geologia,2.87,1.74,0.08,0.00,0.86,0.00,19.28,4.02,13.70,5.57,589.7,118.7
Bioquímica,4.18,5.28,0.49,0.03,2.58,0.00,18.31,4.09,13.27,5.72,611.3,137.1
Ciências Biomédicas,80.90,21.96,12.77,5.63,1.76,0.25,20.05,4.23,12.22,5.78,1082.3,137.2
Ciências Biomédicas B,0.00,0.00,0.00,0.00,0.00,0.00,7.82,3.53,25.53,4.14,374.0,109.6
Contabilidade,0.09,0.17,0.01,0.00,0.01,0.00,12.80,4.73,20.04,6.09,457.3,140.1
Design,40.10,1.96,1.00,0.65,3.76,2.49,15.19,3.80,17.60,5.17,950.9,128.0
Economia,3.09,2.00,0.07,0.00,2.58,0.00,18.55,4.64,14.87,6.19,600.4,148.4
Educação Básica,0.00,0.00,0.00,0.00,0.00,0.00,7.55,3.27,26.96,3.57,354.3,103.2
Eng. Biomédica,0.00,0.00,0.00,0.00,0.26,0.02,0.83,1.65,32.24,1.45,620.3,55.5
Eng. Civil,4.68,0.14,0.12,0.07,25.93,6.67,10.78,3.29,23.87,3.97,869.6,129.3
Eng. Computadores e Telemática,0.00,0.00,0.00,0.00,0.00,0.00,2.45,3.02,31.99,2.70,265.6,120.6
Eng. Eletrónica e Telecomunicações,100.00,94.25,69.50,47.55,0.00,0.00,31.37,2.19,1.31,0.90,1360.9,68.8
Eng. Física,2.67,4.27,0.42,0.01,1.92,0.00,17.77,4.64,14.69,6.32,586.7,140.8
Eng. Informática,61.94,3.73,1.97,1.22,6.14,0.86,17.86,4.35,16.46,5.62,1046.2,133.1
Eng. Mecânica,0.51,0.65,0.01,0.00,0.06,0.00,18.82,3.75,15.54,4.99,547.2,129.1
Eng. Química,67.07,20.19,1.16,0.04,47.73,0.00,24.00,3.74,6.35,4.54,705.7,133.0
Eng. de Materiais,0.02,0.00,0.00,0.00,2.86,0.97,4.01,1.80,29.19,1.94,673.5,58.4
Eng. do Ambiente,79.93,28.60,1.10,0.01,39.86,0.00,25.37,2.39,4.13,2.73,729.0,97.6
Eng. e Gestão Industrial,99.97,85.44,55.29,25.15,0.00,0.00,27.11,2.34,3.72,2.03,1275.5,74.3
Fisioterapia,97.25,50.59,21.07,8.79,0.00,0.02,23.32,4.03,6.56,4.69,1124.4,135.4
Geologia,4.22,0.06,0.06,0.04,27.99,6.63,10.78,2.94,24.47,3.61,826.2,88.9
Gestão,6.96,2.81,0.23,0.00,2.48,0.00,15.26,5.00,16.93,6.58,470.5,140.7
Gestão Comercial,0.00,0.00,0.00,0.00,0.00,0.00,8.73,4.46,25.07,5.18,339.6,142.1
Gestão e Planeamento em Turismo,12.74,0.33,0.17,0.09,11.90,1.26,12.11,4.67,23.43,5.08,886.9,141.7
Línguas e Relações Empresariais,4.69,3.53,0.29,0.01,3.14,0.00,19.02,4.36,14.12,5.85,546.5,133.6
"Línguas, Literaturas e Culturas",14.45,5.38,0.41,0.01,13.24,0.00,19.99,4.30,13.28,5.73,605.1,133.1
MTC,0.00,0.00,0.00,0.00,0.00,0.00,14.29,4.64,20.75,5.45,496.3,139.1
Marketing,0.00,0.00,0.00,0.00,0.00,0.00,1.24,2.22,32.49,2.12,196.2,74.3
Matemática,0.00,0.00,0.00,0.00,0.00,0.00,4.38,2.49,30.83,2.49,283.4,86.4
Música,2.38,1.22,0.09,0.00,0.38,0.00,17.90,3.25,14.34,4.58,539.0,95.2
Psicologia,11.11,10.86,0.62,0.02,4.33,0.00,23.07,4.06,8.57,5.14,633.5,134.8
Tradução,0.00,0.00,0.00,0.00,0.00,0.00,12.41,4.45,21.79,5.57,415.4,132.5
