jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
4,,,Eng. Mecânica,Eng. e Gestão Industrial,1171.0,0.0,1337.0,0.0,0.08,0.09,99.83,1,
4,,,Ciências do Mar,Eng. Biomédica,488.0,0.0,728.0,0.0,0.00,0.02,99.98,2,
4,,,DPT,Economia,574.0,0.0,771.0,0.0,0.02,0.03,99.95,2,
5,,,Eng. Eletrónica e Telecomunicações,Eng. Informática,1122.0,0.0,961.0,0.0,99.65,0.22,0.13,1,
5,,,Eng. e Gestão Industrial,Gestão Comercial,1379.3,7.4,1207.0,0.0,99.83,0.10,0.07,1,
5,,,Eng. Civil,Eng. Física,942.0,0.0,654.0,0.0,100.00,0.00,0.00,1,
5,,,Eng. de Materiais,Eng. Mecânica,938.0,0.0,1128.7,7.4,0.00,0.05,99.95,1,
5,,,Fisioterapia,Marketing,799.0,0.0,1086.0,0.0,0.00,0.01,99.99,1,
5,,,Administração Pública,Psicologia,533.0,0.0,298.0,0.0,99.98,0.01,0.01,2,
5,,,Biologia,MTC,316.0,0.0,257.0,0.0,81.46,5.49,13.05,2,
5,,,Biologia e Geologia,Matemática,660.0,0.0,601.0,0.0,81.62,5.68,12.70,2,
5,,,Economia,Ciências do Mar,806.0,4.4,463.2,2.4,99.99,0.01,0.00,2,
5,,,Educação Básica,Eng. Biomédica,408.0,0.0,752.8,2.4,0.03,0.01,99.96,2,
5,,,Gestão,DPT,587.0,0.0,539.0,4.4,75.92,6.59,17.49,2,
6,,,Eng. Computadores e Telemática,Eng. Eletrónica e Telecomunicações,811.0,0.0,1165.4,9.6,0.00,0.02,99.98,1,
6,,,Eng. Física,Fisioterapia,637.5,1.3,782.3,1.7,0.31,0.39,99.30,1,
6,,,Eng. Informática,Eng. Civil,917.6,9.6,958.5,1.3,21.18,7.13,71.69,1,
6,,,Gestão Comercial,Eng. de Materiais,1166.3,6.5,901.6,3.9,99.96,0.04,0.00,1,
6,,,Marketing,Eng. e Gestão Industrial,1102.7,1.7,1406.4,8.8,0.04,0.02,99.94,1,
6,,,Ciências do Mar,Gestão,456.3,2.4,626.8,80.6,7.40,1.76,90.84,2,
6,,,DPT,Administração Pública,513.3,52.3,558.9,3.1,23.56,4.77,71.67,2,
6,,,Eng. Biomédica,Economia,759.3,3.4,812.9,4.1,15.10,6.35,78.55,2,
6,,,MTC,Educação Básica,211.4,72.5,398.0,4.0,5.29,1.18,93.53,2,
6,,,Matemática,Biologia,554.8,71.8,361.6,72.5,98.78,0.60,0.62,2,
6,,,Psicologia,Biologia e Geologia,272.1,3.1,706.2,71.8,0.00,0.02,99.98,2,
7,,,Eng. e Gestão Industrial,Eng. Física,1413.6,8.4,607.0,9.1,99.97,0.02,0.01,1,
7,,,Eng. Civil,Eng. Computadores e Telemática,980.8,55.3,801.7,2.3,97.22,0.80,1.98,1,
7,,,Eng. de Materiais,Marketing,891.5,3.7,1095.5,2.8,0.03,0.00,99.97,1,
7,,,Eng. Mecânica,Gestão Comercial,1152.2,7.0,1176.4,6.2,30.73,8.53,60.74,1,
7,,,Fisioterapia,Eng. Informática,812.8,9.1,895.3,56.6,12.44,5.01,82.55,1,
7,,,Administração Pública,Ciências do Mar,579.3,50.6,442.4,22.2,92.82,1.85,5.33,2,
7,,,Biologia,Psicologia,336.8,66.2,268.4,5.0,79.31,3.21,17.48,2,
7,,,Biologia e Geologia,DPT,709.9,67.9,497.9,78.1,94.27,1.03,4.70,2,
7,,,Educação Básica,Economia,416.0,24.7,834.2,38.6,0.02,0.00,99.98,2,
7,,,Gestão,Eng. Biomédica,645.4,90.6,737.9,38.5,16.66,5.43,77.91,2,
7,,,MTC,Matemática,193.4,79.8,579.6,65.6,0.39,0.22,99.39,2,
8,,,Eng. Computadores e Telemática,Fisioterapia,783.8,15.2,792.6,35.4,41.69,8.34,49.97,1,
8,,,Eng. Eletrónica e Telecomunicações,Eng. Civil,1170.0,8.9,998.7,53.7,99.27,0.38,0.35,1,
8,,,Eng. Física,Eng. de Materiais,607.0,9.1,874.9,3.9,0.03,0.04,99.93,1,
8,,,Eng. Informática,Eng. e Gestão Industrial,915.4,65.9,1413.6,8.5,0.01,0.01,99.98,1,
8,,,Marketing,Eng. Mecânica,1112.1,3.4,1141.9,48.1,33.23,7.34,59.43,1,
8,,,Ciências do Mar,Biologia e Geologia,422.5,33.3,722.7,69.5,0.71,0.22,99.07,2,
8,,,DPT,Biologia,485.2,77.6,354.9,87.4,84.09,3.76,12.15,2,
8,,,Economia,Gestão,837.0,37.3,629.9,95.9,98.16,0.80,1.04,2,
8,,,Eng. Biomédica,Administração Pública,753.4,55.3,599.3,56.1,93.82,1.79,4.39,2,
8,,,Matemática,Educação Básica,584.7,64.0,413.2,24.2,98.67,0.48,0.85,2,
8,,,Psicologia,MTC,250.3,30.9,188.3,74.6,79.49,3.94,16.57,2,
9,,,Eng. e Gestão Industrial,Eng. Computadores e Telemática,1415.0,8.2,781.3,51.1,99.97,0.00,0.03,1,
9,,,Eng. de Materiais,Eng. Informática,884.7,4.4,914.0,65.0,33.53,6.11,60.36,1,
9,,,Eng. Mecânica,Eng. Física,1149.4,75.0,597.2,8.4,99.95,0.03,0.02,1,
9,,,Fisioterapia,Eng. Eletrónica e Telecomunicações,795.1,65.3,1190.6,12.6,0.01,0.01,99.98,1,
9,,,Gestão Comercial,Marketing,1186.6,48.0,1104.6,44.4,82.89,4.43,12.68,1,
