jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
6,,,Eng. Computadores e Telemática,Eng. Eletrónica e Telecomunicações,638.0,0.0,1146.0,0.0,0.89,0.00,99.11,1,
6,,,Eng. e Gestão Industrial,Eng. Informática,1284.0,0.0,1152.0,0.0,77.54,0.00,22.46,1,
6,,,Eng. Biomédica,Design,782.0,0.0,1206.0,0.0,1.81,0.00,98.19,1,
6,,,Gestão e Planeamento em Turismo,Eng. Mecânica,791.0,0.0,982.0,0.0,15.02,0.00,84.98,1,
6,,,Línguas e Relações Empresariais,Ciências do Mar,1028.0,0.0,899.0,0.0,76.02,0.00,23.98,1,
6,,,Música,Tecnologias de Informação,784.0,0.0,727.0,0.0,63.43,0.00,36.57,1,
6,,,Biologia,Bioquímica,667.0,0.0,503.0,0.0,82.11,0.00,17.89,2,A
6,,,Economia,Fisioterapia,399.0,0.0,947.0,0.0,0.67,0.00,99.33,2,A
6,,,Eng. do Ambiente,Geologia,686.0,0.0,477.0,0.0,87.56,0.00,12.44,2,A
6,,,Eng. de Materiais,Ciências Biomédicas,470.0,0.0,700.0,0.0,11.25,0.00,88.75,2,A
6,,,Medicina,Administração Pública,417.0,0.0,766.0,0.0,4.02,0.00,95.98,2,A
6,,,Eng. Computacional,Psicologia,314.0,0.0,167.0,0.0,79.25,0.00,20.75,2,B
6,,,Eng. Física,Física,677.0,0.0,575.0,0.0,72.46,0.00,27.54,2,B
6,,,Gestão,Eng. Civil,452.0,0.0,439.0,0.0,53.28,0.00,46.72,2,B
6,,,MTC,Eng. Informática B,371.0,0.0,377.0,0.0,49.48,0.00,50.52,2,B
6,,,Matemática,Eng. Eletrónica e Telecomunicações B,304.0,0.0,155.0,0.0,79.61,0.00,20.39,2,B
7,,,Ciências do Mar,Eng. e Gestão Industrial,900.3,95.0,1285.1,92.8,5.61,0.00,94.39,1,
7,,,Design,Eng. Informática,1206.7,30.2,1150.9,92.8,61.78,0.00,38.22,1,
7,,,Eng. Eletrónica e Telecomunicações,Música,1146.0,21.3,785.4,106.4,95.11,0.00,4.89,1,
7,,,Eng. Biomédica,Eng. Computadores e Telemática,781.3,30.2,638.0,21.3,78.90,0.00,21.10,1,
7,,,Eng. Mecânica,Línguas e Relações Empresariais,981.2,79.8,1026.7,95.0,41.91,0.00,58.09,1,
7,,,Tecnologias de Informação,Gestão e Planeamento em Turismo,725.6,106.4,791.8,79.8,38.23,0.00,61.77,1,
7,,,Administração Pública,Eng. de Materiais,765.7,44.4,470.9,70.8,91.80,0.00,8.20,2,A
7,,,Bioquímica,Medicina,502.3,85.6,417.3,44.4,66.07,0.00,33.93,2,A
7,,,Biotecnologia,Biologia,252.0,0.0,667.7,85.6,3.02,0.00,96.98,2,A
7,,,Ciências Biomédicas,Eng. do Ambiente,699.1,70.8,686.5,73.7,53.16,0.00,46.84,2,A
7,,,Geologia,Economia,476.5,73.7,399.5,18.5,65.07,0.00,34.93,2,A
7,,,Contabilidade,Matemática,624.0,0.0,303.4,89.5,93.89,0.00,6.11,2,B
7,,,Eng. Eletrónica e Telecomunicações B,MTC,155.6,89.5,372.8,109.9,18.06,0.00,81.94,2,B
7,,,Eng. Civil,Eng. Física,438.4,110.0,678.4,99.0,15.78,0.00,84.22,2,B
7,,,Eng. Informática B,Gestão,375.2,109.9,452.6,110.0,37.55,0.00,62.45,2,B
7,,,Física,Eng. Computacional,573.6,99.0,313.4,90.4,87.45,0.00,12.55,2,B
8,,,Eng. Computadores e Telemática,Design,637.4,49.6,1206.4,57.6,0.84,0.00,99.16,1,
8,,,Eng. e Gestão Industrial,Eng. Mecânica,1285.1,95.8,981.8,93.6,90.61,0.00,9.39,1,
8,,,Eng. Informática,Ciências do Mar,1151.1,105.0,900.3,97.3,85.26,0.00,14.74,1,
8,,,Gestão e Planeamento em Turismo,Eng. Eletrónica e Telecomunicações,792.1,92.9,1146.0,31.8,5.47,0.00,94.53,1,
8,,,Línguas e Relações Empresariais,Tecnologias de Informação,1026.2,107.1,725.3,116.3,88.48,0.00,11.52,1,
8,,,Música,Eng. Biomédica,785.3,108.8,781.9,54.2,49.90,0.00,50.10,1,
8,,,Economia,Ciências Biomédicas,399.6,54.3,699.8,87.5,8.51,0.00,91.49,2,A
8,,,Eng. do Ambiente,Administração Pública,685.7,90.0,765.5,52.4,35.15,0.00,64.85,2,A
8,,,Eng. de Materiais,Bioquímica,471.0,76.4,502.5,99.1,43.32,0.00,56.68,2,A
8,,,Fisioterapia,Geologia,946.5,18.5,476.4,89.9,98.10,0.00,1.90,2,A
8,,,Medicina,Biotecnologia,417.1,66.6,252.1,37.8,80.00,0.00,20.00,2,A
8,,,Eng. Computacional,Eng. Civil,313.6,97.3,438.0,116.2,31.11,0.00,68.89,2,B
8,,,Eng. Física,Eng. Informática B,678.9,105.1,375.2,119.1,88.98,0.00,11.02,2,B
8,,,Gestão,Eng. Eletrónica e Telecomunicações B,452.5,118.8,155.9,97.4,88.16,0.00,11.84,2,B
8,,,MTC,Contabilidade,372.6,116.1,624.0,53.5,13.30,0.00,86.70,2,B
8,,,Psicologia,Física,167.6,90.4,573.4,105.4,4.70,0.00,95.30,2,B
9,,,Design,Ciências do Mar,1206.2,58.8,900.7,104.0,91.28,0.00,8.72,1,
9,,,Eng. Computadores e Telemática,Música,637.6,50.4,783.8,119.0,26.24,0.00,73.76,1,
9,,,Eng. Eletrónica e Telecomunicações,Línguas e Relações Empresariais,1146.0,39.9,1026.2,112.2,70.78,0.00,29.22,1,
9,,,Eng. Biomédica,Gestão e Planeamento em Turismo,783.4,73.0,792.1,96.0,49.47,0.00,50.53,1,
9,,,Eng. Mecânica,Eng. Informática,981.4,98.1,1150.8,111.0,24.08,0.00,75.92,1,
9,,,Tecnologias de Informação,Eng. e Gestão Industrial,725.3,120.4,1285.4,99.4,1.86,0.00,98.14,1,
9,,,Administração Pública,Economia,765.4,71.3,399.7,61.9,94.97,0.00,5.03,2,A
9,,,Biologia,Medicina,668.1,87.6,417.1,79.2,87.14,0.00,12.86,2,A
9,,,Bioquímica,Eng. do Ambiente,503.5,110.9,685.8,102.8,21.99,0.00,78.01,2,A
9,,,Biotecnologia,Eng. de Materiais,252.2,57.4,470.0,90.7,15.21,0.00,84.79,2,A
9,,,Ciências Biomédicas,Fisioterapia,699.8,91.9,946.8,23.7,11.43,0.00,88.57,2,A
9,,,Contabilidade,Gestão,623.9,64.4,452.3,123.4,76.86,0.00,23.14,2,B
9,,,Eng. Eletrónica e Telecomunicações B,Eng. Física,156.1,102.4,679.3,109.4,2.37,0.00,97.63,2,B
9,,,Eng. Civil,Psicologia,437.8,125.0,167.9,93.6,86.31,0.00,13.69,2,B
9,,,Eng. Informática B,Eng. Computacional,374.8,122.8,313.8,106.8,58.82,0.00,41.18,2,B
9,,,Matemática,MTC,303.3,93.4,372.7,121.2,39.07,0.00,60.93,2,B
