team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.00,0.16,0.00,0.00,0.07,0.00,18.74,2.40,10.09,1.79,574.9,62.1
Biologia,0.00,0.00,0.00,0.00,0.00,0.00,6.09,3.31,18.62,2.48,323.1,99.8
Biologia e Geologia,5.40,13.41,0.67,0.00,30.66,0.00,26.48,3.40,4.70,2.50,709.7,96.4
Ciências do Mar,0.00,0.00,0.00,0.00,0.00,0.00,11.61,2.28,15.33,1.85,409.9,53.8
DPT,0.00,0.34,0.00,0.00,0.02,0.00,16.46,3.76,11.63,2.58,511.7,85.9
Economia,74.80,49.16,9.24,0.00,96.46,0.00,32.15,1.57,1.35,0.77,886.1,41.7
Educação Básica,0.00,0.00,0.00,0.00,0.00,0.00,8.94,1.53,16.49,1.19,384.1,39.2
Eng. Biomédica,19.46,30.06,3.22,0.00,66.44,0.00,28.63,3.01,2.93,1.85,784.4,78.0
Eng. Civil,96.47,0.00,0.00,0.00,0.00,0.32,14.08,1.67,12.81,1.22,993.3,48.1
Eng. Computadores e Telemática,1.54,0.00,0.00,0.00,0.00,57.06,4.84,2.21,19.49,1.62,758.8,62.1
Eng. Eletrónica e Telecomunicações,100.00,63.15,47.94,0.03,0.00,0.00,21.97,0.28,6.94,0.74,1189.2,11.6
Eng. Física,0.00,0.00,0.00,0.00,0.00,100.00,0.02,0.20,22.06,0.28,593.6,8.4
Eng. Informática,60.67,0.05,0.03,0.00,0.00,0.55,11.23,3.05,15.16,2.20,894.0,78.9
Eng. Mecânica,100.00,47.05,17.65,0.07,0.00,0.00,21.76,2.57,8.03,2.44,1168.3,70.0
Eng. de Materiais,38.99,0.00,0.00,0.00,0.00,0.08,9.60,1.99,15.58,1.51,885.2,51.9
Eng. e Gestão Industrial,100.00,99.97,99.86,99.76,0.00,0.00,29.99,0.25,2.81,0.43,1439.5,8.3
Fisioterapia,2.33,0.00,0.00,0.00,0.00,41.99,5.06,2.12,18.74,1.51,773.8,59.1
Gestão,0.34,5.63,0.01,0.00,6.35,0.00,20.79,4.36,8.05,3.34,633.9,118.6
Gestão Comercial,100.00,71.58,14.31,0.14,0.00,0.00,25.42,2.01,5.26,1.63,1216.8,57.2
MTC,0.00,0.00,0.00,0.00,0.00,0.00,1.36,3.16,22.04,2.19,152.5,92.1
Marketing,100.00,17.63,7.06,0.00,0.00,0.00,19.49,1.77,9.62,1.59,1086.0,54.9
Matemática,0.00,1.81,0.01,0.00,0.00,0.00,21.73,2.00,7.89,1.73,643.6,62.5
Psicologia,0.00,0.00,0.00,0.00,0.00,0.00,3.16,1.58,20.40,1.22,226.9,41.0
