team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Biologia,32.75,12.35,5.69,2.62,0.00,0.00,8.23,3.28,9.49,2.53,694.1,105.2
Design,32.65,13.37,6.66,3.33,0.00,0.00,7.83,3.19,9.48,2.42,732.8,116.5
Economia,10.44,3.08,1.30,0.63,0.00,0.00,4.14,3.09,11.42,2.12,597.3,100.2
Educação Básica,6.41,1.84,0.75,0.39,0.00,0.00,3.54,2.92,12.09,1.98,509.0,121.8
Eng. Civil,96.48,44.05,19.98,9.15,0.00,0.00,14.91,3.19,4.38,2.11,804.7,115.2
Eng. Computadores e Telemática,4.87,1.22,0.53,0.29,0.00,0.00,3.72,2.94,12.21,1.92,511.8,119.0
Eng. Eletrónica e Telecomunicações,91.98,44.04,21.41,10.22,0.00,0.00,13.02,3.03,5.28,2.25,843.1,113.4
Eng. Física,62.59,19.84,7.97,3.37,0.00,0.00,9.48,3.33,7.74,2.62,668.6,109.8
Eng. Mecânica,99.78,66.11,35.54,19.18,0.00,0.00,17.27,2.90,2.46,1.63,969.4,119.5
Eng. e Gestão Industrial,89.77,56.00,32.83,16.98,0.00,0.00,14.27,3.07,5.15,2.40,962.6,112.9
Fisioterapia,99.21,64.51,34.46,18.90,0.00,0.00,16.76,3.14,2.64,1.88,964.1,119.9
MTC,97.97,50.33,22.73,10.46,0.00,0.00,15.64,3.15,3.75,2.04,841.9,102.0
Psicologia,22.04,7.66,3.52,1.64,0.00,0.00,7.04,3.07,10.33,2.40,631.7,116.6
Tradução,53.06,15.60,6.63,2.84,0.00,0.00,9.18,3.30,8.56,2.41,642.9,107.1
