team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,6.74,2.50,0.56,0.12,0.00,0.00,13.02,3.85,15.71,6.28,462.0,106.3
Biologia,49.25,19.71,10.37,4.93,0.00,0.00,15.35,4.67,12.30,6.81,910.5,121.0
Biologia e Geologia,5.63,2.10,0.69,0.16,0.00,0.00,11.38,4.18,18.44,6.66,540.9,108.4
Biotecnologia,8.74,2.19,1.27,0.65,0.00,0.00,9.71,4.18,21.36,6.35,807.6,110.3
Ciências do Mar,6.10,2.06,0.62,0.20,0.00,0.00,11.60,4.21,17.41,6.84,445.0,107.3
Contabilidade,25.64,9.07,2.69,0.74,0.00,0.00,15.55,4.30,12.52,6.49,619.3,107.2
Design,22.63,9.04,2.84,0.97,0.00,0.00,15.76,4.27,12.64,6.50,605.6,108.9
Economia,0.98,0.58,0.18,0.09,0.00,0.00,9.28,4.35,21.88,6.23,566.5,113.5
Eng. Aeroespacial,40.92,17.87,10.45,4.78,0.00,0.00,14.96,5.19,13.83,7.59,927.9,123.6
Eng. Biomédica,47.09,12.27,2.80,0.70,0.00,0.00,17.80,3.74,8.37,4.99,517.6,103.5
Eng. Civil,18.62,6.75,2.24,0.68,0.00,0.00,13.21,4.86,15.24,7.40,599.2,118.4
Eng. Computacional,1.27,0.20,0.02,0.00,0.00,0.00,6.97,4.13,23.78,5.65,379.4,108.6
Eng. Computadores e Telemática,65.27,32.58,16.98,7.91,0.00,0.00,18.03,5.16,9.50,6.52,956.5,127.0
Eng. Eletrónica e Telecomunicações,60.69,28.10,14.74,6.87,0.00,0.00,16.62,4.77,10.35,6.50,956.8,122.9
Eng. Física,23.27,6.20,1.57,0.42,0.00,0.00,14.50,3.82,12.35,5.99,521.8,110.5
Eng. Informática,8.03,1.99,1.03,0.54,0.00,0.00,8.04,4.54,22.38,6.47,779.0,106.0
Eng. Mecânica,91.14,57.64,29.82,14.50,0.00,0.00,22.81,4.42,4.79,3.94,1045.3,120.3
Eng. Mecânica B,0.00,0.00,0.00,0.00,0.00,0.00,10.55,3.86,18.59,6.27,429.7,110.7
Eng. de Materiais,98.96,79.18,47.77,29.84,0.00,0.00,27.78,4.06,1.89,1.93,1213.7,115.8
Eng. e Gestão Industrial,96.77,66.57,33.63,17.59,0.00,0.00,24.67,4.49,3.32,2.79,1085.7,116.1
Física,1.17,0.30,0.12,0.04,0.00,0.00,10.14,3.82,21.08,5.96,534.3,109.4
Gestão,7.52,3.22,0.85,0.18,0.00,0.00,13.14,3.86,15.36,6.32,461.7,106.7
Gestão e Planeamento em Turismo,15.46,5.61,2.05,0.62,0.00,0.00,13.97,3.83,14.42,6.24,624.1,104.6
Línguas e Relações Empresariais,9.83,3.57,1.05,0.33,0.00,0.00,11.75,4.22,16.90,6.79,568.3,110.8
"Línguas, Literaturas e Culturas",0.01,0.00,0.00,0.00,0.00,0.00,5.73,3.74,25.85,4.37,354.2,108.9
MTC,22.70,6.72,3.93,1.86,0.00,0.00,11.77,4.70,17.89,7.24,865.3,124.0
Matemática,46.10,18.53,9.41,4.29,0.00,0.00,15.57,4.74,12.67,6.93,902.1,121.7
Música,0.04,0.00,0.00,0.00,0.00,0.00,4.96,3.59,26.93,3.83,421.7,110.4
Psicologia,8.00,2.34,0.56,0.14,0.00,0.00,12.85,4.32,17.03,6.84,464.5,120.4
Tecnologias de Informação,11.43,3.11,1.76,0.85,0.00,0.00,9.56,4.20,20.26,6.49,795.2,114.8
