team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.08,0.00,0.00,0.00,0.00,0.00,3.26,2.62,25.45,3.03,639.5,88.0
Biologia,0.00,0.00,0.00,0.00,0.00,0.00,1.79,2.28,26.94,2.64,351.6,92.9
Biologia e Geologia,0.00,0.00,0.00,0.00,0.00,0.00,2.81,1.86,26.04,2.17,299.7,75.4
Biotecnologia,59.73,14.56,6.07,1.53,0.00,0.00,17.25,4.14,10.23,4.31,981.5,105.1
Ciências Biomédicas,0.37,0.37,0.02,0.00,0.00,0.00,13.29,3.66,13.88,4.07,568.8,103.8
Contabilidade,4.50,0.51,0.26,0.11,0.00,0.00,9.50,3.24,18.53,3.78,793.4,94.7
Economia,53.49,16.12,7.16,2.11,0.00,0.00,17.48,4.08,10.11,4.12,973.8,121.8
Eng. Biomédica,0.12,0.01,0.01,0.00,0.00,0.00,2.49,2.54,26.03,2.82,590.6,82.6
Eng. Civil,52.04,12.50,1.05,0.05,0.00,0.00,20.96,2.42,5.90,2.36,854.2,76.6
Eng. Computacional,0.02,0.00,0.00,0.00,0.00,0.00,9.62,2.91,17.79,3.44,580.1,99.4
Eng. Computadores e Telemática,2.96,0.15,0.05,0.01,0.00,0.00,10.70,2.73,17.05,3.22,851.8,84.5
Eng. Eletrónica e Telecomunicações,5.49,0.56,0.26,0.07,0.00,0.00,8.86,3.66,18.80,4.25,835.1,97.2
Eng. Física,0.00,0.00,0.00,0.00,0.00,0.00,4.04,2.67,23.96,3.28,476.1,84.2
Eng. Informática,0.00,0.00,0.00,0.00,0.00,0.00,7.28,1.65,20.50,2.06,547.3,69.6
Eng. Mecânica,88.54,51.09,29.18,12.11,0.00,0.00,21.81,4.56,6.13,3.90,1131.1,129.8
Eng. Mecânica B,0.00,0.00,0.00,0.00,0.00,0.00,14.48,3.27,12.36,3.66,723.5,110.3
Eng. Química,5.57,1.49,0.12,0.00,0.00,0.00,17.44,2.34,10.13,2.57,667.8,86.3
Eng. de Materiais,68.67,3.80,0.33,0.08,0.00,0.00,18.42,2.25,8.72,2.45,813.9,65.5
Eng. e Gestão Industrial,99.72,91.60,59.40,43.06,0.00,0.00,27.57,3.05,2.00,1.60,1301.8,87.1
Finanças,89.47,49.93,24.68,8.35,0.00,0.00,21.14,4.05,5.95,3.52,1108.6,115.9
Fisioterapia,97.25,68.13,36.70,16.51,0.00,0.00,23.89,3.96,4.25,2.90,1173.7,122.4
Geologia,0.13,0.00,0.00,0.00,0.00,0.00,8.03,2.87,19.38,3.45,554.1,97.1
Gestão,42.02,12.99,0.96,0.09,0.00,0.00,20.86,2.53,6.11,2.48,844.8,86.7
Gestão e Planeamento em Turismo,98.65,75.44,33.72,15.92,0.00,0.00,25.56,4.06,3.40,2.55,1182.7,106.2
MTC,0.00,0.00,0.00,0.00,0.00,0.00,8.08,3.24,20.05,3.98,411.1,102.5
Marketing,0.00,0.00,0.00,0.00,0.00,0.00,4.84,3.15,23.00,3.72,340.7,103.7
Matemática,0.00,0.00,0.00,0.00,0.00,0.00,11.32,2.76,16.53,3.23,521.0,83.0
Música,0.00,0.00,0.00,0.00,0.00,0.00,3.97,2.73,24.79,3.34,323.5,89.3
Tecnologias de Informação,31.18,0.75,0.03,0.00,0.00,0.00,15.84,2.27,10.98,2.48,741.3,73.9
