team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Biologia,40.27,2.96,0.98,0.25,0.00,0.00,9.26,4.17,9.53,2.52,684.3,123.3
Ciências Biomédicas,96.59,30.98,10.11,1.91,0.00,0.00,16.76,2.67,5.07,1.70,863.7,72.1
Contabilidade,0.13,0.02,0.00,0.00,0.00,0.00,1.00,1.62,14.48,0.95,439.6,56.5
Economia,0.05,0.00,0.00,0.00,0.00,0.00,0.81,1.44,14.07,0.84,412.7,54.3
Educação Básica,16.14,0.36,0.07,0.02,0.00,0.00,7.10,3.33,10.74,2.11,606.7,111.3
Eng. Biomédica,96.60,65.46,29.99,7.77,0.00,0.00,18.50,3.18,3.93,1.98,954.7,91.2
Eng. Civil,100.00,96.76,79.10,63.19,0.00,0.00,22.92,1.76,1.68,0.93,1170.8,64.5
Eng. Eletrónica e Telecomunicações,34.60,5.59,1.81,0.23,0.00,0.00,8.85,4.89,9.65,2.95,662.0,135.3
Eng. Informática,9.32,0.55,0.19,0.05,0.00,0.00,6.22,2.67,10.86,1.76,625.7,81.9
Eng. Mecânica,63.70,8.11,2.71,0.54,0.00,0.00,12.09,4.03,7.76,2.46,729.9,119.9
Eng. de Materiais,29.54,2.29,0.98,0.23,0.00,0.00,9.27,3.09,9.65,1.94,708.5,109.1
Eng. e Gestão Industrial,92.15,29.37,15.61,3.91,0.00,0.00,15.58,2.92,6.08,1.81,883.0,98.7
Fisioterapia,99.86,80.62,22.77,12.23,0.00,0.00,20.76,3.08,2.51,1.75,1014.3,89.6
Matemática,99.70,69.88,32.20,8.77,0.00,0.00,18.97,2.25,3.86,1.46,971.5,68.9
Música,21.35,7.05,3.48,0.90,0.00,0.00,7.96,4.03,10.12,2.62,742.8,109.3
