team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.00,0.13,0.04,0.01,0.00,0.00,17.20,2.51,13.87,3.91,738.0,72.0
Automação e Sistemas de Produção,0.00,0.00,0.00,0.00,0.00,0.00,3.67,2.90,34.46,4.54,362.6,86.5
Biologia,0.01,0.00,0.00,0.00,0.00,0.00,6.11,2.32,31.04,3.70,370.9,72.3
Biologia e Geologia,0.00,0.00,0.00,0.00,0.00,0.00,3.50,2.92,35.23,4.62,345.0,110.3
Bioquímica,48.25,25.94,15.20,5.26,0.00,0.00,17.16,5.90,13.87,8.13,979.8,146.3
Biotecnologia,0.00,0.00,0.00,0.00,0.00,0.00,3.93,3.30,34.54,4.93,328.1,92.4
Ciências Biomédicas,0.75,0.83,0.10,0.01,0.00,0.00,13.58,3.60,18.94,5.61,565.3,106.0
Ciências do Mar,0.14,0.00,0.00,0.00,0.00,0.00,10.55,2.82,23.79,4.53,512.7,92.3
Contabilidade,59.92,23.46,13.41,3.71,0.00,0.00,19.08,4.42,11.71,6.22,994.3,115.1
Design,0.00,0.00,0.00,0.00,0.00,0.00,5.45,3.54,32.73,5.37,384.1,122.0
Economia,35.36,6.81,0.45,0.01,0.00,0.00,21.38,2.28,8.31,3.26,733.4,79.2
Enfermagem,42.41,14.93,9.35,2.22,0.00,0.00,15.60,5.33,15.85,8.03,958.0,136.1
Eng. Aeroespacial,0.00,0.00,0.00,0.00,0.00,0.00,7.83,3.06,29.06,4.82,444.3,85.5
Eng. Biomédica,35.77,12.29,8.80,3.40,0.00,0.00,15.39,4.53,16.37,6.91,980.0,125.9
Eng. Civil,0.00,0.00,0.00,0.00,0.00,0.00,5.87,4.30,31.23,6.80,367.8,126.5
Eng. Computacional,44.45,2.37,0.10,0.00,0.00,0.00,19.44,2.49,10.07,3.58,636.3,75.5
Eng. Computadores e Telemática,91.37,64.30,10.29,0.39,0.00,0.00,25.93,1.69,3.15,1.60,961.9,51.5
Eng. Eletrónica e Telecomunicações,2.57,0.18,0.10,0.04,0.00,0.00,6.18,4.15,30.43,6.45,804.1,109.6
Eng. Física,0.28,0.00,0.00,0.00,0.00,0.00,2.61,3.61,35.53,5.71,696.0,115.2
Eng. Informática,0.01,0.00,0.00,0.00,0.00,0.00,15.42,2.86,16.32,4.46,615.7,86.1
Eng. Mecânica,99.93,95.74,69.83,54.95,0.00,0.00,31.52,2.15,1.22,0.91,1267.9,64.7
Eng. Mecânica B,0.00,0.00,0.00,0.00,0.00,0.00,7.60,4.42,28.24,7.01,414.0,129.2
Eng. Química,5.29,0.37,0.18,0.08,0.00,0.00,9.71,4.66,26.06,7.29,821.7,125.2
Eng. de Materiais,64.49,10.77,0.90,0.03,0.00,0.00,22.17,1.84,6.54,2.56,768.3,62.6
Eng. do Ambiente,0.19,0.00,0.00,0.00,0.00,0.00,8.54,2.92,27.48,4.72,365.0,83.1
Eng. e Gestão Industrial,15.72,1.63,1.07,0.45,0.00,0.00,12.78,4.37,20.83,6.87,898.8,122.3
Eng. e Gestão Industrial B,0.00,0.00,0.00,0.00,0.00,0.00,20.53,2.90,9.34,4.27,703.8,81.3
Finanças,96.56,71.95,39.40,16.87,0.00,0.00,24.49,3.55,4.67,3.48,1131.2,94.6
Fisioterapia,19.56,0.87,0.43,0.20,0.00,0.00,14.12,3.77,18.79,5.99,945.0,99.5
Gestão,0.98,0.00,0.00,0.00,0.00,0.00,14.11,2.48,18.49,3.98,590.9,73.0
Gestão Pública,6.27,8.90,0.98,0.04,0.00,0.00,20.54,3.58,9.95,5.09,731.5,104.2
Gestão e Planeamento em Turismo,73.74,51.16,28.64,12.28,0.00,0.00,20.96,5.29,9.10,7.40,1091.4,130.9
Línguas e Relações Empresariais,0.06,0.00,0.00,0.00,0.00,0.00,11.24,3.02,22.52,4.94,485.9,85.5
MOC,0.00,0.00,0.00,0.00,0.00,0.00,2.99,2.25,34.78,3.31,287.0,72.9
MTC,0.00,0.00,0.00,0.00,0.00,0.00,8.69,3.01,27.48,4.82,431.8,91.4
Marketing,1.61,1.75,0.18,0.01,0.00,0.00,17.83,3.11,12.23,4.77,652.3,88.0
Matemática,54.31,5.62,0.55,0.04,0.00,0.00,19.96,3.20,10.24,4.72,703.9,100.0
Música,0.00,0.00,0.00,0.00,0.00,0.00,10.56,3.31,24.54,5.36,524.5,107.4
Psicologia,0.00,0.00,0.00,0.00,0.00,0.00,11.09,3.68,24.16,5.94,490.1,114.4
Tradução,0.00,0.00,0.00,0.00,0.00,0.00,1.85,1.52,36.84,2.42,210.8,55.6
