team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Adminstração Pública,0.03,5.07,4.56,4.24,0.00,0.00,20.99,0.13,10.07,1.12,1499.8,5.6
Biologia,98.18,61.13,31.21,10.16,0.00,0.00,24.57,2.74,5.66,3.84,1185.2,85.4
Biologia e Geologia,8.03,1.11,0.05,0.00,0.00,0.00,19.24,4.06,13.53,5.30,587.9,120.2
Bioquímica,18.72,6.91,0.31,0.00,0.00,0.00,18.36,4.11,12.43,5.79,609.7,137.8
Ciências Biomédicas,82.10,23.31,12.48,5.25,0.00,0.00,19.89,4.22,11.42,5.91,1077.4,136.6
Ciências Biomédicas B,0.00,0.00,0.00,0.00,0.00,0.00,7.82,3.53,27.19,3.57,374.2,110.3
Contabilidade,0.00,0.00,0.00,0.00,0.00,0.00,12.71,4.75,22.14,5.52,452.5,140.1
Design,29.63,0.44,0.30,0.24,0.00,0.00,15.26,3.82,20.04,4.75,953.1,127.8
Economia,4.28,1.12,0.10,0.00,0.00,0.00,18.61,4.66,15.13,6.25,601.8,149.6
Educação Básica,0.00,0.00,0.00,0.00,0.00,0.00,7.45,3.31,26.30,3.23,347.2,103.6
Eng. Biomédica,0.00,0.00,0.00,0.00,0.00,0.00,0.84,1.64,32.75,1.56,620.6,55.4
Eng. Civil,4.96,0.13,0.06,0.04,0.00,0.00,10.69,3.24,23.57,3.78,867.0,127.8
Eng. Computadores e Telemática,0.00,0.00,0.00,0.00,0.00,0.00,2.49,3.01,31.94,2.58,264.9,120.2
Eng. Eletrónica e Telecomunicações,100.00,91.91,59.88,44.81,0.00,0.00,31.40,2.17,1.20,0.75,1362.0,69.3
Eng. Física,9.35,5.58,0.47,0.01,0.00,0.00,17.74,4.62,13.40,6.24,585.9,140.3
Eng. Informática,67.09,11.43,7.64,2.25,0.00,0.00,17.83,4.42,14.13,6.00,1044.4,135.3
Eng. Mecânica,1.28,0.40,0.00,0.00,0.00,0.00,18.75,3.76,15.34,5.13,545.3,129.6
Eng. Química,49.47,18.77,1.71,0.02,0.00,0.00,24.06,3.64,8.28,5.04,707.7,130.3
Eng. de Materiais,0.02,0.00,0.00,0.00,0.00,0.00,4.04,1.81,29.96,1.72,674.6,58.7
Eng. do Ambiente,63.89,23.36,1.45,0.01,0.00,0.00,25.36,2.39,5.33,3.01,725.1,97.4
Eng. e Gestão Industrial,99.95,83.90,50.18,23.93,0.00,0.00,27.13,2.30,3.24,2.16,1276.0,73.2
Fisioterapia,94.19,41.48,27.54,8.85,0.00,0.00,23.42,3.95,8.08,4.79,1127.8,133.0
Geologia,9.40,0.25,0.17,0.08,0.00,0.00,10.87,3.05,22.70,3.58,828.5,91.5
Gestão,5.76,1.69,0.11,0.01,0.00,0.00,15.22,4.95,18.17,6.53,469.7,140.0
Gestão Comercial,0.00,0.00,0.00,0.00,0.00,0.00,8.73,4.49,26.80,4.87,337.7,143.1
Gestão e Planeamento em Turismo,14.48,0.35,0.19,0.05,0.00,0.00,12.06,4.65,22.18,5.16,886.5,141.2
Línguas e Relações Empresariais,10.85,5.28,0.25,0.01,0.00,0.00,19.03,4.40,12.33,5.95,544.2,135.0
"Línguas, Literaturas e Culturas",20.84,6.30,0.52,0.02,0.00,0.00,19.99,4.32,12.63,5.47,605.2,133.6
MTC,0.00,0.00,0.00,0.00,0.00,0.00,14.35,4.63,20.04,5.51,494.2,138.7
Marketing,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.29,31.55,2.28,198.4,76.5
Matemática,0.00,0.00,0.00,0.00,0.00,0.00,4.38,2.48,30.73,2.32,283.1,85.7
Música,0.99,0.29,0.01,0.00,0.00,0.00,17.88,3.25,16.02,4.30,538.0,95.4
Psicologia,6.49,9.77,0.81,0.02,0.00,0.00,22.98,4.06,10.38,5.60,627.8,134.8
Tradução,0.02,0.02,0.00,0.00,0.00,0.00,12.54,4.45,20.36,5.46,417.2,131.3
