team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,19.26,19.89,1.84,0.17,0.00,0.00,25.70,2.88,6.64,3.06,766.6,89.7
Biologia,0.00,0.00,0.00,0.00,0.00,0.00,17.82,3.33,14.82,3.65,667.7,111.6
Bioquímica,0.03,0.42,0.03,0.00,0.00,0.00,13.03,4.37,18.54,4.97,503.7,127.4
Biotecnologia,0.00,0.00,0.00,0.00,0.00,0.00,1.99,2.81,31.89,2.25,252.4,85.8
Ciências Biomédicas,5.91,8.27,0.58,0.02,0.00,0.00,21.88,3.09,9.56,3.29,700.7,103.7
Ciências do Mar,32.61,2.17,1.31,0.78,0.00,0.00,13.88,3.91,18.02,4.45,898.7,123.6
Contabilidade,38.12,10.93,0.52,0.03,0.00,0.00,26.68,3.11,6.40,3.29,625.6,94.7
Design,99.44,67.40,46.62,20.15,0.00,0.00,27.87,2.56,5.81,2.71,1205.7,78.5
Economia,0.00,0.00,0.00,0.00,0.00,0.00,4.72,3.22,30.21,2.84,399.8,103.7
Eng. Biomédica,7.95,0.08,0.03,0.01,0.00,0.00,11.89,3.47,20.74,4.11,782.2,97.3
Eng. Civil,0.11,0.13,0.00,0.00,0.00,0.00,16.44,3.99,15.78,4.36,438.3,136.3
Eng. Computacional,0.00,0.00,0.00,0.00,0.00,0.00,10.43,4.18,22.01,5.12,313.6,131.0
Eng. Computadores e Telemática,0.02,0.00,0.00,0.00,0.00,0.00,2.38,2.86,31.10,2.16,637.8,83.1
Eng. Eletrónica e Telecomunicações,99.82,47.39,29.32,12.10,0.00,0.00,25.04,3.03,6.69,3.23,1146.4,88.7
Eng. Eletrónica e Telecomunicações B,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.97,30.71,3.79,155.4,121.6
Eng. Física,58.90,20.58,0.52,0.01,0.00,0.00,26.79,3.81,4.57,3.62,675.5,128.7
Eng. Informática,99.15,52.33,33.52,19.13,0.00,0.00,26.16,4.36,5.86,3.94,1155.4,131.4
Eng. Informática B,0.00,0.00,0.00,0.00,0.00,0.00,13.91,4.75,19.55,5.35,377.7,141.6
Eng. Mecânica,73.45,5.99,3.62,1.66,0.00,0.00,19.23,4.00,14.39,4.45,981.9,122.1
Eng. de Materiais,0.00,0.00,0.00,0.00,0.00,0.00,9.76,3.86,23.58,4.34,469.6,126.8
Eng. do Ambiente,1.49,6.46,0.76,0.08,0.00,0.00,20.89,4.29,12.07,4.70,686.4,133.8
Eng. e Gestão Industrial,99.74,84.41,67.34,42.35,0.00,0.00,30.88,3.10,2.42,2.60,1281.2,113.3
Fisioterapia,73.31,54.37,8.43,1.05,0.00,0.00,28.94,1.86,3.72,2.02,947.6,61.3
Física,2.85,5.67,0.51,0.02,0.00,0.00,22.80,3.35,10.82,3.69,576.4,123.6
Geologia,0.00,0.02,0.00,0.00,0.00,0.00,9.14,2.93,23.42,3.74,474.6,102.7
Gestão,0.02,0.75,0.02,0.00,0.00,0.00,16.81,4.88,15.79,5.41,451.4,152.1
Gestão e Planeamento em Turismo,3.85,0.00,0.00,0.00,0.00,0.00,7.72,4.29,26.22,4.37,790.5,125.0
Línguas e Relações Empresariais,80.53,12.73,5.03,2.44,0.00,0.00,18.98,4.14,12.35,4.52,1028.4,126.4
MTC,0.00,0.00,0.00,0.00,0.00,0.00,13.27,4.17,20.78,4.98,371.1,137.0
Matemática,0.00,0.00,0.00,0.00,0.00,0.00,10.78,3.23,23.89,3.93,302.1,114.7
Medicina,0.00,0.00,0.00,0.00,0.00,0.00,11.11,3.27,22.47,3.90,415.9,98.4
Música,0.19,0.00,0.00,0.00,0.00,0.00,7.43,4.35,26.55,4.17,785.4,135.8
Psicologia,0.00,0.00,0.00,0.00,0.00,0.00,3.34,3.48,31.47,3.12,168.0,116.3
Tecnologias de Informação,3.25,0.01,0.00,0.00,0.00,0.00,6.53,3.87,26.16,4.62,725.3,130.0
