jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
4,,,Eng. Mecânica,Eng. e Gestão Industrial,1171.0,0.0,1337.0,0.0,0.12,0.13,99.75,1,
4,,,Ciências do Mar,Eng. Biomédica,503.0,0.0,733.0,0.0,0.00,0.03,99.97,2,
4,,,DPT,Economia,587.0,0.0,771.0,0.0,0.01,0.02,99.97,2,
5,,,Eng. Eletrónica e Telecomunicações,Eng. Informática,1122.0,0.0,961.0,0.0,99.75,0.13,0.12,1,
5,,,Eng. e Gestão Industrial,Gestão Comercial,1379.2,8.8,1207.0,0.0,99.86,0.06,0.08,1,
5,,,Eng. Civil,Eng. Física,942.0,0.0,654.0,0.0,99.99,0.00,0.01,1,
5,,,Eng. de Materiais,Eng. Mecânica,938.0,0.0,1128.8,8.8,0.01,0.03,99.96,1,
5,,,Fisioterapia,Marketing,799.0,0.0,1086.0,0.0,0.02,0.02,99.96,1,
5,,,Administração Pública,Psicologia,533.0,0.0,298.0,0.0,99.98,0.02,0.00,2,
5,,,Biologia,MTC,326.0,0.0,258.0,0.0,85.36,4.72,9.92,2,
5,,,Biologia e Geologia,Matemática,697.0,0.0,601.0,0.0,93.82,2.43,3.75,2,
5,,,Economia,Ciências do Mar,809.1,3.9,475.8,2.7,99.99,0.00,0.01,2,
5,,,Educação Básica,Eng. Biomédica,436.0,0.0,760.2,2.7,0.00,0.01,99.99,2,
5,,,Gestão,DPT,587.0,0.0,548.9,3.9,70.56,7.68,21.76,2,
6,,,Eng. Computadores e Telemática,Eng. Eletrónica e Telecomunicações,811.0,0.0,1165.5,8.8,0.00,0.01,99.99,1,
6,,,Eng. Física,Fisioterapia,637.4,2.4,782.2,3.5,0.36,0.36,99.28,1,
6,,,Eng. Informática,Eng. Civil,917.5,8.8,958.6,2.4,20.87,7.42,71.71,1,
6,,,Gestão Comercial,Eng. de Materiais,1166.2,6.0,901.3,4.2,100.00,0.00,0.00,1,
6,,,Marketing,Eng. e Gestão Industrial,1102.8,3.5,1406.4,10.1,0.04,0.01,99.95,1,
6,,,Ciências do Mar,Gestão,468.3,3.0,620.9,86.8,10.24,2.15,87.61,2,
6,,,DPT,Administração Pública,527.0,56.2,559.1,2.5,29.81,5.37,64.82,2,
6,,,Eng. Biomédica,Economia,768.0,2.7,816.6,3.8,17.57,6.48,75.95,2,
6,,,MTC,Educação Básica,208.6,65.0,423.8,1.4,2.79,0.61,96.60,2,
6,,,Matemática,Biologia,547.1,42.8,375.4,65.0,98.90,0.59,0.51,2,
6,,,Psicologia,Biologia e Geologia,271.9,2.5,750.9,42.8,0.01,0.03,99.96,2,
7,,,Eng. e Gestão Industrial,Eng. Física,1413.7,9.9,606.9,9.8,99.98,0.01,0.01,1,
7,,,Eng. Civil,Eng. Computadores e Telemática,981.1,55.1,801.6,1.9,97.54,0.99,1.47,1,
7,,,Eng. de Materiais,Marketing,891.1,3.9,1095.5,4.0,0.03,0.01,99.96,1,
7,,,Eng. Mecânica,Gestão Comercial,1152.4,8.3,1176.4,5.7,29.93,8.52,61.55,1,
7,,,Fisioterapia,Eng. Informática,812.7,9.8,895.0,56.2,12.52,4.95,82.53,1,
7,,,Administração Pública,Ciências do Mar,574.2,53.9,454.6,25.3,88.76,2.26,8.98,2,
7,,,Biologia,Psicologia,348.2,58.7,269.5,3.5,83.75,2.86,13.39,2,
7,,,Biologia e Geologia,DPT,753.3,41.0,515.7,83.8,97.38,0.58,2.04,2,
7,,,Educação Básica,Economia,440.7,19.5,836.4,40.7,0.00,0.00,100.00,2,
7,,,Gestão,Eng. Biomédica,639.3,100.0,748.2,40.5,14.61,4.66,80.73,2,
7,,,MTC,Matemática,191.8,66.7,574.3,40.4,0.22,0.10,99.68,2,
8,,,Eng. Computadores e Telemática,Fisioterapia,783.2,14.0,792.5,35.6,42.15,8.15,49.70,1,
8,,,Eng. Eletrónica e Telecomunicações,Eng. Civil,1170.2,8.1,999.5,52.5,99.29,0.33,0.38,1,
8,,,Eng. Física,Eng. de Materiais,606.9,9.9,874.4,4.4,0.01,0.00,99.99,1,
8,,,Eng. Informática,Eng. e Gestão Industrial,915.2,65.8,1413.7,9.9,0.00,0.02,99.98,1,
8,,,Marketing,Eng. Mecânica,1112.2,4.0,1141.3,48.3,33.46,7.27,59.27,1,
8,,,Ciências do Mar,Biologia e Geologia,435.8,40.0,765.9,43.5,0.28,0.03,99.69,2,
8,,,DPT,Biologia,503.1,78.5,368.7,77.7,86.44,3.59,9.97,2,
8,,,Economia,Gestão,839.9,39.1,623.6,103.2,97.96,0.86,1.18,2,
8,,,Eng. Biomédica,Administração Pública,763.9,55.2,593.0,63.6,95.59,1.21,3.20,2,
8,,,Matemática,Educação Básica,579.0,39.2,437.1,19.1,97.70,0.92,1.38,2,
8,,,Psicologia,MTC,249.0,28.1,187.1,62.1,79.73,4.65,15.62,2,
9,,,Eng. e Gestão Industrial,Eng. Computadores e Telemática,1415.1,9.6,781.3,50.8,100.00,0.00,0.00,1,
9,,,Eng. de Materiais,Eng. Informática,884.4,4.5,913.8,64.8,34.21,6.00,59.79,1,
9,,,Eng. Mecânica,Eng. Física,1148.7,74.9,596.9,8.9,99.99,0.01,0.00,1,
9,,,Fisioterapia,Eng. Eletrónica e Telecomunicações,794.5,65.6,1190.9,11.8,0.01,0.01,99.98,1,
9,,,Gestão Comercial,Marketing,1187.6,47.6,1104.8,44.7,83.07,4.38,12.55,1,
9,,,Administração Pública,Economia,574.5,61.5,856.4,39.0,0.06,0.05,99.89,2,
9,,,Biologia,Ciências do Mar,351.7,80.3,429.5,38.3,20.52,4.89,74.59,2,
9,,,Biologia e Geologia,Eng. Biomédica,772.2,41.2,782.4,56.6,43.10,6.38,50.52,2,
9,,,Educação Básica,Gestão,413.9,22.0,607.2,96.6,7.51,1.14,91.35,2,
9,,,MTC,DPT,166.8,80.9,520.1,82.1,1.08,0.36,98.56,2,
9,,,Matemática,Psicologia,602.2,38.3,269.3,39.8,99.98,0.01,0.01,2,
10,,,Eng. Computadores e Telemática,Eng. de Materiais,780.9,50.3,877.0,42.9,13.25,3.75,83.00,1,
10,,,Eng. Eletrónica e Telecomunicações,Eng. e Gestão Industrial,1194.7,11.6,1415.5,9.4,0.05,0.01,99.94,1,
10,,,Eng. Civil,Fisioterapia,978.8,47.5,790.6,63.5,96.79,0.98,2.23,1,
10,,,Eng. Física,Gestão Comercial,596.0,8.8,1207.7,61.1,0.01,0.00,99.99,1,
10,,,Eng. Informática,Eng. Mecânica,921.1,89.2,1149.7,74.2,2.69,1.19,96.12,1,
10,,,Ciências do Mar,MTC,443.3,55.9,160.7,78.3,97.49,0.43,2.08,2,
10,,,DPT,Matemática,526.1,79.6,608.5,36.6,20.35,3.55,76.10,2,
10,,,Economia,Biologia e Geologia,866.4,36.1,770.3,63.7,84.29,3.96,11.75,2,
10,,,Educação Básica,Psicologia,401.9,29.6,263.0,37.7,96.55,1.23,2.22,2,
10,,,Eng. Biomédica,Biologia,784.3,82.5,337.9,92.4,99.97,0.01,0.02,2,
10,,,Gestão,Administração Pública,619.2,102.0,564.4,57.8,71.78,4.11,24.11,2,
11,,,Eng. e Gestão Industrial,Eng. Civil,1437.5,10.0,996.0,47.8,99.99,0.00,0.01,1,
11,,,Eng. de Materiais,Eng. Eletrónica e Telecomunicações,894.8,55.9,1180.1,10.6,0.00,0.01,99.99,1,
11,,,Eng. Mecânica,Eng. Computadores e Telemática,1163.4,72.2,763.1,64.2,99.96,0.02,0.02,1,
11,,,Gestão Comercial,Eng. Informática,1208.2,60.5,907.4,86.1,99.17,0.30,0.53,1,
11,,,Marketing,Eng. Física,1084.6,55.4,595.5,8.8,99.99,0.01,0.00,1,
11,,,Administração Pública,Educação Básica,550.5,64.3,424.7,32.3,90.53,2.14,7.33,2,
11,,,Biologia,Economia,334.4,90.1,885.6,50.9,0.00,0.01,99.99,2,
11,,,Biologia e Geologia,Gestão,751.1,71.3,633.1,119.3,75.95,4.70,19.35,2,
11,,,MTC,Eng. Biomédica,152.0,78.1,787.8,80.2,0.00,0.00,100.00,2,
11,,,Matemática,Ciências do Mar,622.0,50.1,452.0,53.8,94.96,1.09,3.95,2,
11,,,Psicologia,DPT,240.2,38.7,512.6,97.4,0.26,0.11,99.63,2,
