jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
4,,,Biologia,Eng. Civil,646.0,0.0,831.0,0.0,32.13,7.32,60.55,,
4,,,Eng. e Gestão Industrial,Eng. Eletrónica e Telecomunicações,1058.0,0.0,834.0,0.0,64.03,7.04,28.93,,
4,,,Economia,MTC,524.0,0.0,883.0,0.0,20.25,6.38,73.37,,
4,,,Educação Básica,Eng. Computadores e Telemática,457.0,0.0,471.0,0.0,44.46,8.39,47.15,,
4,,,Eng. Física,Design,684.0,0.0,711.0,0.0,43.99,8.26,47.75,,
4,,,Fisioterapia,Eng. Mecânica,1018.0,0.0,1009.0,0.0,46.45,8.07,45.48,,
4,,,Tradução,Psicologia,674.0,0.0,574.0,0.0,54.40,8.18,37.42,,
5,,,Biologia,MTC,687.6,94.6,842.4,82.8,34.16,7.20,58.64,,
5,,,Eng. Eletrónica e Telecomunicações,Educação Básica,877.1,92.3,460.8,98.7,75.87,6.26,17.87,,
5,,,Eng. e Gestão Industrial,Eng. Civil,1014.9,92.3,789.4,94.6,63.36,6.94,29.70,,
5,,,Economia,Eng. Física,564.6,82.8,692.8,98.8,35.76,7.58,56.66,,
5,,,Eng. Mecânica,Eng. Computadores e Telemática,1012.3,99.0,467.2,98.7,82.97,4.73,12.30,,
5,,,Fisioterapia,Psicologia,1014.7,99.0,600.6,97.2,75.74,5.62,18.64,,
5,,,Tradução,Design,647.4,97.2,702.2,98.8,41.66,7.58,50.76,,
6,,,Biologia,Tradução,701.4,98.8,652.1,100.0,49.94,7.68,42.38,,
6,,,Eng. Eletrónica e Telecomunicações,Eng. Computadores e Telemática,859.8,103.4,480.7,107.8,73.73,6.06,20.21,,
6,,,Eng. e Gestão Industrial,Psicologia,997.7,98.3,618.1,107.0,73.56,5.68,20.76,,
6,,,Economia,Eng. Civil,576.1,88.6,806.6,104.1,29.13,6.89,63.98,,
6,,,Educação Básica,Eng. Física,478.2,108.0,681.3,103.6,31.84,7.34,60.82,,
6,,,Eng. Mecânica,MTC,998.8,108.0,828.6,89.3,58.98,6.97,34.05,,
6,,,Fisioterapia,Design,997.2,109.2,697.5,101.5,67.71,7.16,25.13,,
7,,,Biologia,Eng. Física,697.1,102.4,665.6,109.4,48.33,7.41,44.26,,
7,,,Eng. Eletrónica e Telecomunicações,MTC,842.0,113.3,842.9,98.2,46.39,7.88,45.73,,
7,,,Eng. e Gestão Industrial,Design,979.8,107.1,715.7,110.1,65.79,6.90,27.31,,
7,,,Economia,Psicologia,593.0,96.5,636.1,116.7,43.46,7.62,48.92,,
7,,,Eng. Mecânica,Educação Básica,984.5,111.1,493.9,113.2,80.04,5.00,14.96,,
7,,,Fisioterapia,Eng. Civil,979.0,117.0,789.7,110.1,59.35,7.35,33.30,,
7,,,Tradução,Eng. Computadores e Telemática,656.3,102.4,498.4,117.0,57.21,7.49,35.30,,
