jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
1,,,Eng. Computadores e Telemática,Eng. Aeroespacial,987.0,0.0,942.0,0.0,50.26,7.53,42.21,1,
1,,,Eng. de Materiais,Eng. Informática,1343.0,0.0,682.0,0.0,89.01,3.30,7.69,1,
1,,,Economia,Design,560.0,0.0,663.0,0.0,38.01,7.83,54.16,2,A
1,,,Eng. Civil,Contabilidade,579.0,0.0,669.0,0.0,39.81,7.95,52.24,2,A
4,,,Contabilidade,Física,641.7,98.1,517.0,0.0,56.46,7.40,36.14,2,A
4,,,Design,Línguas e Relações Empresariais,634.4,97.6,554.0,0.0,52.60,7.53,39.87,2,A
4,,,Eng. Civil,Economia,606.3,98.1,588.6,97.6,46.59,8.06,45.35,2,A
4,,,Gestão e Planeamento em Turismo,Biologia e Geologia,674.0,0.0,500.0,0.0,60.19,7.77,32.04,2,A
4,,,Eng. Biomédica,Eng. Computacional,594.0,0.0,291.0,0.0,68.85,7.08,24.07,2,B
4,,,Eng. Mecânica B,Administração Pública,433.0,0.0,454.0,0.0,44.15,8.52,47.33,2,B
4,,,"Línguas, Literaturas e Culturas",Ciências do Mar,272.0,0.0,467.0,0.0,31.12,8.12,60.76,2,B
4,,,Psicologia,Gestão,528.0,0.0,433.0,0.0,53.54,8.11,38.35,2,B
5,,,Eng. Computadores e Telemática,Eng. Eletrónica e Telecomunicações,974.4,98.8,970.0,0.0,45.09,7.93,46.98,1,
5,,,Eng. e Gestão Industrial,Tecnologias de Informação,1161.0,0.0,686.0,0.0,79.92,5.24,14.84,1,
5,,,Eng. Aeroespacial,Matemática,954.6,98.8,874.0,0.0,52.00,8.10,39.90,1,
5,,,Eng. Informática,Eng. Mecânica,700.9,56.3,1157.0,0.0,15.91,5.58,78.51,1,
5,,,Eng. de Materiais,Biotecnologia,1324.1,56.3,707.0,0.0,87.16,3.62,9.22,1,
5,,,MTC,Biologia,821.0,0.0,908.0,0.0,39.85,8.16,51.99,1,
5,,,Biologia e Geologia,Contabilidade,539.0,94.5,629.1,100.5,38.77,8.13,53.10,2,A
5,,,Economia,Música,591.8,105.4,322.0,0.0,66.94,6.95,26.11,2,A
5,,,Física,Eng. Civil,542.1,97.6,603.1,105.5,41.22,7.95,50.83,2,A
5,,,Línguas e Relações Empresariais,Gestão e Planeamento em Turismo,572.0,99.5,635.0,94.5,40.92,8.00,51.08,2,A
5,,,Administração Pública,Psicologia,447.4,98.6,501.5,97.6,42.02,7.57,50.41,2,B
5,,,Ciências do Mar,Eng. Mecânica B,424.3,93.8,439.6,98.6,45.04,7.35,47.61,2,B
5,,,Eng. Computacional,"Línguas, Literaturas e Culturas",335.4,87.6,314.7,93.8,47.83,7.38,44.79,2,B
5,,,Gestão,Eng. Física,459.5,97.6,583.0,0.0,36.55,7.84,55.61,2,B
6,,,Biologia,Eng. de Materiais,881.6,98.0,1309.4,71.7,17.96,5.74,76.30,1,
6,,,Biotecnologia,Eng. Computadores e Telemática,728.3,60.9,971.7,103.5,27.85,7.24,64.91,1,
6,,,Eng. Eletrónica e Telecomunicações,Eng. Aeroespacial,974.1,101.5,942.7,105.4,47.75,8.14,44.11,1,
6,,,Eng. Mecânica,Eng. e Gestão Industrial,1122.8,76.0,1128.3,74.1,45.83,7.97,46.20,1,
6,,,Matemática,Eng. Informática,891.8,99.6,723.7,77.3,59.31,7.45,33.24,1,
6,,,Tecnologias de Informação,MTC,718.7,74.1,847.4,98.0,36.46,8.01,55.53,1,
6,,,Contabilidade,Línguas e Relações Empresariais,620.6,103.3,578.2,101.7,48.92,7.62,43.46,2,A
6,,,Eng. Civil,Biologia e Geologia,598.0,106.2,547.5,97.9,50.22,7.69,42.09,2,A
6,,,Gestão e Planeamento em Turismo,Design,628.8,97.8,625.4,98.6,46.50,7.08,46.42,2,A
6,,,Música,Física,360.9,88.6,547.3,100.5,32.65,7.38,59.97,2,A
6,,,Eng. Física,Administração Pública,556.9,97.7,452.6,100.9,53.97,7.74,38.29,2,B
6,,,Eng. Mecânica B,Eng. Computacional,438.6,100.8,333.2,93.2,53.50,7.84,38.66,2,B
6,,,"Línguas, Literaturas e Culturas",Eng. Biomédica,316.9,96.7,549.6,87.6,28.73,7.24,64.03,2,B
6,,,Psicologia,Ciências do Mar,496.3,101.2,425.3,97.3,51.54,7.70,40.76,2,B
7,,,Eng. Computadores e Telemática,Biologia,953.7,110.9,904.4,114.0,50.02,8.00,41.98,1,
7,,,Eng. e Gestão Industrial,MTC,1127.2,89.8,830.9,109.6,67.99,7.39,24.62,1,
7,,,Eng. Aeroespacial,Biotecnologia,946.1,105.9,751.6,80.6,61.39,7.55,31.06,1,
7,,,Eng. Informática,Eng. Eletrónica e Telecomunicações,738.4,85.0,969.8,107.9,29.57,6.69,63.74,1,
7,,,Eng. de Materiais,Tecnologias de Informação,1291.6,82.8,735.3,89.1,83.73,4.23,12.04,1,
7,,,Eng. Mecânica,Matemática,1123.9,91.4,872.7,111.5,65.69,6.66,27.65,1,
7,,,Biologia e Geologia,Música,552.1,100.0,376.8,94.7,59.86,7.52,32.62,2,A
7,,,Design,Contabilidade,626.0,100.9,615.8,105.1,46.44,7.66,45.90,2,A
7,,,Física,Economia,531.4,107.2,572.3,114.3,43.09,7.79,49.12,2,A
7,,,Línguas e Relações Empresariais,Eng. Civil,583.0,103.8,593.4,107.9,44.41,7.96,47.63,2,A
7,,,Administração Pública,Gestão,462.2,103.8,472.5,100.0,44.64,7.98,47.38,2,B
7,,,Ciências do Mar,Eng. Física,432.0,101.2,547.3,101.5,37.01,7.66,55.33,2,B
7,,,Eng. Biomédica,Eng. Mecânica B,532.8,94.1,428.1,104.6,53.34,7.62,39.04,2,B
7,,,Eng. Computacional,Psicologia,343.8,97.4,489.6,103.5,35.52,7.26,57.22,2,B
8,,,Biologia,Eng. Aeroespacial,908.6,114.3,930.7,110.4,44.63,7.92,47.45,1,
8,,,Biotecnologia,Eng. Informática,767.0,89.1,755.7,93.1,46.74,8.30,44.96,1,
8,,,Eng. Eletrónica e Telecomunicações,Eng. Mecânica,952.5,114.3,1107.4,98.8,34.50,7.69,57.81,1,
8,,,MTC,Eng. de Materiais,848.6,116.5,1278.5,92.0,17.95,5.67,76.38,1,
8,,,Matemática,Eng. e Gestão Industrial,889.2,117.1,1109.5,98.3,30.76,6.78,62.46,1,
8,,,Tecnologias de Informação,Eng. Computadores e Telemática,748.4,97.3,949.5,112.4,31.64,7.28,61.08,1,
8,,,Contabilidade,Gestão e Planeamento em Turismo,617.3,106.7,628.2,100.4,45.96,8.15,45.89,2,A
8,,,Economia,Biologia e Geologia,568.7,114.8,537.8,105.6,48.75,7.89,43.36,2,A
8,,,Eng. Civil,Design,593.3,108.9,624.5,101.8,43.46,8.22,48.32,2,A
8,,,Música,Línguas e Relações Empresariais,391.1,99.6,583.1,104.8,31.34,7.48,61.18,2,A
8,,,Eng. Física,Eng. Computacional,537.4,104.1,356.6,102.1,59.51,7.00,33.49,2,B
8,,,Eng. Mecânica B,"Línguas, Literaturas e Culturas",438.6,107.7,333.6,103.0,54.43,7.81,37.76,2,B
8,,,Gestão,Ciências do Mar,472.4,101.9,441.8,105.5,48.17,7.81,44.02,2,B
8,,,Psicologia,Eng. Biomédica,476.7,107.9,522.3,97.7,43.74,7.51,48.75,2,B
9,,,Eng. Computadores e Telemática,MTC,933.8,116.8,865.4,125.5,51.89,7.73,40.38,1,
9,,,Eng. e Gestão Industrial,Eng. de Materiais,1093.2,104.2,1261.7,100.4,33.35,7.40,59.25,1,
9,,,Eng. Aeroespacial,Tecnologias de Informação,928.5,111.3,764.2,102.7,58.06,7.52,34.42,1,
9,,,Eng. Informática,Biologia,756.9,96.9,910.8,114.9,35.48,7.33,57.19,1,
9,,,Eng. Mecânica,Biotecnologia,1094.7,103.5,765.7,94.0,70.12,6.52,23.36,1,
9,,,Matemática,Eng. Eletrónica e Telecomunicações,905.5,121.7,965.2,117.2,41.65,8.33,50.02,1,
9,,,Biologia e Geologia,Física,540.2,107.2,535.0,108.8,47.36,8.08,44.56,2,A
9,,,Design,Música,621.7,103.1,405.6,104.7,62.25,7.43,30.32,2,A
9,,,Gestão e Planeamento em Turismo,Eng. Civil,626.2,102.8,596.1,109.6,49.11,7.61,43.28,2,A
9,,,Línguas e Relações Empresariais,Economia,568.6,110.3,566.3,114.7,46.28,8.00,45.72,2,A
9,,,Ciências do Mar,Administração Pública,444.6,105.9,462.4,105.2,43.50,7.89,48.61,2,B
9,,,Eng. Biomédica,Eng. Física,517.0,100.7,522.4,109.6,46.16,7.39,46.45,2,B
9,,,Eng. Computacional,Gestão,371.6,107.0,469.5,103.7,38.05,7.36,54.59,2,B
9,,,"Línguas, Literaturas e Culturas",Psicologia,342.5,105.4,482.1,109.1,35.90,7.48,56.62,2,B
10,,,Biologia,Eng. Mecânica,897.3,117.5,1076.2,111.0,33.66,6.97,59.37,1,
10,,,Biotecnologia,Matemática,784.2,103.0,910.9,120.9,35.91,7.34,56.75,1,
10,,,Eng. e Gestão Industrial,Eng. Eletrónica e Telecomunicações,1107.4,111.1,959.9,118.7,58.00,7.62,34.38,1,
10,,,Eng. de Materiais,Eng. Computadores e Telemática,1247.5,103.4,928.8,117.6,69.88,6.83,23.29,1,
10,,,MTC,Eng. Aeroespacial,870.3,124.4,914.7,114.7,42.77,7.94,49.29,1,
10,,,Tecnologias de Informação,Eng. Informática,778.0,106.5,770.4,101.5,47.33,8.05,44.62,1,
11,,,Eng. Computadores e Telemática,Eng. e Gestão Industrial,945.6,125.3,1096.6,114.1,34.55,7.56,57.89,1,
11,,,Eng. Eletrónica e Telecomunicações,Biotecnologia,970.7,119.8,793.7,106.5,58.64,7.99,33.37,1,
11,,,Eng. Aeroespacial,Eng. de Materiais,910.8,115.9,1230.7,110.2,23.43,7.04,69.53,1,
11,,,Eng. Informática,MTC,770.2,103.9,874.2,123.2,38.53,7.71,53.76,1,
11,,,Eng. Mecânica,Tecnologias de Informação,1062.2,114.3,778.2,108.0,67.11,6.63,26.26,1,
