jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
1,,,Eng. Mecânica B,Eng. Computacional,722.0,0.0,582.0,0.0,69.89,18.19,11.92,2,A
2,,,Eng. Computacional,Biologia,578.5,75.7,351.0,0.0,80.61,13.50,5.89,2,A
4,,,Biotecnologia,Administração Pública,992.0,0.0,608.0,0.0,87.42,10.03,2.55,1,
4,,,Eng. Eletrónica e Telecomunicações,Gestão e Planeamento em Turismo,820.0,0.0,1205.0,0.0,2.79,10.31,86.90,1,
4,,,Eng. Mecânica,Fisioterapia,1139.0,0.0,1195.0,0.0,26.40,23.48,50.12,1,
4,,,Biologia,Eng. Informática,349.2,59.3,544.0,0.0,7.05,13.40,79.55,2,A
4,,,Eng. Física,Tecnologias de Informação,479.0,0.0,740.0,0.0,2.65,9.51,87.84,2,A
4,,,Geologia,Eng. Mecânica B,560.0,0.0,725.5,75.7,11.39,15.42,73.19,2,A
4,,,MTC,Ciências Biomédicas,409.0,0.0,564.0,0.0,10.10,17.82,72.08,2,B
4,,,Matemática,Eng. Civil,510.0,0.0,874.0,0.0,2.30,10.37,87.33,2,B
5,,,Administração Pública,Eng. Eletrónica e Telecomunicações,617.1,44.3,829.9,45.5,5.89,13.58,80.53,1,
5,,,Contabilidade,Eng. e Gestão Industrial,771.0,0.0,1333.0,0.0,2.68,10.00,87.32,1,
5,,,Eng. Computadores e Telemática,Eng. Mecânica,839.0,0.0,1139.4,92.8,3.14,11.23,85.63,1,
5,,,Economia,Biotecnologia,973.0,0.0,982.9,44.3,36.46,23.89,39.65,1,
5,,,Fisioterapia,Eng. Biomédica,1194.6,92.8,564.0,0.0,87.60,9.93,2.47,1,
5,,,Gestão e Planeamento em Turismo,Finanças,1195.1,45.5,1121.0,0.0,55.42,21.65,22.93,1,
5,,,Eng. Computacional,Eng. Física,579.4,79.2,475.2,44.9,59.63,19.28,21.09,2,A
5,,,Eng. Informática,Eng. de Materiais,550.0,58.6,811.0,0.0,3.16,10.58,86.26,2,A
5,,,Eng. Mecânica B,Biologia,727.4,83.7,346.2,67.6,86.05,10.80,3.15,2,A
