jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
2,,,Eng. Biomédica,Música,935.0,0.0,783.0,0.0,80.04,11.40,8.56,,
4,,,Biologia,Educação Básica,680.0,0.0,624.0,0.0,55.73,18.27,26.00,,
4,,,Eng. Eletrónica e Telecomunicações,Eng. de Materiais,676.0,0.0,709.0,0.0,31.20,19.62,49.18,,
4,,,Economia,Ciências Biomédicas,411.0,0.0,856.0,0.0,1.20,3.93,94.87,,
4,,,Matemática,Contabilidade,988.0,0.0,442.0,0.0,93.97,4.59,1.44,,
4,,,Música,Eng. e Gestão Industrial,768.5,66.5,875.0,0.0,17.65,13.84,68.51,,
5,,,Eng. Eletrónica e Telecomunicações,Ciências Biomédicas,671.9,96.8,853.3,30.4,10.60,10.12,79.28,,
5,,,Eng. e Gestão Industrial,Eng. Informática,885.1,77.3,640.0,0.0,89.03,6.49,4.48,,
5,,,Educação Básica,Contabilidade,617.8,94.0,448.1,32.8,77.39,11.29,11.32,,
5,,,Eng. Civil,Eng. Biomédica,1156.0,0.0,949.5,66.5,87.01,7.98,5.01,,
5,,,Eng. de Materiais,Matemática,713.1,96.8,981.9,32.8,3.52,6.84,89.64,,
5,,,Eng. Mecânica,Biologia,723.0,0.0,686.2,94.0,49.62,15.78,34.60,,
5,,,Fisioterapia,Música,997.0,0.0,763.5,79.9,87.82,6.67,5.51,,
6,,,Biologia,Eng. Biomédica,685.0,107.9,942.6,69.3,6.41,7.60,85.99,,
6,,,Ciências Biomédicas,Eng. Informática,858.4,44.5,630.1,47.0,89.15,6.72,4.13,,
6,,,Contabilidade,Eng. de Materiais,443.0,47.8,708.4,95.5,4.63,6.89,88.48,,
6,,,Eng. e Gestão Industrial,Fisioterapia,890.0,80.5,1007.0,48.8,17.77,14.14,68.09,,
6,,,Economia,Eng. Civil,413.7,30.4,1169.7,53.8,1.29,4.26,94.45,,
6,,,Educação Básica,Matemática,622.9,99.1,986.6,39.9,1.87,4.63,93.50,,
6,,,Eng. Mecânica,Eng. Eletrónica e Telecomunicações,725.6,87.2,666.9,102.4,55.54,13.04,31.42,,
7,,,Biologia,Eng. Eletrónica e Telecomunicações,681.4,109.0,664.9,113.4,48.22,12.72,39.06,,
7,,,Educação Básica,Economia,621.2,96.8,417.1,34.2,82.63,9.20,8.17,,
7,,,Eng. Biomédica,Eng. e Gestão Industrial,946.2,74.3,885.3,89.7,56.36,14.83,28.81,,
7,,,Eng. Civil,Eng. Informática,1166.3,56.1,623.9,52.3,94.47,4.14,1.39,,
7,,,Eng. de Materiais,Eng. Mecânica,712.5,95.7,727.6,97.7,40.39,13.98,45.63,,
7,,,Matemática,Fisioterapia,988.3,42.8,1011.7,64.0,35.64,17.32,47.04,,
7,,,Música,Ciências Biomédicas,758.5,83.9,864.7,49.9,19.57,12.52,67.91,,
8,,,Biologia,Música,682.9,119.2,753.8,94.8,31.51,13.29,55.20,,
8,,,Ciências Biomédicas,Fisioterapia,869.3,64.4,1012.7,80.9,14.53,11.39,74.08,,
8,,,Contabilidade,Eng. e Gestão Industrial,438.9,53.4,882.5,100.8,1.69,4.45,93.86,,
8,,,Eng. Eletrónica e Telecomunicações,Eng. Informática,663.3,122.8,626.2,53.7,50.54,14.02,35.44,,
8,,,Economia,Eng. Mecânica,411.9,46.0,727.7,109.0,3.32,5.87,90.81,,
8,,,Eng. Biomédica,Eng. de Materiais,949.1,87.5,712.3,107.0,83.61,8.23,8.16,,
8,,,Matemática,Eng. Civil,987.3,64.0,1164.0,57.1,9.23,9.49,81.28,,
9,,,Ciências Biomédicas,Contabilidade,863.7,73.2,439.6,55.2,94.10,4.43,1.47,,
9,,,Eng. Biomédica,Eng. Eletrónica e Telecomunicações,953.3,92.0,665.3,132.8,85.20,7.54,7.26,,
9,,,Eng. Civil,Biologia,1170.4,66.1,681.4,129.0,93.58,4.74,1.68,,
9,,,Eng. Informática,Educação Básica,624.2,68.7,626.4,100.1,41.16,14.96,43.88,,
9,,,Fisioterapia,Economia,1018.2,89.9,409.2,50.3,94.68,4.15,1.17,,
9,,,Música,Eng. Mecânica,755.4,103.5,730.4,108.0,46.58,13.78,39.64,,
