jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
5,2025-12-04 00:00:00,22h15,Eng. Eletrónica e Telecomunicações,Contabilidade,829.0,0.0,991.0,0.0,6.90,10.68,82.42,1,
5,2025-12-17 00:00:00,23h15,Gestão e Planeamento em Turismo,Bioquímica,1070.0,0.0,988.0,0.0,62.87,16.73,20.40,1,
4,,,Biologia,Eng. e Gestão Industrial B,385.0,0.0,692.0,0.0,1.49,4.48,94.03,2,B
4,,,Eng. Computacional,Eng. do Ambiente,619.0,0.0,384.0,0.0,93.78,4.82,1.40,2,B
4,,,MOC,Gestão,308.0,0.0,574.0,0.0,1.42,4.06,94.52,2,B
4,,,Matemática,Tradução,693.0,0.0,218.0,0.0,94.12,4.40,1.48,2,B
4,,,Administração Pública,Eng. Aeroespacial,712.0,0.0,461.0,0.0,94.39,4.22,1.39,2,C
4,,,Ciências Biomédicas,Gestão Pública,579.0,0.0,716.0,0.0,10.65,12.90,76.45,2,C
4,,,Eng. Computadores e Telemática,Biotecnologia,964.0,0.0,333.0,0.0,94.06,4.61,1.33,2,C
4,,,Eng. Civil,Eng. Mecânica B,379.0,0.0,415.0,0.0,31.34,18.54,50.12,2,C
4,,,Marketing,MTC,632.0,0.0,444.0,0.0,87.53,7.98,4.49,2,C
5,,,Eng. Química,Eng. Física,822.0,0.0,723.0,0.0,68.14,14.91,16.95,1,
5,,,Automação e Sistemas de Produção,Eng. Informática,391.0,0.0,587.0,0.0,4.25,7.44,88.31,2,A
5,,,Biologia e Geologia,Design,360.0,0.0,385.0,0.0,33.20,19.48,47.32,2,A
5,,,Economia,Música,711.0,0.0,534.0,0.0,85.31,9.47,5.22,2,A
5,,,Eng. de Materiais,Ciências do Mar,750.0,0.0,524.0,0.0,92.65,5.43,1.92,2,A
5,,,Eng. e Gestão Industrial B,Eng. Computacional,697.5,33.2,635.5,33.4,57.33,16.84,25.83,2,B
5,,,Eng. do Ambiente,MOC,367.5,33.4,296.3,32.5,59.92,17.16,22.92,2,B
5,,,Gestão,Matemática,585.7,32.5,688.4,32.8,16.56,15.51,67.93,2,B
5,,,Tradução,Línguas e Relações Empresariais,222.6,32.8,473.0,0.0,1.86,4.82,93.32,2,B
5,,,Biotecnologia,Eng. Civil,339.5,32.0,375.6,97.3,34.64,15.14,50.22,2,C
5,,,Eng. Aeroespacial,Ciências Biomédicas,446.9,32.5,565.7,72.2,16.56,14.78,68.66,2,C
5,,,Eng. Mecânica B,Administração Pública,418.4,97.3,726.1,32.5,2.22,5.00,92.78,2,C
5,,,Gestão Pública,Marketing,729.3,72.2,648.9,52.1,61.77,14.69,23.54,2,C
5,,,MTC,Eng. Computadores e Telemática,427.1,52.1,957.5,32.0,1.33,4.32,94.35,2,C
6,,,Bioquímica,Enfermagem,979.2,88.8,954.0,0.0,46.60,16.87,36.53,1,
6,,,Contabilidade,Eng. Mecânica,1006.8,61.7,1246.0,0.0,2.73,5.79,91.48,1,
6,,,Eng. e Gestão Industrial,Eng. Química,897.0,0.0,833.3,84.3,56.52,15.54,27.94,1,
6,,,Eng. Biomédica,Gestão e Planeamento em Turismo,991.0,0.0,1078.8,88.8,21.93,13.73,64.34,1,
6,,,Eng. Física,Fisioterapia,711.7,84.3,929.0,0.0,7.19,7.79,85.02,1,
6,,,Finanças,Eng. Eletrónica e Telecomunicações,1122.0,0.0,813.2,61.7,92.36,4.96,2.68,1,
6,,,Ciências do Mar,Economia,507.6,37.6,727.6,55.6,4.60,6.48,88.92,2,A
6,,,Design,Automação e Sistemas de Produção,388.8,97.7,375.1,50.7,46.74,15.19,38.07,2,A
6,,,Eng. Informática,Psicologia,602.9,50.7,501.0,0.0,67.87,15.12,17.01,2,A
6,,,Música,Biologia e Geologia,517.4,55.6,356.2,97.7,75.64,10.56,13.80,2,A
6,,,Eng. Computacional,Biologia,632.4,57.2,379.5,33.2,91.71,5.53,2.76,2,B
6,,,Línguas e Relações Empresariais,Gestão,486.2,35.2,580.0,51.7,19.65,15.03,65.32,2,B
6,,,MOC,Eng. e Gestão Industrial B,292.0,55.8,700.6,57.3,1.95,4.45,93.60,2,B
6,,,Matemática,Eng. do Ambiente,694.0,53.5,371.8,56.1,93.32,4.77,1.91,2,B
6,,,Administração Pública,Biotecnologia,730.1,37.6,337.9,53.9,93.87,4.38,1.75,2,C
6,,,Eng. Computadores e Telemática,Gestão Pública,955.3,35.1,733.3,86.5,86.34,8.09,5.57,2,C
6,,,Eng. Civil,MTC,377.2,110.9,429.3,53.7,31.80,14.66,53.54,2,C
6,,,Eng. Mecânica B,Eng. Aeroespacial,414.5,95.0,442.4,51.8,37.01,15.53,47.46,2,C
6,,,Marketing,Ciências Biomédicas,644.9,66.5,570.2,82.6,59.60,14.08,26.32,2,C
7,,,Bioquímica,Eng. Biomédica,980.5,110.1,981.2,78.0,42.04,14.74,43.22,1,
7,,,Eng. Eletrónica e Telecomunicações,Eng. Física,811.0,62.9,705.8,93.4,66.32,12.94,20.74,1,
7,,,Enfermagem,Eng. Química,951.9,89.3,830.3,98.2,66.98,11.90,21.12,1,
7,,,Eng. Mecânica,Finanças,1259.6,42.6,1126.4,40.2,74.69,12.38,12.93,1,
7,,,Fisioterapia,Eng. e Gestão Industrial,938.2,54.2,903.0,88.5,50.69,15.44,33.87,1,
7,,,Gestão e Planeamento em Turismo,Contabilidade,1083.7,100.7,998.1,64.3,61.18,13.30,25.52,1,
