jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
6,,,Ciências Biomédicas,Fisioterapia,1080.0,0.0,1127.0,0.0,38.85,0.00,61.15,1,
6,,,Eng. Eletrónica e Telecomunicações,Eng. de Materiais,1362.0,0.0,674.0,0.0,99.80,0.00,0.20,1,
6,,,Eng. Biomédica,Eng. e Gestão Industrial,620.0,0.0,1275.0,0.0,0.30,0.00,99.70,1,
6,,,Eng. Informática,Design,1045.0,0.0,951.0,0.0,70.11,0.00,29.89,1,
6,,,Gestão e Planeamento em Turismo,Eng. Civil,886.0,0.0,869.0,0.0,54.54,0.00,45.46,1,
6,,,Geologia,Biologia,828.0,0.0,1186.0,0.0,3.74,0.00,96.26,1,
6,,,Contabilidade,MTC,453.0,0.0,494.0,0.0,40.33,0.00,59.67,2,A
6,,,Educação Básica,Adminstração Pública,347.0,0.0,1500.0,0.0,0.02,0.00,99.98,2,A
6,,,Gestão Comercial,Eng. Computadores e Telemática,338.0,0.0,265.0,0.0,66.54,0.00,33.46,2,A
6,,,Línguas e Relações Empresariais,Eng. do Ambiente,543.0,0.0,725.0,0.0,15.84,0.00,84.16,2,A
6,,,Psicologia,Bioquímica,629.0,0.0,611.0,0.0,53.83,0.00,46.17,2,A
6,,,Biologia e Geologia,Ciências Biomédicas B,588.0,0.0,374.0,0.0,87.72,0.00,12.28,2,B
6,,,Economia,Eng. Física,600.0,0.0,587.0,0.0,53.29,0.00,46.71,2,B
6,,,Eng. Mecânica,Gestão,546.0,0.0,471.0,0.0,67.04,0.00,32.96,2,B
6,,,Eng. Química,"Línguas, Literaturas e Culturas",706.0,0.0,606.0,0.0,71.92,0.00,28.08,2,B
6,,,Música,Marketing,538.0,0.0,198.0,0.0,95.72,0.00,4.28,2,B
7,,,Biologia,Eng. de Materiais,1185.5,42.9,674.5,10.2,98.76,0.00,1.24,1,
7,,,Design,Eng. Biomédica,951.9,101.5,619.7,12.4,94.27,0.00,5.73,1,
7,,,Eng. e Gestão Industrial,Ciências Biomédicas,1275.3,12.4,1079.0,107.3,81.85,0.00,18.15,1,
7,,,Eng. Civil,Eng. Eletrónica e Telecomunicações,867.6,109.9,1361.5,10.2,1.33,0.00,98.67,1,
7,,,Fisioterapia,Gestão e Planeamento em Turismo,1128.0,107.3,887.4,109.9,83.82,0.00,16.18,1,
7,,,Geologia,Eng. Informática,828.5,42.9,1044.1,101.5,16.34,0.00,83.66,1,
7,,,Bioquímica,Gestão Comercial,611.8,109.5,338.7,104.4,86.92,0.00,13.08,2,A
7,,,Eng. Computadores e Telemática,Línguas e Relações Empresariais,264.3,104.4,543.3,81.8,10.94,0.00,89.06,2,A
7,,,Eng. do Ambiente,Educação Básica,724.7,81.8,347.0,3.1,95.82,0.00,4.18,2,A
7,,,MTC,Psicologia,494.7,108.0,628.2,109.5,29.68,0.00,70.32,2,A
7,,,Tradução,Contabilidade,415.0,0.0,452.3,108.0,44.52,0.00,55.48,2,A
7,,,Eng. Física,Biologia e Geologia,586.4,110.0,587.7,73.5,48.67,0.00,51.33,2,B
7,,,Gestão,Eng. Química,469.8,104.3,706.9,99.4,15.94,0.00,84.06,2,B
7,,,"Línguas, Literaturas e Culturas",Economia,605.1,99.4,600.6,110.0,50.34,0.00,49.66,2,B
7,,,Marketing,Eng. Mecânica,197.9,45.7,547.2,104.3,6.46,0.00,93.54,2,B
7,,,Matemática,Música,283.0,0.0,538.1,45.7,9.21,0.00,90.79,2,B
