jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
6,,,Eng. Computadores e Telemática,Eng. Eletrónica e Telecomunicações,638.0,0.0,1146.0,0.0,0.95,0.00,99.05,1,
6,,,Eng. e Gestão Industrial,Eng. Informática,1284.0,0.0,1152.0,0.0,76.10,0.00,23.90,1,
6,,,Eng. Biomédica,Design,782.0,0.0,1206.0,0.0,2.06,0.00,97.94,1,
6,,,Gestão e Planeamento em Turismo,Eng. Mecânica,791.0,0.0,982.0,0.0,14.67,0.00,85.33,1,
6,,,Línguas e Relações Empresariais,Ciências do Mar,1028.0,0.0,899.0,0.0,76.84,0.00,23.16,1,
6,,,Música,Tecnologias de Informação,784.0,0.0,727.0,0.0,63.55,0.00,36.45,1,
6,,,Biologia,Bioquímica,667.0,0.0,503.0,0.0,81.86,0.00,18.14,2,A
6,,,Economia,Fisioterapia,399.0,0.0,947.0,0.0,0.68,0.00,99.32,2,A
6,,,Eng. do Ambiente,Geologia,686.0,0.0,477.0,0.0,87.47,0.00,12.53,2,A
6,,,Eng. de Materiais,Ciências Biomédicas,470.0,0.0,700.0,0.0,10.78,0.00,89.22,2,A
6,,,Medicina,Administração Pública,417.0,0.0,766.0,0.0,3.73,0.00,96.27,2,A
6,,,Eng. Computacional,Psicologia,314.0,0.0,167.0,0.0,79.16,0.00,20.84,2,B
6,,,Eng. Física,Física,677.0,0.0,575.0,0.0,71.45,0.00,28.55,2,B
6,,,Gestão,Eng. Civil,452.0,0.0,439.0,0.0,52.96,0.00,47.04,2,B
6,,,MTC,Eng. Informática B,371.0,0.0,377.0,0.0,48.06,0.00,51.94,2,B
6,,,Matemática,Eng. Eletrónica e Telecomunicações B,304.0,0.0,155.0,0.0,79.35,0.00,20.65,2,B
7,,,Ciências do Mar,Eng. e Gestão Industrial,898.4,93.8,1281.9,94.9,5.62,0.00,94.38,1,
7,,,Design,Eng. Informática,1206.1,32.1,1154.1,94.9,61.24,0.00,38.76,1,
7,,,Eng. Eletrónica e Telecomunicações,Música,1145.9,21.9,785.6,106.3,95.18,0.00,4.82,1,
7,,,Eng. Biomédica,Eng. Computadores e Telemática,781.9,32.1,638.1,21.9,78.32,0.00,21.68,1,
7,,,Eng. Mecânica,Línguas e Relações Empresariais,982.0,79.1,1028.6,93.8,40.65,0.00,59.35,1,
7,,,Tecnologias de Informação,Gestão e Planeamento em Turismo,725.4,106.3,791.0,79.1,38.46,0.00,61.54,1,
7,,,Administração Pública,Eng. de Materiais,766.3,42.8,469.9,69.5,92.13,0.00,7.87,2,A
7,,,Bioquímica,Medicina,502.9,86.1,416.7,42.8,66.79,0.00,33.21,2,A
7,,,Biotecnologia,Biologia,252.0,0.0,667.1,86.1,3.30,0.00,96.70,2,A
7,,,Ciências Biomédicas,Eng. do Ambiente,700.1,69.5,686.3,73.8,52.84,0.00,47.16,2,A
7,,,Geologia,Economia,476.7,73.8,399.5,18.4,64.66,0.00,35.34,2,A
7,,,Contabilidade,Matemática,624.0,0.0,302.7,89.9,94.39,0.00,5.61,2,B
7,,,Eng. Eletrónica e Telecomunicações B,MTC,156.3,89.9,369.8,109.9,18.01,0.00,81.99,2,B
7,,,Eng. Civil,Eng. Física,439.1,110.1,676.1,100.2,16.33,0.00,83.67,2,B
7,,,Eng. Informática B,Gestão,378.2,109.9,451.9,110.1,38.00,0.00,62.00,2,B
7,,,Física,Eng. Computacional,575.9,100.2,313.3,90.4,87.66,0.00,12.34,2,B
8,,,Eng. Computadores e Telemática,Design,638.2,50.7,1206.1,58.1,0.69,0.00,99.31,1,
8,,,Eng. e Gestão Industrial,Eng. Mecânica,1282.0,97.3,981.3,93.1,89.90,0.00,10.10,1,
8,,,Eng. Informática,Ciências do Mar,1154.1,107.1,898.4,97.1,86.30,0.00,13.70,1,
8,,,Gestão e Planeamento em Turismo,Eng. Eletrónica e Telecomunicações,791.3,92.2,1146.0,32.3,5.37,0.00,94.63,1,
8,,,Línguas e Relações Empresariais,Tecnologias de Informação,1029.2,105.2,725.2,116.2,88.22,0.00,11.78,1,
8,,,Música,Eng. Biomédica,785.5,108.7,781.8,55.6,51.38,0.00,48.62,1,
8,,,Economia,Ciências Biomédicas,400.1,54.5,700.3,86.7,8.28,0.00,91.72,2,A
8,,,Eng. do Ambiente,Administração Pública,686.2,90.2,766.4,51.3,34.83,0.00,65.17,2,A
8,,,Eng. de Materiais,Bioquímica,469.8,74.9,503.6,99.0,43.73,0.00,56.27,2,A
8,,,Fisioterapia,Geologia,946.5,18.4,476.1,90.1,98.08,0.00,1.92,2,A
8,,,Medicina,Biotecnologia,415.9,65.7,252.7,39.4,79.87,0.00,20.13,2,A
8,,,Eng. Computacional,Eng. Civil,313.4,97.1,439.0,116.3,31.32,0.00,68.68,2,B
8,,,Eng. Física,Eng. Informática B,676.2,106.6,378.0,118.9,88.08,0.00,11.92,2,B
8,,,Gestão,Eng. Eletrónica e Telecomunicações B,452.1,119.2,155.9,97.4,88.81,0.00,11.19,2,B
8,,,MTC,Contabilidade,370.1,115.6,625.0,51.6,13.26,0.00,86.74,2,B
8,,,Psicologia,Física,167.7,90.4,575.8,106.5,4.57,0.00,95.43,2,B
9,,,Design,Ciências do Mar,1206.1,58.4,898.0,103.1,90.64,0.00,9.36,1,
9,,,Eng. Computadores e Telemática,Música,638.3,51.5,785.5,119.4,25.70,0.00,74.30,1,
